db,FoM_CI,FoM_LS,FoM_PMT
agnddf_v1.5_10yrs,0.6740947075208914,0.9404735560964816,0.2535211267605634
alt_dust_v1.5_10yrs,0.8300835654596099,0.9404735560964816,0.2380952380952381
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.8300835654596099,0.9404735560964816,0.21897810218978106
baseline_2snaps_v1.5_10yrs,0.6908077994428969,0.9404735560964816,0.3207547169811321
baseline_v1.5_10yrs,0.6824512534818942,0.9404735560964816,0.27394752898108604
bulges_bs_v1.5_10yrs,0.8885793871866295,0.9404735560964816,0.3033071848814405
bulges_bulge_wfd_v1.5_10yrs,0.9052924791086352,0.9404735560964816,0.29411764705882354
bulges_cadence_bs_v1.5_10yrs,0.8802228412256268,0.9404735560964816,0.2717391304347826
bulges_cadence_bulge_wfd_v1.5_10yrs,0.9749303621169916,0.9404735560964816,0.27812939521800284
bulges_cadence_i_heavy_v1.5_10yrs,0.8495821727019499,0.9404735560964816,0.2831858407079646
bulges_i_heavy_v1.5_10yrs,0.9108635097493036,0.9404735560964816,0.24705882352941175
daily_ddf_v1.5_10yrs,0.7158774373259053,0.9404735560964816,0.2269716702844103
dcr_nham1_ug_v1.5_10yrs,0.6908077994428969,0.9404735560964816,0.27607361963190186
dcr_nham1_ugr_v1.5_10yrs,0.7186629526462396,0.9404735560964816,0.2810457516339869
dcr_nham1_ugri_v1.5_10yrs,0.6991643454038997,0.9404735560964816,0.27624309392265195
dcr_nham2_ug_v1.5_10yrs,0.7325905292479109,0.9404735560964816,0.3103448275862069
dcr_nham2_ugr_v1.5_10yrs,0.6295264623955432,0.9404735560964816,0.29620173134909056
dcr_nham2_ugri_v1.5_10yrs,0.7019498607242339,0.9404735560964816,0.2547770700636943
descddf_v1.5_10yrs,0.7019498607242339,0.9404735560964816,0.2985714285714286
filterdist_indx1_v1.5_10yrs,0.3704735376044568,0.9404735560964816,0.35599078341013823
filterdist_indx2_v1.5_10yrs,0.362116991643454,0.9404735560964816,0.2945205479452055
filterdist_indx3_v1.5_10yrs,0.3788300835654596,0.9404735560964816,0.326312710253035
filterdist_indx4_v1.5_10yrs,0.3732590529247911,0.9404735560964816,0.3602317504842049
filterdist_indx5_v1.5_10yrs,0.3816155988857939,0.9404735560964816,0.3286401098901099
filterdist_indx6_v1.5_10yrs,0.3955431754874652,0.9404735560964816,0.3555555555555556
filterdist_indx7_v1.5_10yrs,0.3064066852367688,0.9404735560964816,0.3258426966292135
filterdist_indx8_v1.5_10yrs,0.31754874651810583,0.9404735560964816,0.3316194353389024
footprint_add_mag_cloudsv1.5_10yrs,0.6601671309192201,0.9404735560964816,0.30612244897959184
