uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
50364,11466792,589896,5798988,0,85464,49263660,74137284,62082072,79003476,35606124,45530712,60802488,83027484,61313364,46427796,62771184,66507372,51417288,63511884,43202556
49604616,78132384,70603920,91502892,0,3999420,49851360,56070216,73032516,93761136,32075964,30990924,62457156,45618768,66512520,32948676,6173856,62182872,20246220,53397792,24940728
232159572,260645616,180649872,88122636,0,28074924,214130556,43600968,72293256,53533656,18399420,6787908,52040664,98918280,86471316,6033852,37172124,68695488,6240420,39784716,1690668
227931012,252200628,143315568,75070080,0,8237628,175569912,31857660,62136612,62323524,35892936,6122232,32975892,82077912,65937384,6004548,30036456,54622836,5977332,30257244,1232136
241141248,264007908,127860408,92803896,0,4557636,115653708,46843200,74611728,51499080,21371832,9314136,60653916,108125352,89433324,11859444,50079744,76708728,12105612,51815736,5900292
229499712,264035268,88306416,75589164,0,12184704,50471316,37020600,59348196,65292480,36066168,7134768,43504848,65447496,69417648,5953104,44457588,62977680,6463008,39646512,2831868
239261004,268042860,74161224,78995520,0,8317332,47078964,57521520,71621028,78012396,30621960,22004316,64417716,79816788,83567880,22788108,59630688,73702224,21413556,61784496,19698840
222029784,262284768,77934528,61939836,0,14089896,26992368,49599000,55673712,75752100,37121688,5289552,50961168,68880456,86669568,6040908,52144560,64745352,6411564,39800808,7503588
140501772,252391752,78241860,92928600,0,5600736,62976744,73070424,80568360,95625684,53872128,45797364,69870276,72344412,108189972,48565116,63728964,84511908,43691148,65691000,43498548
67200876,235001628,50377896,51633036,0,573120,36892188,55300392,62673732,78764580,19362672,15020964,57992472,71764776,51497136,17031312,59309352,65849760,18377640,58980780,18056124
69366852,175366332,73005480,68653188,0,227304,72248544,71575272,73563408,138452076,45842220,68268132,74417508,73144080,79064604,69508764,64427076,70295976,66307464,70789644,61326108
56925792,166893408,55482444,77642856,0,281952,58210704,62494524,72443088,86581980,31331880,41907132,65067804,81903636,84664044,41263128,60137532,68116932,41121648,63426816,39998628
74679408,111745836,71308692,65944692,0,1180440,76056300,73662192,74291220,64324224,17590464,76863312,74827008,67865652,105611040,76044672,69350004,74974284,74838816,71181252,72321624
62464968,99640152,64054296,69558984,0,237528,68293008,67623588,71056728,124092684,21479508,63979668,71147592,67082832,56411748,64790172,64264428,71160408,63716472,68603760,57115908
76239000,75800088,73250136,63001656,0,769572,80227476,78026976,80123652,40728132,15572952,78546492,79721604,77306040,46352196,78518952,72156096,80605908,78525144,77549616,77782212
62166060,66712644,69783084,61233192,0,158760,74075544,73819656,70503696,83820816,22257684,74782692,72935820,65827152,48317328,74234772,71620884,73905732,75013200,66825576,69756696
74068956,76904676,79952148,77293296,0,494568,79965648,84340908,84722112,45240948,16495632,79146324,83098044,68721660,52592580,79055388,76367340,78757776,79445484,76193424,78526116
67257288,67895136,75544308,73724832,0,225756,76812660,76666752,77530176,54804384,22345128,78514596,78854904,71927820,45383400,77905476,74123964,75596652,78377184,74352312,77369472
