db,u,g,r,i,z,y
baseline_nexp1_v1.7_10yrs.db,55389756,50573467,50537743,50175839,50653772,50448141
baseline_nexp2_v1.7_10yrs.db,17580903,15851357,3866838,3863436,4969222,10151527
cadence_drive_gl100_gcbv1.7_10yrs.db,9823056,45020639,7691699,1365370,2216260,6289386
cadence_drive_gl100v1.7_10yrs.db,9073766,34883894,6042708,2119969,2889032,7146878
cadence_drive_gl200_gcbv1.7_10yrs.db,18346,91584452,12698346,0,24972,2205855
cadence_drive_gl200v1.7_10yrs.db,13279,91617833,8052821,0,53038,738289
cadence_drive_gl30_gcbv1.7_10yrs.db,20221393,19432316,6568665,2870715,4319334,8298705
cadence_drive_gl30v1.7_10yrs.db,18650480,13410534,5806100,3612470,5533323,5975005
ddf_dither0.00_v1.7_10yrs.db,20685830,11251720,6192367,4996858,3114537,10406173
ddf_dither0.05_v1.7_10yrs.db,19683870,14023024,3908859,4667058,5458805,9592283
ddf_dither0.10_v1.7_10yrs.db,22091151,14003128,4586745,7333193,4553622,8958922
ddf_dither0.30_v1.7_10yrs.db,22494452,10987916,6663181,5063576,6294982,9888348
ddf_dither0.70_v1.7_10yrs.db,17580903,15851357,3866838,3863436,4969222,10151527
ddf_dither1.00_v1.7_10yrs.db,22546722,13465042,3930081,6382369,5946053,8949043
ddf_dither1.50_v1.7_10yrs.db,21463821,11656674,3005905,3880396,4774095,9527805
ddf_dither2.00_v1.7_10yrs.db,24451214,12304905,6001031,4273172,7400083,11743467
euclid_dither1_v1.7_10yrs.db,17580903,15851357,3866838,3863436,4969222,10151527
euclid_dither2_v1.7_10yrs.db,22434563,12451388,4219682,5676922,3898202,8151156
euclid_dither3_v1.7_10yrs.db,22754925,15187692,4077023,5994834,6866946,9867292
euclid_dither4_v1.7_10yrs.db,22607286,12834247,5112832,3148745,4678672,9154589
euclid_dither5_v1.7_10yrs.db,25214379,11872744,4464749,4910560,5395003,8979106
footprint_0_v1.710yrs.db,2581191,1306540,136495,236646,359444,2570133
footprint_1_v1.710yrs.db,4295099,1808655,308762,284567,718202,3794991
footprint_2_v1.710yrs.db,4311686,2374983,467337,317437,510252,4109899
footprint_3_v1.710yrs.db,4795208,1748603,257957,317356,389260,1843243
footprint_4_v1.710yrs.db,6389077,4158180,1598697,1817620,1132123,4362184
footprint_5_v1.710yrs.db,4795208,1748603,257957,317356,389260,1843243
footprint_6_v1.710yrs.db,3714252,2605816,46511,292530,194183,1558457
footprint_7_v1.710yrs.db,5427678,2833974,1020764,1273191,908017,6676545
footprint_8_v1.710yrs.db,5090841,1820887,695232,765176,210160,4963852
pair_times_11_v1.7_10yrs.db,3028085,1795900,13884,634273,611720,2288854
pair_times_22_v1.7_10yrs.db,17580903,15851357,3866838,3863436,4969222,10151527
pair_times_33_v1.7_10yrs.db,38679163,21955734,6120963,9029688,10505834,13015828
pair_times_44_v1.7_10yrs.db,55005733,31863846,11862974,13357989,10562932,16804276
pair_times_55_v1.7_10yrs.db,60034305,35235431,11015260,12013385,12368479,16658730
rolling_nm_scale0.2_nslice2_v1.7_10yrs.db,19115106,10864432,4098862,3706709,3817891,8326125
rolling_nm_scale0.2_nslice3_v1.7_10yrs.db,16873208,10551108,3505830,3979301,5918210,9774095
rolling_nm_scale0.4_nslice2_v1.7_10yrs.db,20075783,12927245,2659435,3642990,5398985,8874778
rolling_nm_scale0.4_nslice3_v1.7_10yrs.db,19589998,12463649,3188036,5179873,3942336,11710762
rolling_nm_scale0.6_nslice2_v1.7_10yrs.db,18124651,12781215,1600601,3203886,5155200,10140934
rolling_nm_scale0.6_nslice3_v1.7_10yrs.db,18145007,9426008,4241993,4657369,5647411,11171274
