uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
121984954,126539064,119235210,110166501,87139204,40960218,121432534,119918045,111249883,106336202,99198497,124054299,124047223,111244639,109786611,121156210,119912251,111936728,121156213,119228937,121180218
117371763,118661793,116343675,111727038,84827221,41593033,118915003,119563808,113246833,106979434,99028637,122888109,125034103,111200580,106976005,123853476,119512979,111898521,119222968,120761713,122898092
116184566,121195861,115245694,109241136,91998170,47200161,117676847,119919593,112945175,107424825,101239366,122865079,122868004,110761078,107381318,124061869,123869345,113235914,122916745,119713825,122676528
116281441,118888086,115678895,111992980,88313910,43797328,120113844,121847530,114545800,108899775,99784991,122867444,120965549,109772448,106247126,122872142,121171043,113401414,121182149,119925002,122884089
118930760,118985246,116027992,109697159,93160298,55162336,121283356,121253224,111346047,105072647,98332339,122876288,124048481,111143905,108441093,121165628,119488050,110769790,119933555,121055689,121187913
119980318,121721461,117938478,109082629,94278196,43309428,121271331,118611023,109291783,106199114,99204874,122869974,122204908,111083514,108586886,122877454,121160578,111921763,121158293,122654703,123206130
120379379,121986909,116248021,108631103,87381448,51740636,122500595,120592643,111260115,106278034,99026459,122868360,122244245,109678082,106520607,122873785,121629210,111605224,122600044,120422323,123852002
115833002,117753193,115362657,110282140,88122698,52226614,120867086,124326855,111624613,107419546,98096823,123868181,123851700,111150556,105260625,123846640,122335868,112572639,122352721,119232595,122882913
117655689,119652336,116992073,110283489,93473445,60734828,119558201,120134924,113229910,109369390,102972898,121622862,121622848,112162279,107952945,122872397,119920454,113424589,121175361,124053797,120501793
123098001,123967214,117418262,110007696,89784204,54031657,121271026,119239329,110259195,105915780,101067827,123312545,122812404,112562278,108150452,124064898,123786407,109725406,122878688,121156617,123870072
120688501,120596784,120972391,108565690,86054310,38437146,121654418,121258938,111077596,107925182,97465130,122872358,122864798,112227676,108023142,122871603,122210528,111174877,122210164,121584965,122229963
118205576,116403068,119073611,111407710,88056553,38075541,119303588,120536298,110335388,105984177,100874142,121157047,121157933,110911924,105258672,121170331,122210413,111309355,121597906,118414030,121173605
