uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
32403780,58274460,45071244,48065220,74506032,62297928,31100328,48938364,54438048,48838140,111762612,14474160,56583720,51759828,74213244,14518008,47233764,48693240,16461360,51971832,16139448
30935844,83506032,46528344,50966568,96433344,44335116,27095364,46274148,42345000,53699472,108418248,14613480,53834292,45806220,77358276,13482396,48282048,57104604,13497552,57135888,18054684
26830188,84673692,43297992,46937448,74820780,64170288,27821376,47790108,52257996,54493236,97042500,11811888,56339460,50415300,61850988,13162500,49624740,57472236,17526168,58592880,16628220
29199384,82761408,40094244,45386784,108778284,64332720,32788548,48890088,52536564,55894356,106878060,17471520,61359552,56375784,68719752,15198516,46794132,54175752,15495660,59070420,21240828
30557664,94572000,43401636,44317080,70685136,89837496,30121524,48607452,51379992,55026288,112812156,14529132,62112672,60071220,74682828,13001400,58156812,57571776,14917032,59269284,19755504
33146316,84619440,47132172,51552252,98182404,55351476,33696684,51007752,58322340,60516360,131267808,15389604,65314908,60363612,70087356,12250656,52551288,63568620,14292720,63836460,21175560
35369244,64303020,46114668,43253352,67885020,52936308,30207276,47738232,57838716,45312732,133646076,14793408,63354240,57370320,71982144,12989844,57061548,63354456,14358312,62960616,19483812
30381408,77207112,40873968,35799552,73975680,61909056,32647608,50918796,50747616,60050016,100469304,15783228,64546416,64714932,66980340,11934972,60859080,60822252,16535772,62818596,16379892
35018208,78914628,46457316,46619856,66042252,76546980,34470720,51430392,54279396,69045048,119052180,16690572,63859824,63247428,73690092,14311908,61386048,63133164,19115316,61338348,13632876
33121656,79560144,37156104,42937956,78497856,69577668,36826812,51215508,54954720,56639664,119978676,15579540,64354716,63746064,74150604,14069664,56779812,62975880,15964416,63112788,20238444
25822872,84714084,50423328,55448388,148670208,97537500,30385800,51299784,55770012,49310172,134391384,17244468,52932708,49182408,82702188,11538360,39982752,38379168,15104448,35513208,25091604
28112400,85860324,51555816,54750708,126722196,51455628,26973180,49560192,55396944,69692616,147312252,15521616,53735328,52894908,84463020,12856032,42888384,35480016,19917108,31551660,22013892
26202060,83309076,51813756,52517340,127572480,81093204,24057468,49003884,52735752,67874292,151391556,13995972,54898308,51850368,111072780,14597712,45491364,43010712,15644340,39796668,22071888
22580208,61766100,44265600,52480692,69884352,45502092,26699688,50345388,52914060,70291944,170604360,15419664,59266944,62361756,120289032,12440268,44929008,44877996,17353224,42490728,21275244
29683656,84121920,49398552,54753480,70182612,46397880,23902416,47742120,53924292,50137668,156102228,15950484,58067064,55255644,94255020,16410204,49251312,47503152,18985644,45705276,25469820
27093132,101067696,46720800,56928312,91636344,75449808,27498456,50965596,57722508,49039416,110324448,16729164,62910684,67424976,77814612,14615532,52719228,51154092,17976960,49854636,22330548
26574336,87841440,44494776,52964028,92343636,57179844,29145816,50251860,50518332,55238436,89958780,15730416,62185644,61450704,84538728,15296364,53259696,51193692,23655384,48715128,24485436
26860500,102211560,42600852,45015120,96001956,100183572,31472352,49124736,54783900,60006348,161094672,16200972,63876384,68546232,75526272,12384972,58845492,55109484,18298656,51931188,22949424
27456984,88062372,47090304,51604200,97845948,56371968,27124452,51697476,54528804,53196048,84540564,19167372,57935304,62875368,75585996,17497224,57043188,52111044,18954864,46995804,19356480
31905504,93285612,48627828,45137988,86307552,83060676,29981556,50775624,54788040,52739712,105132168,16905240,64443744,62442036,76886892,13968144,55537884,58902624,20557512,57093876,24106176
25597908,91255644,43416576,49610700,95226624,76713912,30254580,47888604,52444728,58906584,87819768,18411552,62687808,68516748,78718392,15336828,60639084,56278188,19908036,49307832,24391152
28446480,89102592,35504136,50513472,110367288,72513324,32290776,50523120,56249928,55253124,122574780,18298944,63606456,69378264,79764120,16880904,59661936,57203784,21111732,55206468,22645116
7538508,26251992,42330096,20793456,79580376,62615268,64188,17605152,14957208,35860104,134178912,233210556,247314780,244359144,75279384,233793324,233322444,23661432,235668672,26853804,0
14355108,57625812,39476808,33806484,91224108,58742640,6963948,28202148,31708944,43237692,90803700,69891840,129459996,221443200,40621464,75272580,64466532,30972420,70450848,33720408,1484820
18370692,59230872,48831156,39711888,69797484,41360184,11233044,39791484,36936720,40724388,77825988,65453004,44787204,39079836,47374596,67749156,32489496,36709380,64753956,40325040,8065224
23817024,78660540,44308692,36727668,84613428,81757800,13244796,35114004,36915480,38172708,89167788,62319420,45746640,36339948,58040496,61314156,33008400,43496748,58733064,45397404,10349568
13225284,44450748,41808024,29166084,73597680,57215952,5249088,30536604,28302192,63553284,115908984,74553912,218384064,234063396,56706732,68727996,100810224,37516752,68468220,35544672,2518056
18846612,45695340,41215716,30444408,116173620,104652540,8712396,30341412,31132980,28960884,102680424,68947488,182024028,212942916,45903384,68160816,69735420,33053796,68607144,33778152,3915324
20843676,69222420,47802744,39083832,68961204,53328744,12107592,31004496,36880020,50666004,85500504,67622256,119768544,177732468,53419248,68484492,53285508,38052360,61852320,42626628,5673960
28844712,60681852,61249680,33501564,116670096,122356224,24499656,59861916,56072736,50196420,113896296,13785768,76191480,56444364,97654932,18343872,51350508,60164028,11199600,70515756,17500572
30210372,55356984,61194024,29163780,100115280,42410952,25268472,50126508,39956580,64666476,146753748,11856132,70032600,42019812,85184244,15932520,41301720,43250796,13358808,62608968,20691036
25386228,109726524,37137672,42428484,126055836,78448752,26653716,49318128,52894044,41718204,68211648,19899360,68022324,56586456,65519532,18540432,42660432,43074504,21905712,63683172,23716260
29592216,130723524,34050420,39217788,108603576,73154808,29497752,40920516,45369144,41613372,50434992,21540276,61319592,48752568,59695776,21626100,34262892,42983172,20562516,51793380,25711488
53791596,68439132,65015352,54295776,88443612,77767488,40028112,56194992,55874952,77219208,149742684,24428016,47514384,40699224,69474384,21085560,44851068,45456084,22601160,46614888,29236248
32227020,71406828,51718716,38023236,88770456,90232920,32575140,43677612,44042256,62451468,115447968,17088840,39421656,52708824,55298520,12519108,42001740,48727512,19406628,44215164,18973584
17896788,64832868,39696948,24306480,63064980,35640036,28225332,36507888,35343972,74545344,174012228,11228508,33757704,49099680,101524644,5985900,45757476,49928004,14536224,48166452,17376192
8362260,27931104,40363200,16816248,70785576,41957028,21469680,39595716,33163344,79212996,171796284,5667768,20649060,43591968,103911876,2469960,42326496,43918920,6225300,37188720,6569064
