db,uu,ug,ur,ui,uz,uy,gg,gr
agnddf_v1.5_10yrs.db,84720348,110926692,62836344,93843396,0,0,75475008,56434032
alt_dust_v1.5_10yrs.db,32346396,33059988,51739272,44564616,0,6230088,26200872,45607392
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,87473664,50213772,75726936,43213680,0,4537080,53216532,34096968
baseline_2snaps_v1.5_10yrs.db,61976124,70458840,66569364,85892220,0,3188700,54251532,61994952
baseline_samefilt_v1.5_10yrs.db,196227252,0,0,36538740,0,2553912,162656964,0
baseline_v1.5_10yrs.db,71640144,92797128,89363880,96284448,0,0,68247504,72491364
bulges_bs_v1.5_10yrs.db,13445928,17006868,14802300,20592432,0,745416,18234864,32398308
bulges_bulge_wfd_v1.5_10yrs.db,84442824,65319588,74197188,70372908,0,9154476,89057556,101251080
bulges_cadence_bs_v1.5_10yrs.db,10751472,9348336,14719176,13529016,0,9273276,18199548,28757772
bulges_cadence_bulge_wfd_v1.5_10yrs.db,72838476,36951984,79198200,70987356,0,0,87395760,104300352
bulges_cadence_i_heavy_v1.5_10yrs.db,33400836,50583456,14151384,46003536,0,1030140,87545988,75525876
bulges_i_heavy_v1.5_10yrs.db,49288572,59520384,19986444,72276012,0,4427280,86371776,56022120
daily_ddf_v1.5_10yrs.db,65420100,106457400,61751952,70323012,0,1578816,56064708,52064424
dcr_nham1_ug_v1.5_10yrs.db,83327832,82010520,83314008,117590724,0,0,72522720,60475140
dcr_nham1_ugr_v1.5_10yrs.db,81615780,64812672,65581020,108396000,0,4746276,64606212,72362520
dcr_nham1_ugri_v1.5_10yrs.db,77277024,68136156,87726888,98077968,0,0,69074424,67506084
dcr_nham2_ug_v1.5_10yrs.db,82980360,74277864,80481600,136478016,0,0,62166384,80152632
dcr_nham2_ugr_v1.5_10yrs.db,87275448,90276660,91721628,102227472,0,0,49061304,63135864
dcr_nham2_ugri_v1.5_10yrs.db,76372200,65895408,93021048,118556892,0,509652,57550320,75192516
descddf_v1.5_10yrs.db,92040516,90859212,52821180,93791232,0,0,67833972,62658000
filterdist_indx1_v1.5_10yrs.db,218169900,218169900,215414676,120097368,0,22840272,218169900,212052312
