db,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,246.60048108481087,28.074364681848056,0.029025993338662695,5809.176285604799,2586.1926695720495,210.00246919233464,2.3429690897752957,4994.938231856073,2683.219070035918,1350.5728965791673,6844.16171417825,3265.0470995517694,8676.201146546611
alt_dust_v1.5_10yrs.db,112.72453680779374,0.7099533260486216,0.12577920018910807,3007.9998954301914,1437.283429741196,141.7162876188904,2.1459017387373263,3489.72240435246,1871.0551693408465,840.6048987207776,3524.9978571341167,2221.1981848166915,4753.590269769164
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,311.33538439867715,1.9781301717260937,0.0021107859231936574,2511.5295369373994,1963.5969419153573,478.5848786089635,0.3554358937222424,4080.886719078626,2073.7665132761895,883.3270289320526,3187.3095983948315,2465.6133073568412,3089.9288320480428
baseline_2snaps_v1.5_10yrs.db,119.55231616340758,6.370756207279089,0.07973897835038866,6534.933550733695,2319.942876689448,227.1901925776399,9.872805757030521,7892.426191844411,2694.3234529226834,1258.0601111632184,8586.988415095508,3484.5448600217915,7792.651639134777
baseline_samefilt_v1.5_10yrs.db,200.66117296608948,4.322007575808564,0.0035234188713316587,4915.591462952904,521.6285128371527,92.44982346604321,7.4237810151406185,7073.3813940860255,283.17454802544665,377.6312902486883,5132.111461207066,493.3678661799088,6685.65368982024
baseline_v1.5_10yrs.db,323.16324044615834,29.758099372706724,0.0035187877287828854,7713.058137668789,2449.421791934563,284.7879166100507,3.8024426965571054,7001.64217069084,2865.9267677056823,1415.2238233629225,5422.071467740269,3545.1679763221077,6093.5079740921055
bulges_bs_v1.5_10yrs.db,37.69992166329338,0.7373647637402846,0.01543216058716138,3983.405155527812,1303.705868960762,64.31731728793179,1.7886582893450056,3010.770965783585,1803.6378289944269,726.0898573300076,3697.202878701518,2153.1853090257537,4805.625667208374
bulges_bulge_wfd_v1.5_10yrs.db,90.02931179383897,0.78846843055412,0.046054871134311,5602.7585749411355,1917.4122058076518,186.91408593685154,68.60935177854292,7161.863744419975,2108.5026759476414,923.8718794458433,6994.095146972871,2498.3652880129425,7555.4310349498455
bulges_cadence_bs_v1.5_10yrs.db,25.863995018135068,0.028786775532296624,0.03981759960761974,3919.9179093418797,1378.0777400262405,47.40911650848653,5.846517716241373,2933.828507582497,1622.97297105976,768.379945044206,2904.5496524707823,2143.695099147303,3437.000592626317
bulges_cadence_bulge_wfd_v1.5_10yrs.db,57.779125708624186,0.11510455230394044,0.024141899321990012,6769.277581605072,1647.1115672096466,56.68289500492732,0.3873572447745644,6597.940266932798,2007.982252984324,949.7947495900113,3899.976707814552,2773.538811763323,6395.359690688995
