db,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,69291216,27538272,9807444,57051324,62165556,54362412,16881912,63975564,52680996,108017388,64337688,91125288,71962380
alt_dust_v1.5_10yrs.db,27274752,37466748,21924792,232217208,162981360,34991424,20303496,237453480,121599432,112833108,236384892,181340892,225390096
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,30791844,24884928,6877260,239892012,201951828,108534024,72192924,241727724,122419944,101248128,241727724,164492136,229384872
baseline_2snaps_v1.5_10yrs.db,62671572,37955700,14546088,55232712,70612056,63387576,40120128,53220852,67467600,106674804,55382688,93077712,64578960
baseline_samefilt_v1.5_10yrs.db,33577884,39098340,1562436,95511852,0,63580644,12833460,126834660,0,15896664,136189188,0,57278304
baseline_v1.5_10yrs.db,94353300,56935656,6593832,60129864,91550628,63955080,37334556,76289184,64867968,96341328,81490860,94306284,69359580
bulges_bs_v1.5_10yrs.db,25959636,15062112,11748708,142658640,142171560,65242224,53407224,192984336,65363544,118370844,92053152,133336692,131996772
bulges_bulge_wfd_v1.5_10yrs.db,78477048,45907416,20561544,153476820,178088184,95088924,107163432,213869664,119083248,118990440,141138756,130289256,149899212
bulges_cadence_bs_v1.5_10yrs.db,18327636,8752176,12160980,133871544,185101812,46865628,31098708,205551900,35327808,68930748,140719824,180724500,129792960
bulges_cadence_bulge_wfd_v1.5_10yrs.db,82432404,50657544,23636412,154669140,178444908,88337088,54747720,216557496,116982756,110804256,143182188,158807880,147124584
bulges_cadence_i_heavy_v1.5_10yrs.db,50456124,62038872,39112272,159751908,160986564,100365984,70989048,204027516,104682672,115731432,139553388,142945560,138916260
bulges_i_heavy_v1.5_10yrs.db,53148888,25771428,15424776,159828732,181504656,121622112,30073464,202628556,117564120,132109884,135695376,140273100,134922204
daily_ddf_v1.5_10yrs.db,92784384,49988232,18220932,68031936,82873548,104462424,60394500,68730552,76914900,163109448,69547536,126226728,67656528
dcr_nham1_ug_v1.5_10yrs.db,57763476,44410752,4892328,56735856,76475916,86107464,31983084,64092204,74525976,105423516,71838648,102763260,59602896
dcr_nham1_ugr_v1.5_10yrs.db,97101576,52719696,4418964,58237632,64815552,90129132,30416868,58222836,67510980,90966816,77834016,73258056,70494912
dcr_nham1_ugri_v1.5_10yrs.db,98640468,72787284,33360048,56981556,53601480,54664704,64094148,61724952,93073608,101558736,77642676,92737116,66789648
dcr_nham2_ug_v1.5_10yrs.db,125899776,50450364,8506116,59114412,91428444,117491760,53750916,80027460,77603832,158283072,72522648,120001896,67928220
dcr_nham2_ugr_v1.5_10yrs.db,88246656,58454532,3878352,52156440,65650176,107321400,31512564,66569940,94212864,99291276,60272496,72699408,67800888
dcr_nham2_ugri_v1.5_10yrs.db,140893704,38958588,5112216,58039020,79152192,49690260,17040924,85476780,101806704,143134164,69793200,125973180,73266804
descddf_v1.5_10yrs.db,87899472,55701684,9973116,58983984,77571288,95614164,25295688,64423080,56078496,59730408,72333792,90302364,76138632
filterdist_indx1_v1.5_10yrs.db,211898484,136689588,52536312,218169900,211987476,212286924,122861844,218169900,217716516,215367012,218169900,218110248,218169900
filterdist_indx2_v1.5_10yrs.db,215459640,128788380,34355520,218169900,218169900,209776356,140040144,218169900,218169900,217292904,218169900,218169900,218169900
filterdist_indx3_v1.5_10yrs.db,216626508,167303772,33463080,218169900,213431400,199295280,73415520,218169900,218169900,217523628,218169900,216725976,218169900
filterdist_indx4_v1.5_10yrs.db,119998728,71933904,9782856,218169900,214193556,213888996,100818396,218169900,218169900,214552260,218169900,217716516,218169900
filterdist_indx5_v1.5_10yrs.db,202245012,49151232,24987060,218169900,217596744,129279348,99319932,218169900,217844640,214174764,218169900,218169900,218169900
filterdist_indx6_v1.5_10yrs.db,212165208,41946228,6188328,218169900,218169900,210810168,54585036,218169900,218169900,213331356,218169900,215326836,218169900
filterdist_indx7_v1.5_10yrs.db,213990264,104773428,26670816,218169900,216922248,209843064,77480856,218169900,218169900,216616212,218169900,217283256,218169900
filterdist_indx8_v1.5_10yrs.db,214030656,83822112,19078740,218169900,218169900,192219444,63820872,218169900,218169900,216504900,218169900,217716516,218169900
footprint_add_mag_cloudsv1.5_10yrs.db,83298492,79903944,42097644,58230072,100069452,132913512,95794344,74322216,68801724,93379716,63425160,66356028,67855896
footprint_big_sky_dustv1.5_10yrs.db,12896892,11958768,5375592,25286148,22008060,13087296,6920280,26159184,17063136,18109692,25504920,18814680,23209704
footprint_big_sky_nouiyv1.5_10yrs.db,0,632952,0,10158840,0,0,0,0,0,0,9703440,0,0
footprint_big_skyv1.5_10yrs.db,405288,5718852,0,10158840,2675196,1996056,0,10158840,10158840,0,10158840,0,0
footprint_big_wfdv1.5_10yrs.db,63184500,37784916,7397064,52167096,66632616,65328696,36489384,55272528,74461896,143242344,62943408,120760380,51589944
footprint_bluer_footprintv1.5_10yrs.db,81143280,53808372,4758624,65750652,74498940,102693060,14336532,63906840,68623848,110234268,65415312,107134020,84185856
footprint_gp_smoothv1.5_10yrs.db,233873424,151472376,29231280,239285124,238625460,218818044,104966820,239838804,238625460,237241548,239838804,237952584,238506264
footprint_newAv1.5_10yrs.db,187624512,54968616,31054284,232524540,232524540,205869024,94767516,232524540,231840036,216655776,231568884,231662376,231568884
footprint_newBv1.5_10yrs.db,169816068,36851004,22791132,224106696,224301024,202211172,72110376,225012132,223921656,207361044,223187688,223606404,224111052
footprint_no_gp_northv1.5_10yrs.db,65103624,20501352,1555956,49325832,85633668,84820464,24144660,61574472,56895984,96729876,55593072,104332032,59586228
footprint_standard_goalsv1.5_10yrs.db,92175372,44612604,10185300,65520792,108693000,79571016,75040416,73177812,55470816,96178860,59368248,87849504,99239112
footprint_stuck_rollingv1.5_10yrs.db,44565084,22488984,5724432,21946284,52214688,87127776,38952540,25764624,37768212,26603928,21283668,30229236,24157944
goodseeing_gi_v1.5_10yrs.db,73328616,47630448,22932036,55866420,70576164,53350560,33549120,90420012,82421424,82012284,67100796,70091496,64509768
goodseeing_gri_v1.5_10yrs.db,76285872,87559128,71800452,77001876,69563700,64657008,83165256,70801452,79217100,93520008,78070176,80380008,60448788
goodseeing_griz_v1.5_10yrs.db,77332680,103849128,18821484,58525020,95061708,95447196,57333312,73329372,59261400,66705768,85729968,88760412,74916720
goodseeing_gz_v1.5_10yrs.db,99456516,104919084,32522436,66793644,70233768,86852448,46859472,64190916,62037324,71736444,71506980,71659908,67519548
goodseeing_i_v1.5_10yrs.db,78230160,52412040,2604384,67935204,54917028,58301928,33291936,84602016,62879688,70484040,78473484,55127772,64663416
greedy_footprint_v1.5_10yrs.db,77430060,61803648,24517512,53096760,98264052,95093100,29916540,78257412,65687436,81549504,68657112,92002788,80742024
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,26414568,58778928,30271824,238898772,197229024,116711604,78951492,241727724,126608148,96632064,241727724,163415808,218615544
rolling_mod2_sdf_0.10_v1.5_10yrs.db,72211104,102288420,12854448,66937212,59831244,85780872,23496300,88197120,107549208,80957988,88325856,63167076,106848648
rolling_mod2_sdf_0.20_v1.5_10yrs.db,75631572,79389648,24788160,71216244,99767520,114638040,38141568,75422592,74523816,82877148,84682692,105388128,102463272
rolling_mod3_sdf_0.10_v1.5_10yrs.db,74715480,64850184,24758388,53903484,50040936,75876480,38117268,61092576,78092676,87210468,59658228,58065732,79005780
rolling_mod3_sdf_0.20_v1.5_10yrs.db,59465988,98908452,10654740,58817916,79477092,85880160,46548036,79048728,76312188,71575776,75824280,80185968,72507456
