db,uu,ug,ur,ui,uz,uy,gg,gr
goodseeing_gi_v1.5_10yrs.db,114,129,106,116,0,0,125,122
goodseeing_gri_v1.5_10yrs.db,117,115,110,105,0,0,113,119
goodseeing_griz_v1.5_10yrs.db,128,140,96,133,0,4,115,112
goodseeing_gz_v1.5_10yrs.db,121,110,118,135,0,5,123,120
goodseeing_i_v1.5_10yrs.db,110,117,113,112,0,0,111,122
greedy_footprint_v1.5_10yrs.db,113,118,115,121,0,0,114,114
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,49,39,60,21,0,14,45,63
rolling_mod2_sdf_0.10_v1.5_10yrs.db,135,145,122,102,0,0,123,118
rolling_mod2_sdf_0.20_v1.5_10yrs.db,124,139,116,96,0,0,130,130
rolling_mod3_sdf_0.10_v1.5_10yrs.db,112,131,112,103,0,2,104,119
rolling_mod3_sdf_0.20_v1.5_10yrs.db,124,135,112,101,0,0,115,117
rolling_mod6_sdf_0.10_v1.5_10yrs.db,96,110,96,94,0,5,96,109
rolling_mod6_sdf_0.20_v1.5_10yrs.db,93,122,104,108,0,2,96,114
short_exp_2ns_1expt_v1.5_10yrs.db,199,220,195,141,0,0,186,217
short_exp_2ns_5expt_v1.5_10yrs.db,203,219,195,120,0,0,181,212
short_exp_5ns_1expt_v1.5_10yrs.db,222,227,215,140,0,1,230,230
short_exp_5ns_5expt_v1.5_10yrs.db,216,229,226,117,0,0,210,229
spiders_v1.5_10yrs.db,119,116,111,111,0,0,111,114
third_obs_pt120v1.5_10yrs.db,112,119,110,114,0,0,110,112
third_obs_pt15v1.5_10yrs.db,117,118,126,120,0,0,119,126
third_obs_pt30v1.5_10yrs.db,122,126,127,114,0,7,118,123
third_obs_pt45v1.5_10yrs.db,117,105,122,93,0,0,111,120
third_obs_pt60v1.5_10yrs.db,122,106,124,130,0,0,116,134
third_obs_pt90v1.5_10yrs.db,109,122,112,115,0,0,117,120
twilight_neo_mod1_v1.5_10yrs.db,101,171,53,116,0,2,94,93
twilight_neo_mod2_v1.5_10yrs.db,114,187,86,94,0,0,103,107
twilight_neo_mod3_v1.5_10yrs.db,135,194,83,90,0,0,110,99
twilight_neo_mod4_v1.5_10yrs.db,122,174,93,97,0,0,107,108
u60_v1.5_10yrs.db,4,19,26,30,0,0,99,154
var_expt_v1.5_10yrs.db,116,98,137,126,0,1,107,102
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,232,207,217,183,0,9,245,225
wfd_depth_scale0.65_v1.5_10yrs.db,231,206,212,164,0,4,243,224
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,232,208,218,167,0,7,243,212
wfd_depth_scale0.70_v1.5_10yrs.db,230,214,216,158,0,7,244,209
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,229,217,195,153,0,5,243,180
wfd_depth_scale0.75_v1.5_10yrs.db,230,212,203,135,0,10,243,182
