db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,1344.3176942223402,2.2940376707929313,3.7755728129486688,0.9390610299329767,0.03137256680903543,0.010489142386947108,2317.0299764522515,4.687270255909369,2.5985788248726527,1.7967528989671677,3.2415896183923207,5809.176285604799,2.51620246649784,1.2288086045203512,5.02898324528903,4994.938231856073,1.205985143547863,2.965647554738653,6844.16171417825,4.700149807110567,8676.201146546611
alt_dust_v1.5_10yrs.db,1259.895408021927,2.249871139656103,2.690474590748952,0.7989507377797684,0.04319108406540494,0.01891424829478352,1876.9679538394032,1.9794492397752494,1.1076850923342576,0.37078854048702586,1.0313722993691845,3007.9998954301914,1.9077818763607237,1.175764927869396,1.2735478373935878,3489.72240435246,1.4818016657526634,1.783850908108743,3524.9978571341167,2.5883288814954506,4753.590269769164
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,1484.8209093036398,5.48005927139237,1.8397776291479846,0.37792502005356965,0.011045650899506702,0.0046866392614373096,2228.7794113167765,2.6762144503383998,1.4824063492970607,0.722447327107976,2.8283495332134367,2511.5295369373994,1.7354051288868944,1.870815873096058,6.237576527241523,4080.886719078626,1.6730518443183542,0.5379644549884491,3187.3095983948315,0.9568902137536147,3089.9288320480428
baseline_2snaps_v1.5_10yrs.db,1928.009899958083,4.504864629855073,2.0914924188651005,0.884971882124373,0.029307779619579005,0.01710492485948884,3332.4847933061187,1.7923756480021278,2.678450098080513,2.02979995293183,1.2700143043445373,6534.933550733695,3.4818246995852538,3.5864449137328265,2.6935002021925114,7892.426191844411,5.619699219689207,2.3954846513881676,8586.988415095508,2.06773412634902,7792.651639134777
baseline_samefilt_v1.5_10yrs.db,1903.9980832457409,7.961600843028131,4.035035880984817,8.425039654799823,0.01259297262102548,0.010848288743651891,2269.3849800244625,3.384126767044986,12.174399981138437,1.9379477024665444,0.37013079384809305,4915.591462952904,3.384597074254137,1.6126999493979803,0.9812222207292708,7073.3813940860255,2.684774471846527,1.849593838036617,5132.111461207066,2.336460804968656,6685.65368982024
baseline_v1.5_10yrs.db,1417.0646372205845,1.6379922459703058,3.125653189045715,2.1268927614668103,0.036024655652452664,0.0034339447911566883,2956.649240529058,2.7306051981139574,2.1239694194987027,1.9488911208078588,1.5956312673716393,7713.058137668789,4.328096086534253,5.628119448444566,3.079393083555715,7001.64217069084,2.0911934820353997,2.1815698499698075,5422.071467740269,2.466411030873692,6093.5079740921055
bulges_bs_v1.5_10yrs.db,894.003104750122,1.5907691596895583,1.5336097673259683,0.49136496534320695,0.01759261096164796,0.007356476709513967,2215.120169703665,4.491758181007317,2.3893806286672477,1.0296692305630668,0.4455739334444209,3983.405155527812,3.01293182576196,2.1906489395622595,1.68979675451029,3010.770965783585,2.3950471826362847,1.0590747113738357,3697.202878701518,2.0606158951979126,4805.625667208374
bulges_bulge_wfd_v1.5_10yrs.db,1017.8351696007898,4.323558131935626,1.797934642730224,0.36307642748491875,0.00839872492534967,0.03132497834084722,2739.1347710836394,4.413232000208561,0.8093326290447121,0.38908451564876395,0.20310335680288247,5602.7585749411355,4.084642545834495,1.6801007120167235,0.9398548619760021,7161.863744419975,4.379786184835097,2.4185438579983973,6994.095146972871,4.624924268981428,7555.4310349498455
bulges_cadence_bs_v1.5_10yrs.db,886.8075509299574,1.1867671403701243,3.183507347683699,0.635038259876455,0.00775267166366613,0.015842803323219707,1555.9922024305442,2.8631964091763806,1.0359048426989057,0.5004715485598914,0.41266101253872683,3919.9179093418797,3.6661478254221076,1.5174055096503443,2.048890210831289,2933.828507582497,1.1638534354775023,1.587572034949318,2904.5496524707823,1.4010139376261224,3437.000592626317
bulges_cadence_bulge_wfd_v1.5_10yrs.db,1440.9716503078878,4.761179175995952,2.6941174933028913,0.7300385166179216,0.01508560620222054,0.01862659702867707,2774.977969676209,5.548088289063389,2.2874223201292776,1.2378505644618039,0.796119607193003,6769.277581605072,4.793052325071848,1.7180745539539761,2.9558440856211137,6597.940266932798,1.7489663780448554,1.7246600838532493,3899.976707814552,1.5715583264170685,6395.359690688995
