db,brightness,color,footprint,star density,depth,family
agnddf_v1.5_10yrs,0.14518282883336173,0.5265999300962069,0.6874776258323189,0.29435764254615115,0.9435074003732377,agnddf
alt_dust_v1.5_10yrs,0.1522723483685445,0.7510958559635423,0.4494164817068804,0.1401300869179339,0.8651681876024182,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.15788499175483525,0.8500642511976089,0.5549151571561537,0.15960956698467027,0.8103651731084092,alt
baseline_2snaps_v1.5_10yrs,0.1392891990977483,0.4843412576206307,0.4230328631774898,0.22232123702894313,0.9003976528592752,baseline
baseline_samefilt_v1.5_10yrs,0.20614728780535377,0.20705581225062472,0.5134245006085773,0.27597503665447654,0.9089022559016262,baseline
baseline_v1.5_10yrs,0.1471709599539808,0.5651114149674415,0.7176917018686905,0.29233101562093633,0.9419780579469819,baseline
bulges_bs_v1.5_10yrs,0.1490827427688606,0.5077333032447173,0.39246080045822285,0.16353668471998134,0.8789199004465847,bulges
bulges_bulge_wfd_v1.5_10yrs,0.15556024977162555,0.5012807358705929,0.378606715830171,0.21755740597578602,0.8803749616041062,bulges
bulges_cadence_bs_v1.5_10yrs,0.15175558881695106,0.5137473598845103,0.39371375384835683,0.12282603805458614,0.8749147039080245,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs,0.16073812342002536,0.4939222314907645,0.37703157442543134,0.26586884185112847,0.8774466111715504,bulges
bulges_cadence_i_heavy_v1.5_10yrs,0.14592452355149652,0.5103573395480859,0.3660055845922532,0.1962889635107413,0.8814770624441047,bulges
bulges_i_heavy_v1.5_10yrs,0.15395504955602332,0.49757651566591643,0.36024199899763726,0.20307562068956528,0.8773820272159236,bulges
daily_ddf_v1.5_10yrs,0.1488872883527199,0.47293161572687203,0.5172907567838476,0.2609267098450102,0.9339752283426233,daily
dcr_nham1_ug_v1.5_10yrs,0.19575107577841874,0.5290529431711706,0.683897759003365,0.2977719798486727,0.9018394762173059,dcr
dcr_nham1_ugr_v1.5_10yrs,0.22861381936678007,0.5034866924845829,0.672084198467817,0.31902622019326504,0.9099111065491425,dcr
dcr_nham1_ugri_v1.5_10yrs,0.18901346258545793,0.5139699760419641,0.6767022266771675,0.28017329574345773,0.9011809144450805,dcr
dcr_nham2_ug_v1.5_10yrs,0.22305246244414434,0.49878527808065454,0.665389847497673,0.29418034555080763,0.878144760457061,dcr
dcr_nham2_ugr_v1.5_10yrs,0.20906618887773698,0.46018155451853987,0.6378606715830168,0.28426803936238176,0.8765271508636517,dcr
dcr_nham2_ugri_v1.5_10yrs,0.19884208824254349,0.4605532430231714,0.6604496312737165,0.3131804874529771,0.8759207399554328,dcr
descddf_v1.5_10yrs,0.16158264224742247,0.5210418633435095,0.649531037445407,0.26908368453538717,0.9472178407070228,descddf
filterdist_indx1_v1.5_10yrs,0.26658488463174873,0.6236424851461113,0.7107467602205197,0.7491787544291775,0.9501073756238627,filterdist
filterdist_indx2_v1.5_10yrs,0.15355533637729998,0.6232400493385181,0.9705376959977089,1.0,0.9851701623704174,filterdist
filterdist_indx3_v1.5_10yrs,0.20485585998222255,0.6038671957081662,0.6947089568268059,0.7302672707042709,0.9612708964460976,filterdist
filterdist_indx4_v1.5_10yrs,0.20662675252611568,0.5287683976514795,0.7268203622825229,0.7280493870530278,0.9673631340601102,filterdist
filterdist_indx5_v1.5_10yrs,0.15880563052349886,0.4983632129636907,0.6548650390205483,0.6182728345897095,1.0,filterdist
filterdist_indx6_v1.5_10yrs,0.1438864563339313,0.4737654543838349,0.7314025918235841,0.711798592286179,0.9754192504237311,filterdist
filterdist_indx7_v1.5_10yrs,0.17318358501865638,0.6722683834122398,0.9246438032505192,0.9851581910323085,0.9768631539458688,filterdist
filterdist_indx8_v1.5_10yrs,0.16394298562398246,0.5462543885545201,0.8942507338726998,0.9178867653197624,0.9891133008703498,filterdist
footprint_add_mag_cloudsv1.5_10yrs,0.16409560676018353,0.5468601167131328,0.6638147060929332,0.35407573896521227,0.9338875395651325,footprint
footprint_big_sky_dustv1.5_10yrs,0.1624647398844855,0.567292729707107,0.6936707954464093,0.13267642077713337,0.8274077876892275,footprint
footprint_big_sky_nouiyv1.5_10yrs,0.1629964690780733,0.5841325612136972,0.8637502684900121,0.1881820380675174,0.8447282648332297,footprint
footprint_big_skyv1.5_10yrs,0.15502084538926034,0.5979474856722643,0.8338941791365361,0.18160622334790308,0.8473833628347233,footprint
footprint_big_wfdv1.5_10yrs,0.13816611111929647,0.49893397501500875,0.29619818142765086,0.15598184621020875,0.8627457211131644,footprint
footprint_bluer_footprintv1.5_10yrs,0.2215020063408292,0.5310874779787497,0.5428868046108684,0.2498424969690471,0.9083083739467733,footprint
footprint_gp_smoothv1.5_10yrs,0.15678642426908343,0.5305277880555882,0.5342593255530892,0.5886846169469689,0.9404798578639585,footprint
footprint_newAv1.5_10yrs,0.13156142781197536,0.45481895695692726,0.21701152717118918,0.16483822849484234,0.8714400557847978,footprint
footprint_newBv1.5_10yrs,0.14337772796120568,0.47451478115570617,0.30489725782200905,0.13615853585839166,0.8389089862612239,footprint
footprint_no_gp_northv1.5_10yrs,0.1683116107934102,0.5543024961950676,0.7371303787499105,0.27418125861946213,0.9435976776802389,footprint
