db,FoM_tgaps_same,FoM_tgaps_diff,FoM_EG,FoM_Gal,FoM_depth,family
agnddf_v1.5_10yrs,0.17484372837798168,0.4760158138985806,0.36238949592837827,0.10360629600125477,0.9453786763181554,agnddf
alt_dust_v1.5_10yrs,0.12600236481496052,0.2737101228475155,0.10703953230475534,0.06047253481746103,0.8886756213424583,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.12960847889488733,0.34069922790198576,0.11387869506240852,0.07691554345920779,0.9004480929466535,alt
baseline_2snaps_v1.5_10yrs,0.2170846604991264,0.44609381871438963,0.29016306249877116,0.09444451812042312,0.9109591023293582,baseline
baseline_samefilt_v1.5_10yrs,0.17618720792511702,0.08504559817475424,0.1807768906125373,0.06351813383953873,0.922609183660217,baseline
baseline_v1.5_10yrs,0.1791466013043905,0.5204260741887006,0.37914283182185116,0.12418703408698721,0.947746983298893,baseline
bulges_bs_v1.5_10yrs,0.12488423615357237,0.2194286550189103,0.09479891603531874,0.04809008093358699,0.8941279657385703,bulges
bulges_bulge_wfd_v1.5_10yrs,0.1706020142893116,0.4499061466341319,0.22441563890659846,0.20857004501706305,0.9194245484495396,bulges
bulges_cadence_bs_v1.5_10yrs,0.09880769109472172,0.20976392289027398,0.10711641024598317,0.03058825867732643,0.9063758722803986,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs,0.17377241812207286,0.2697628129014589,0.14184004826011284,0.24776579822112102,0.9026744654964021,bulges
bulges_cadence_i_heavy_v1.5_10yrs,0.13319353843995532,0.2701460309009637,0.1410527791527431,0.17613508718466797,0.9080304166014147,bulges
bulges_i_heavy_v1.5_10yrs,0.13852193752601163,0.2786980799315319,0.15027495480990888,0.1438383915735838,0.9059010999306681,bulges
daily_ddf_v1.5_10yrs,0.1614886099621842,0.456023217063655,0.34089492908853447,0.1254664474462601,0.9556085755420977,daily
dcr_nham1_ug_v1.5_10yrs,0.24568087670246333,0.5128091446962533,0.38256643448246785,0.11892320379452383,0.9249234557106535,dcr
dcr_nham1_ugr_v1.5_10yrs,0.26549462757451764,0.48852272389323564,0.37470669589968575,0.11257196328761282,0.9280482609803231,dcr
dcr_nham1_ugri_v1.5_10yrs,0.2502519577826987,0.47337387431501077,0.36021886720532637,0.15852625045433696,0.9110431090127762,dcr
dcr_nham2_ug_v1.5_10yrs,0.26380256185502776,0.4550641992952059,0.32441296842026646,0.14532789493704779,0.9161038264783952,dcr
dcr_nham2_ugr_v1.5_10yrs,0.2878498368014838,0.47456412426075767,0.30516276549403054,0.10997561965694443,0.908064719907641,dcr
