uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
118060518,120644207,118883991,110484726,82991577,35598546,122000123,122334434,110939117,105663863,95792016,123314701,122337200,108462297,105306337,122249195,123227368,107395578,122255695,120746317,121591949
118566720,122227170,117514161,108080914,92521220,43621378,119302289,119298503,110057188,107352197,96534592,121165464,121163832,109338630,106967732,122882985,122870059,110758989,122869113,122868030,120502421
114124946,118842878,113329275,97877851,61369874,39409820,117319705,120953243,109558009,92817905,75082341,116379932,116629528,106402254,94076703,117618535,121154750,108935736,116026297,116227556,122070148
120205134,123653516,118033108,112106896,87664995,43329902,120514908,119696158,114044027,110176440,104358377,120935563,122877350,111026351,107270854,122889629,124060969,112369841,121170028,120544236,119270138
117838804,120575178,119239136,110175226,89614655,43897880,120689372,121603814,111991259,106405062,105923999,122877202,125308139,111527535,111435254,122135721,120519201,111940353,120533962,123861036,122685392
120575909,121634733,121163368,110559186,91557735,56106857,122166521,121935111,112925759,105736681,103044682,122871921,122868541,112303296,107976785,122866485,118959898,113062543,120480690,120478771,122908860
116941136,119528296,116800120,109829402,92523544,50829743,119554153,121258849,112049182,108338802,103368089,123853143,122872658,112837777,109870829,122878497,122883754,110362697,122884581,123216655,119258797
116431387,120147275,116318872,108858177,90254710,37570178,117981331,120493710,109658965,107443190,96429981,121156382,123630687,109065430,104529603,122877666,122875894,113003129,124062499,122340590,121680625
118592365,123427646,119848051,111102063,84765781,50815990,122896204,121257582,112024120,107552064,99333469,122867415,123844414,111208365,109784579,125024845,125027549,111655941,124075327,122901633,122904414
98763042,100734089,99233390,78023340,56070377,29473664,100740560,101536985,93122612,73324231,61441763,101761178,101564298,93633564,90475341,101300716,101026541,95761021,101345015,100872882,101445392
119454229,122068926,121172283,112274435,91394635,42828145,119967934,119268178,114371699,107163668,98788099,122884517,122869898,109778779,108056762,122879717,122873296,112364131,122867694,119321742,119567520
119982815,120908476,117589794,110122918,95503991,54339077,119932444,119299167,111480908,106678691,101291397,121163196,124049608,110114430,108374217,122879281,123235656,113151660,124060251,121629471,122134125
118343796,122095577,118683771,108193433,86650214,47445403,121256620,122251850,109157137,108016982,103809831,122878536,122872340,111992963,109052700,122869916,122139512,112129661,123856315,120370962,118102941
117647410,118673406,117627818,110103769,89846864,52951809,120478593,121164182,116508579,109546994,99954790,122877717,120939721,113767157,109909391,122877096,123122783,112341821,121629283,121520976,122274810
119057584,120283347,117899221,109560322,85367569,56944660,120286860,120643356,109979273,107289751,103088435,124054619,123425470,110701140,108034538,123320751,122136596,112550639,123846597,121259230,122881061
120031981,122888132,117478948,108827287,91676245,58695233,121602882,120835829,110287580,107473858,102008536,122114642,123007070,111773126,108975667,122875960,122877875,112389210,122887416,120570501,122983979
119246880,117041104,116240197,106823644,87306654,34759415,119560616,118883606,109543352,105927520,94907726,123861290,123856549,111570887,107053928,123851989,119227280,112018966,122882814,122877635,125031815
118434624,117631509,120583295,107893243,82949382,41348136,119231052,119228618,109771530,105739727,96066405,122883353,123853070,109576904,107812711,119236952,119229573,111708801,122339061,122776552,122353819
119998227,118874490,119926833,108149249,85739892,36553633,124146063,119898893,110116695,104095841,94002002,124056922,122247926,109282837,106417075,122869217,120009084,111359554,122868511,121175206,121166954
117359082,115039421,115720650,106680850,77028673,27658383,122231816,122212320,108517753,101833720,91092735,122881304,124054222,109378599,107106332,122872347,121156802,110340048,122864107,119941236,121260377
118377698,121423981,119446712,110782828,88691790,26242823,119962812,120950560,114184814,109513221,97877107,122880845,122871686,111085913,107425332,122866238,121474970,112316216,121163503,120941666,121174745
120008561,122073112,115674689,108931254,79602090,30709776,119913375,121155770,110552448,105454623,93307800,121154996,122875703,109835821,105606834,122897694,122662321,110569884,122342486,121691321,121682019
119952437,119291587,117414258,109571873,91980208,37839115,119941489,121624878,112292891,108483642,99761408,121639976,124058572,110191717,106276948,122898774,122876537,111619354,122871842,120937177,122802388
116454135,121291935,115095349,109868756,89946494,37293593,121186850,122347408,110360878,105091573,94529986,124059964,124042444,111260822,106893379,123848233,123847532,110124826,122878236,120500307,121588797
122180781,121094047,119216304,109543789,90580751,34187916,122915146,122809342,111097320,106985017,101319051,121629927,122867082,110818394,110424745,122884249,122672133,112380858,121180223,122474657,123852012
120527599,120105245,116228536,109597779,88637102,31951981,120507793,123199095,111886814,105428065,96778317,123194650,123385938,111198054,108699376,122867249,122875739,112529456,122906939,121731988,119251209
119276748,120458297,117373931,107077129,89636216,42783251,121780086,120359757,109838349,107880685,90736815,121158786,119916627,110385249,106804613,121165553,121632453,112975894,122877099,120939220,119565825
118054637,120487885,114453255,107726768,93384719,52531393,122876894,124054750,110995686,107831479,101805886,125359474,122218973,111346981,107318760,123652043,121165720,109469084,123633045,122289807,122878433
117961862,118112996,119661806,108237524,95731749,48317932,119222560,120942106,111834046,107947068,97718660,122886395,124059036,110358560,107082851,125564885,122880126,111708686,122894362,121370847,124045432
121302126,121183642,117484972,109325477,93706552,44247294,121178340,119488879,112859076,107839471,98062555,121185751,119946212,111181094,107112248,121201318,121817503,110342835,121191844,122340121,121164684
117377716,120055691,115797001,108784104,94665817,44871726,117368632,118612407,112260300,107106090,100001097,123141641,121189287,111021297,107878034,125553232,121850416,112618918,123308721,121173244,122177323
114956127,119772509,115647068,102346563,66076461,13444428,120514616,121678671,114441734,109095345,104582634,121160037,120498150,110638440,109049693,120497336,123193408,110723981,122891230,121155873,122865653
118328073,117906259,118045107,110428652,92869924,62275624,121178157,121701674,111002630,107448750,94178212,124049881,122261703,110368467,106011570,122876203,120279025,112550603,122873244,121299871,124059120
119502827,122275667,118252558,110499399,74992392,28864517,121106252,119224087,112830597,102297524,90545649,121155219,122650084,109108384,106020742,125343042,124365963,111260339,124380999,122312417,122174084
121414582,125351891,116001206,107823595,73509696,24362308,119943257,119923665,110643607,105454898,83296882,121417740,120940948,108511368,103862674,122887463,123197054,110236654,122153934,121778544,123798088
120961375,120957594,117371487,111499188,81655739,33264539,122890381,120507240,112542630,102976206,93970705,121171379,122871352,112867955,109558347,122875827,122875903,112268688,122873251,121621705,125343499
119972145,120951320,115743677,108071275,79450258,34885295,119623310,121269816,109690356,104184617,90414355,121154394,122874916,110007386,106518394,120381214,119522573,109443295,119517243,121161844,122082073
122334611,124856752,116352594,109808461,78517893,38657074,123922109,120539054,112009576,105718115,93990469,119241673,120721845,111474674,105873404,122245755,120629958,112663913,120592985,120413399,118632541
117691364,119419489,116424255,108246492,85601752,32306593,119336999,120515413,110020997,106710413,91611388,122879789,122873736,108518017,104959697,122869815,120935393,110834588,122880793,121679422,122273129
119565921,122021985,114716242,108876628,90067456,42621527,119556012,119473078,109585753,105927543,98490690,121155060,121154446,110561194,109008333,121165042,122868175,112954869,122885876,122887593,122937547
121077627,122034695,118267608,111339158,79683799,35334502,121185992,122043997,112146860,103128882,97054783,122876214,122210295,111279102,109918328,122882539,122112969,112926696,122888291,120539076,121185665
120664413,124388224,120103821,110443349,92192802,43392837,122918540,122883176,112003060,107171562,102010059,122882547,122871190,109297205,108364507,122872123,122870348,113415688,122877295,124051235,123401397
118123315,121216989,117651021,108531910,87367049,33191808,122951896,122883669,111590058,105872577,98320646,122874971,121944297,110789376,107483789,122866986,122873675,112960924,122894211,121161372,120937976
116347017,119246979,117602697,109876159,90397391,42808780,122251104,123414264,112827371,105203631,100773260,122897337,121175176,111151636,107360234,122886106,122866515,110766791,122874291,120936264,120944919
119947304,119537812,116242849,110846621,90799861,44549956,119942284,122970754,113200522,109257965,98711908,121161137,121166774,112054590,108060849,122349424,122814438,112735677,124066966,121779663,122237448
115088126,118635935,119658777,109089940,101983217,52972176,118929830,118946986,110097713,107380451,102613084,121202596,122343929,109238512,107453962,122335989,121163896,110756149,121182248,119228409,124045148
118707182,120598210,116370021,111506630,92708298,41181792,119982191,120346709,111052495,105652489,98040949,121628341,122869421,108662397,107314727,124050358,125551669,111934596,122355697,121164530,122877282
114196858,115831484,114016964,110968951,98637075,47989600,119258047,121928748,112095537,110124028,100071008,119244207,120413878,112273115,106766466,120930940,121159529,112970653,121169203,120213881,118939384
118970278,119541997,116385129,110833599,93461962,47668541,121176731,122871365,111633784,108147663,99562245,121178810,123635858,110679849,107407336,121164472,122875978,113286032,121186147,121189420,121185862
