db,brightness,color,footprint,star density,depth,family
agnddf_v1.5_10yrs.db,0.13298820346473691,0.527501139686645,0.7172333848531683,0.7281155461175991,0.9323163352207207,agnddf
alt_dust_v1.5_10yrs.db,0.1330439810746778,0.7134567380769078,0.4420788253477587,0.2542549875897622,0.802599315122437,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.1389559523268029,0.8153140572898367,0.5510819165378669,0.3066064445854569,0.6957472787490485,alt
baseline_2snaps_v1.5_10yrs.db,0.1353745291284073,0.4882041735138495,0.4371329211746521,0.46718311009592445,0.8643639089939503,baseline
baseline_samefilt_v1.5_10yrs.db,0.20647857106034198,0.1681591485418375,0.5192812982998453,0.5041456257702647,0.8676711558355275,baseline
baseline_v1.5_10yrs.db,0.14242486791452344,0.5702256421594053,0.7520092735703244,0.7662892024209147,0.9232854065035967,baseline
bulges_bs_v1.5_10yrs.db,0.1227041538791327,0.41878823004814275,0.32530911901081905,0.2682416253090132,0.9277751660425643,bulges
bulges_bulge_wfd_v1.5_10yrs.db,0.12691359487358317,0.4141712786604514,0.30927357032457486,0.24161823692130474,0.9303809331727889,bulges
bulges_cadence_bs_v1.5_10yrs.db,0.13051111947597166,0.427811652978105,0.3275888717156104,0.2630775742395681,0.924142910966272,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs.db,0.13024059164428708,0.4145804521309042,0.3069551777434311,0.24210001230030576,0.9256238766900566,bulges
bulges_cadence_i_heavy_v1.5_10yrs.db,0.12293859087039892,0.41805618416232526,0.3012364760432766,0.2306129530649886,0.9306148125042105,bulges
bulges_i_heavy_v1.5_10yrs.db,0.1285863838430334,0.4134151617109771,0.29084234930448216,0.2220737552394461,0.925667058702067,bulges
daily_ddf_v1.5_10yrs.db,0.14930317032148047,0.47584263250335546,0.5384080370942812,0.5871993329171944,0.9129305419088742,daily
dcr_nham1_ug_v1.5_10yrs.db,0.19307365105810442,0.5315329286449746,0.7117851622874805,0.7276369134620849,0.8765017716216655,dcr
dcr_nham1_ugr_v1.5_10yrs.db,0.22656933512187838,0.5096715201927652,0.7012751159196289,0.715931866001595,0.8679415419222904,dcr
dcr_nham1_ugri_v1.5_10yrs.db,0.17935578127077245,0.5173175871819077,0.7073029366306025,0.7088697316887346,0.8474367916646824,dcr
dcr_nham2_ug_v1.5_10yrs.db,0.2211147772028697,0.4880355754141622,0.6962132921174651,0.6941779191518456,0.8411022539576618,dcr
dcr_nham2_ugr_v1.5_10yrs.db,0.20724581887087098,0.4620188860164699,0.6665765069551777,0.6891831669547056,0.8079420190708885,dcr
dcr_nham2_ugri_v1.5_10yrs.db,0.19959030324746257,0.45657821679502186,0.6879829984544048,0.6981465343958012,0.7863862635675974,dcr
descddf_v1.5_10yrs.db,0.1584471457682029,0.5228263324210696,0.6778979907264296,0.6957199574397346,0.9351297416880113,descddf
filterdist_indx1_v1.5_10yrs.db,0.261457729811877,0.6396687078809095,0.6946676970633692,0.6580905475784008,0.8893745051822762,filterdist
filterdist_indx2_v1.5_10yrs.db,0.15670010102279663,0.6494826477252201,0.9612442040185467,0.9180644375121663,0.9633434433537386,filterdist
filterdist_indx3_v1.5_10yrs.db,0.21023928308605538,0.5966672477223256,0.6814142194744975,0.6408091931368305,0.9157837445810877,filterdist
filterdist_indx4_v1.5_10yrs.db,0.2084260298530464,0.5760248643047026,0.7124034003091189,0.6776862427076088,0.9227132332886707,filterdist
filterdist_indx5_v1.5_10yrs.db,0.1603257486875444,0.5392432192415954,0.6511978361669241,0.6042534571577919,1.0,filterdist
filterdist_indx6_v1.5_10yrs.db,0.14845636757225714,0.517853112081536,0.7266228748068004,0.6725592796314115,0.9491154477818037,filterdist
filterdist_indx7_v1.5_10yrs.db,0.1761890924016659,0.6900470334750964,0.9135625965996906,0.8666537218776816,0.9439754278519786,filterdist
filterdist_indx8_v1.5_10yrs.db,0.16735582523300124,0.5793407252630183,0.8865533230293661,0.8356985268309304,0.9754581161267926,filterdist
footprint_add_mag_cloudsv1.5_10yrs.db,0.1587536366549863,0.5441624819704504,0.6814142194744974,0.7094781282508733,0.9238010697617627,footprint
footprint_big_sky_dustv1.5_10yrs.db,0.16036384081093588,0.5604485275454669,0.6890262751159197,0.4038731415629983,0.8068352965895211,footprint
footprint_big_sky_nouiyv1.5_10yrs.db,0.17099381151525858,0.6457952520026509,0.8989953632148375,0.6361415414394461,0.759652223905825,footprint
footprint_big_skyv1.5_10yrs.db,0.16358704928061427,0.6342908754563359,0.8646831530139103,0.6107790214268806,0.7655547385398564,footprint
footprint_big_wfdv1.5_10yrs.db,0.13926157553353805,0.5287348702481781,0.30034775888717147,0.2692560766191954,0.7892007373539824,footprint
footprint_bluer_footprintv1.5_10yrs.db,0.22656530978028644,0.5191924022787714,0.5621329211746522,0.5429710619916327,0.8501657765368595,footprint
footprint_gp_smoothv1.5_10yrs.db,0.1364855129333822,0.5019621735556904,0.5007341576506954,0.4923112578549302,0.9428013106502269,footprint
footprint_newAv1.5_10yrs.db,0.10029163431907556,0.36060584435913584,0.16792890262751156,0.12341116845989901,0.8327533083530327,footprint
footprint_newBv1.5_10yrs.db,0.1244283308446963,0.4231047849752102,0.2834621329211746,0.2378326245868467,0.8206940402117244,footprint
footprint_no_gp_northv1.5_10yrs.db,0.1669792844856957,0.567890827313123,0.7763523956723338,0.7457005961697426,0.9203813913435925,footprint
footprint_standard_goalsv1.5_10yrs.db,0.14012042956615547,0.5607234619144823,0.7418469860896444,0.7599828333370623,0.9164492300877105,footprint
footprint_stuck_rollingv1.5_10yrs.db,0.156229580895284,0.7274102617110263,0.5523183925811436,0.4069165010022627,0.770567410608276,footprint
goodseeing_gi_v1.5_10yrs.db,0.1854489900834815,0.5512064093073227,0.7518933539412671,0.7799827394464767,0.8829439931856337,goodseeing
goodseeing_gri_v1.5_10yrs.db,0.14797961681897576,0.5563429761265537,0.7622102009273568,0.780422672257924,0.8812761651528039,goodseeing
goodseeing_griz_v1.5_10yrs.db,0.1601917146397849,0.5603193113056891,0.7677357032457495,0.7956194028480309,0.903243443394319,goodseeing
goodseeing_gz_v1.5_10yrs.db,0.15581871762175276,0.5753044917160365,0.7531684698608961,0.7858601876457006,0.89869226991176,goodseeing
goodseeing_i_v1.5_10yrs.db,0.16279536301490807,0.5336411416600535,0.7314528593508498,0.7537161264702708,0.8902150593918421,goodseeing
greedy_footprint_v1.5_10yrs.db,0.1422505862577149,0.5576244887025945,0.7157264296754248,0.7284471301627464,0.9106003015785695,greedy
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.16194637945903884,0.5332930530517326,0.5387557959814526,0.31033159984414993,0.7265099244991047,roll
rolling_mod2_sdf_0.10_v1.5_10yrs.db,0.14893320952290837,0.6293282999886145,0.8372102009273568,0.825686987014705,0.8128718541042268,rolling
rolling_mod2_sdf_0.20_v1.5_10yrs.db,0.14979425309229968,0.6169748751129777,0.827472952086553,0.8198936095608317,0.8167304865233727,rolling
rolling_mod3_sdf_0.10_v1.5_10yrs.db,0.20409794463639183,0.7167574546382579,0.8922720247295206,0.8853855487003945,0.7551272721526539,rolling
rolling_mod3_sdf_0.20_v1.5_10yrs.db,0.20060235571891927,0.6833198134073482,0.8639489953632145,0.8708408431662805,0.7646769648675581,rolling
rolling_mod6_sdf_0.10_v1.5_10yrs.db,0.24143039959296228,1.0,0.8877897990726428,0.8563487062240874,0.6777362403161457,rolling
rolling_mod6_sdf_0.20_v1.5_10yrs.db,0.2308574388189529,0.9999038465542601,0.88419629057187,0.8697206982917628,0.7008431775635378,rolling
short_exp_2ns_1expt_v1.5_10yrs.db,0.8041520763833584,0.7288104660510795,0.9421947449768159,0.9365275738713654,0.7697018738227054,short
short_exp_2ns_5expt_v1.5_10yrs.db,0.5449658900205074,0.7201420657785643,0.9328052550231837,0.9205829516625572,0.7727237099505953,short
short_exp_5ns_1expt_v1.5_10yrs.db,1.0,0.9220679155991572,1.0,1.0,0.3614386088403425,short
short_exp_5ns_5expt_v1.5_10yrs.db,0.6467988292370258,0.8830940975807995,0.9812982998454403,0.9776516244928856,0.41566078270022333,short
spiders_v1.5_10yrs.db,0.12542846029625213,0.5623941215847705,0.7282071097372486,0.739349605921094,0.9171073662389562,spiders
third_obs_pt120v1.5_10yrs.db,0.20290085538439673,0.5381293466280453,0.7124420401854713,0.7120196644345621,0.9012687374743419,third
third_obs_pt15v1.5_10yrs.db,0.14242486791452344,0.5702256421594053,0.7520092735703244,0.7662892024209147,0.9232854065035967,third
third_obs_pt30v1.5_10yrs.db,0.15601685125042736,0.5638258562331385,0.7282457496136011,0.7455453858431302,0.9244284144728919,third
