db,FoM_tgaps_same,FoM_tgaps_diff,FoM_EG,FoM_Gal,FoM_depth,family
agnddf_v1.5_10yrs,0.11423920872072972,0.03854603129429294,0.645308924485126,0.6940395248814272,0.9390327001166348,agnddf
alt_dust_v1.5_10yrs,0.6533172648202484,0.4633907732277743,0.9359267734553777,0.9704857221359149,0.8123737922338568,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.6879189267207064,1.0,1.0,0.9331392777370208,0.7401860258509732,alt
baseline_2snaps_v1.5_10yrs,0.13666527053736477,0.03337669438672904,0.6498855835240275,0.7065197682283472,0.9080727637435398,baseline
baseline_samefilt_v1.5_10yrs,0.16474539901339508,3.8415101141049106e-05,0.2562929061784897,0.2751160431603402,0.9055582706411848,baseline
baseline_v1.5_10yrs,0.15657963695485788,0.07701261174986139,0.6475972540045767,0.5805654943672656,0.9511374998931291,baseline
bulges_bs_v1.5_10yrs,0.8364089445819309,0.4929975689364001,0.9016018306636155,0.9928513551250886,0.8335018446564163,bulges
bulges_bulge_wfd_v1.5_10yrs,0.6222768798788118,0.37600134719154876,0.9038901601830666,0.9684695660135871,0.8155480210595203,bulges
bulges_cadence_bs_v1.5_10yrs,0.696924374022097,0.37561416904582645,0.9016018306636155,0.9840000953582437,0.8220074392219202,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs,0.598173987433521,0.335765256623553,0.894736842105263,0.9496127760609298,0.8108343213424697,bulges
bulges_cadence_i_heavy_v1.5_10yrs,0.6802807938521027,0.3899839601026951,0.8970251716247142,0.9892095520691031,0.8073486122320567,bulges
bulges_i_heavy_v1.5_10yrs,0.5798247382734082,0.5011671884494094,0.8901601830663616,0.9460193997904256,0.7728216597502024,bulges
daily_ddf_v1.5_10yrs,0.11873283085317257,0.017543971914545285,0.5881006864988559,0.47736533690274136,0.9305345987355829,daily
dcr_nham1_ug_v1.5_10yrs,0.16518642768713174,0.012284900525453368,0.6453089244851259,0.5964860675510335,0.8733699708120731,dcr
dcr_nham1_ugr_v1.5_10yrs,0.21323207394578478,0.06778326991191293,0.7254004576659039,0.7104295969497665,0.8833379123654546,dcr
dcr_nham1_ugri_v1.5_10yrs,0.12852610319590108,0.023545128814766773,0.6475972540045768,0.6488035432929488,0.9532937987951474,dcr
dcr_nham2_ug_v1.5_10yrs,0.16321207380368852,0.03106640148530395,0.6590389016018307,0.7112501001850603,0.9137098477140546,dcr
dcr_nham2_ugr_v1.5_10yrs,0.20696673699131385,0.04342643674883833,0.7002288329519453,0.7516522782386532,0.9285484940995282,dcr
dcr_nham2_ugri_v1.5_10yrs,0.23152897557587415,0.054887705583071995,0.6864988558352403,0.6993225087591267,0.8853563863613306,dcr
descddf_v1.5_10yrs,0.16684298862292735,0.06528613593531543,0.7505720823798628,0.7407218846296385,0.9311331879565571,descddf
filterdist_indx1_v1.5_10yrs,0.01607633958474883,0.00028595451695315644,0.19679633867276888,0.002376426517071148,0.8559711549507845,filterdist
filterdist_indx2_v1.5_10yrs,0.01876884015796161,0.000560353654155928,0.2196796338672769,0.002619465213730116,0.9337225401396138,filterdist
filterdist_indx3_v1.5_10yrs,0.019224537077537254,0.0005586417144367769,0.1922196796338673,0.0023116627106099775,0.9158414002651027,filterdist
filterdist_indx4_v1.5_10yrs,0.011969832421525715,0.00024500338866160446,0.1922196796338673,0.0023226069055392305,0.9025794217549445,filterdist
filterdist_indx5_v1.5_10yrs,0.019425831416679144,0.015408662888180184,0.2036613272311213,0.002383511758037527,1.0,filterdist
filterdist_indx6_v1.5_10yrs,0.015719831601686086,0.00040483225604858456,0.2151029748283753,0.0025743320558650716,0.95374550141614,filterdist
filterdist_indx7_v1.5_10yrs,0.011831026072945013,0.015521840246139498,0.2265446224256293,0.0026877822813810973,0.9208007435825346,filterdist
filterdist_indx8_v1.5_10yrs,0.017397154904739493,0.022692167058801466,0.2242562929061785,0.0026152410882280806,0.9589553257622973,filterdist
footprint_add_mag_cloudsv1.5_10yrs,0.946514482272429,0.8601035463128508,0.88558352402746,0.9495168694439285,0.6963778326283062,footprint
footprint_big_sky_dustv1.5_10yrs,0.6041647785787674,0.4129101893323867,0.8901601830663616,0.9149438574205544,0.8559586903581899,footprint
footprint_big_sky_nouiyv1.5_10yrs,0.9483121251268362,0.9595500662434145,0.9267734553775744,0.9719129473792746,0.8397344081301867,footprint
footprint_big_skyv1.5_10yrs,1.0,0.81254095580351,0.8924485125858124,0.9479245075317938,0.8171727874102507,footprint
footprint_big_wfdv1.5_10yrs,0.10181050352061151,0.04545174005897755,0.6659038901601831,0.5494562217172854,0.9179312641343618,footprint
footprint_bluer_footprintv1.5_10yrs,0.1439657555794531,0.04668149568138671,0.7093821510297483,0.7681092533100207,0.9164201254333046,footprint
footprint_gp_smoothv1.5_10yrs,0.11636793731895652,0.07303375686115289,0.7208237986270023,0.732954184162191,0.9393445214960086,footprint
footprint_newAv1.5_10yrs,0.44332827669376623,0.2262061534185475,0.8993135011441649,0.9411411103787607,0.7980048576603935,footprint
