section,agnddf,alt_dust,alt_roll_mod2_dust_sdf_0_20,baseline_2snaps,baseline_samefilt,baseline,bulges_bs,bulges_bulge_wfd,bulges_cadence_bs,bulges_cadence_bulge_wfd,bulges_cadence_i_heavy,bulges_i_heavy,daily_ddf,dcr_nham1_ug,dcr_nham1_ugr,dcr_nham1_ugri,dcr_nham2_ug,dcr_nham2_ugr,dcr_nham2_ugri,descddf,filterdist_indx1,filterdist_indx2,filterdist_indx3,filterdist_indx4,filterdist_indx5,filterdist_indx6,filterdist_indx7,filterdist_indx8,footprint_add_mag_clouds,footprint_big_sky_dust,footprint_big_sky_nouiy,footprint_big_sky,footprint_big_wfd,footprint_bluer_footprint,footprint_gp_smooth,footprint_newA,footprint_newB,footprint_no_gp_north,footprint_standard_goals,footprint_stuck_rolling,goodseeing_gi,goodseeing_gri,goodseeing_griz,goodseeing_gz,goodseeing_i,greedy_footprint,roll_mod2_dust_sdf_0_20,rolling_mod2_sdf_0_10,rolling_mod2_sdf_0_20,rolling_mod3_sdf_0_10,rolling_mod3_sdf_0_20,rolling_mod6_sdf_0_10,rolling_mod6_sdf_0_20,short_exp_2ns_1expt,short_exp_2ns_5expt,short_exp_5ns_1expt,short_exp_5ns_5expt,spiders,third_obs_pt120,third_obs_pt15,third_obs_pt30,third_obs_pt45,third_obs_pt60,third_obs_pt90,twilight_neo_mod1,twilight_neo_mod2,twilight_neo_mod3,twilight_neo_mod4,u60,var_expt,wfd_depth_scale0_65_noddf,wfd_depth_scale0_65,wfd_depth_scale0_70_noddf,wfd_depth_scale0_70,wfd_depth_scale0_75_noddf,wfd_depth_scale0_75,wfd_depth_scale0_80_noddf,wfd_depth_scale0_80,wfd_depth_scale0_85_noddf,wfd_depth_scale0_85,wfd_depth_scale0_90_noddf,wfd_depth_scale0_90,wfd_depth_scale0_95_noddf,wfd_depth_scale0_95,wfd_depth_scale0_99_noddf,wfd_depth_scale0_99
flux change,0.2219469590628368,0.019953578375310692,0.02179463146941256,0.18848410258951584,0.2448967423181519,0.18940344117715727,0.0873328846123161,0.08787467823600577,0.10825984871537306,0.11501835910898622,0.11913818532816152,0.126276908673054,0.2033166362477312,0.3266784472378616,0.3531969554550227,0.3136223645085994,0.3628784868641631,0.36332229321673865,0.3675531109890491,0.21245724462670415,0.3537255167898904,0.23727329706263245,0.3211251744377127,0.3905735819720599,0.26930015022831705,0.2343494480112908,0.2103497717040319,0.2299079110396243,0.2437620925346934,0.017660482247757226,0.0,0.0,5.473732915652005e-06,0.3743984263923612,0.1985001937822535,0.0,0.0,0.232595515176342,0.23498136091054034,0.1584071031558069,0.2127681032298627,0.2303184746888736,0.21690290888642733,0.2364788503472818,0.2510637505817401,0.2537266847503452,0.025035478252777143,0.22487746121778648,0.2588302273520563,0.2586928297264496,0.2882232551504551,0.3731619237121875,0.3199559736391421,0.654778484108341,0.5620687383391281,0.9556599587141821,0.5848284796063038,0.179034025693105,0.2719130627688133,0.18940344117715727,0.2851068175201017,0.2242606786790852,0.2656251065088726,0.2338379620045789,1.0,0.6436753795859347,0.5308267811236099,0.4262746344148417,0.14132873189253273,0.2979367904137941,0.1881266841310672,0.2102145824958837,0.17318816582048022,0.19493947497617187,0.18327509585851312,0.16736387266069125,0.235811975221892,0.19916932105018376,0.2737306343622008,0.20172790147416853,0.2901693697417238,0.1901612446288732,0.23206804440481724,0.2094240697251376,0.20259726977568607,0.22535988272770205
color,0.4735258894457485,0.022532045067088245,0.05200680329169785,0.4397075564773623,0.05839656410071459,0.5104836240915528,0.1302611783243727,0.15510862277106305,0.12529477698907818,0.12753999679535125,0.13299699078530314,0.1510254468194819,0.4751476873893958,0.5268481804577867,0.5341815173643086,0.4560890281277573,0.41323461587040977,0.4440125277261985,0.33739410077605875,0.4768317072207881,0.5678584275992544,0.6273661190026762,0.5882914434421811,0.5497197338329434,0.4781799804558423,0.4887707184724398,0.6684228882443856,0.5655135188611313,0.5012406117792948,0.010283073580399472,0.0,0.0,2.5384645228526875e-06,0.4732676180077626,0.4828373453447933,0.0,0.0,0.4734032445448125,0.5258650367685317,0.4778426798344665,0.4992620648335592,0.5422479337211366,0.6246254403169872,0.7441404002560378,0.5171178946677664,0.4941143322844064,0.022054491578556757,0.576823574869231,0.5917971965498572,0.7241918445622617,0.6690179640111025,1.0,0.7746980700756747,0.6362067866825276,0.6347983366128739,0.7375860674610782,0.7588173112567159,0.4826851754947175,0.5359829663852921,0.5104836240915528,0.6847289987006021,0.4882248760365096,0.5388140742652124,0.5662230242420443,0.5582572650605218,0.5224712550782098,0.5488006823060237,0.5228671671066683,0.4181345797877685,0.7460928487875881,0.4606066084295051,0.3722501878881995,0.4491132983021449,0.4275487906788922,0.5091636809157409,0.4976176535022216,0.5336165781366949,0.4666674704739589,0.5088977066210185,0.4523546884694754,0.5337639328901654,0.4451430199160791,0.5709688623399102,0.5196859209833536,0.6385315318876061,0.6085884171774417
footprint,0.2855268091488565,0.0359955005624297,0.03655793025871767,0.2709036370453694,0.22684664416947886,0.2804649418822648,0.12654668166479194,0.12354705661792274,0.12373453318335208,0.13235845519310085,0.12373453318335208,0.12148481439820025,0.27859017622797155,0.28027746531683545,0.28308961379827524,0.27952755905511817,0.2740907386576679,0.28027746531683545,0.27315335583052125,0.2834645669291339,0.29133858267716545,0.2937757780277466,0.27127859017622796,0.2855268091488565,0.2838395200599925,0.2722159730033746,0.2952755905511812,0.2877765279340083,0.28365204349456324,0.03674540682414699,0.0,0.0,0.31008623922009754,0.2641544806899138,0.2750281214848145,0.0,0.0,0.256092988376453,0.2892763404574429,0.14866891638545185,0.29040119985001883,0.2954630671166105,0.2967754030746157,0.2943382077240346,0.2815898012748407,0.28027746531683545,0.0376827896512936,0.29077615298087744,0.2892763404574429,0.2917135358080241,0.2915260592425947,0.2930258717660293,0.2937757780277466,0.2949006374203225,0.2928383952006,0.30896137982752164,0.3027746531683541,0.2767154105736783,0.27521559805024376,0.2804649418822648,0.2855268091488564,0.2808398950131234,0.2774653168353957,0.2825271841019873,0.29808773903262104,0.2911511061117361,0.292275965504312,0.29058867641544817,0.2395950506186727,0.2774653168353957,0.25740532433445823,0.2485939257592801,0.26471691038620176,0.2630296212973379,0.2707161604799401,0.2662167229096363,0.28027746531683545,0.2740907386576679,0.2887139107611549,0.2778402699662543,0.2872140982377204,0.2844019497562805,0.2930258717660293,0.2866516685414324,0.29790026246719165,0.288151481064867
star count,0.09850708993661954,0.018637372500410195,0.019173302852594918,0.0921656159513084,0.07879208097872198,0.09576830776771247,0.04374642091059604,0.04270164173441983,0.04302955058618282,0.04609987748267892,0.04301793327084172,0.04242659350578833,0.0953251401383463,0.09691406267394252,0.09762078572866216,0.09721532949728814,0.09385957398993207,0.09699992146548383,0.09363549166922963,0.09734340498434843,0.1003878665852472,0.10172584988800187,0.093112126067228,0.09807674117945096,0.09650062778371983,0.09343951184474104,0.1023696948143294,0.09873142483452188,0.09727401252694086,0.019056950037236797,0.0,0.0,0.099478536914515,0.09128180600112998,0.0938955538051518,0.0,0.0,0.08578475104548712,0.09888291245147084,0.04602236362554642,0.1002607535177313,0.10249088784303648,0.10303017801266427,0.10174867807794233,0.09618462667245738,0.0960577232362933,0.020800871708026476,0.100042846284741,0.0988642696279374,0.10122691784735403,0.10088918783627597,0.10058371185637736,0.10137133345718888,0.10367874698227694,0.10252146327858684,0.1098145287387378,0.10743688392187198,0.095500466562998,0.09515868898298224,0.09576830776771247,0.09785357323455636,0.0973390353215504,0.09589982154880146,0.0975203862144832,0.10474955304166574,0.10129928546334988,0.10079329068447593,0.10112095916307502,0.08356788034452535,0.09581155253739962,0.08658368671451848,0.08410048810930072,0.08967421376222487,0.08936540947910257,0.09142595404906258,0.09086731507559348,0.09567005987141697,0.09306605088808788,0.09909315647676976,0.09649437236564444,0.09980728738131454,0.09768044199156194,0.10190540277113104,0.09915298220583972,0.10359901693400747,0.09981027489842023
depth,0.916554950684402,0.6388160395214936,0.5913797100751199,0.8545406083862255,0.86898913426824,0.9160808380283276,0.8441731884475351,0.8528279934371447,0.8669270975757556,0.8427232608601558,0.8528961699612659,0.8401978281710526,0.9223288224661952,0.8650348949301836,0.8646275979248647,0.8463070737810267,0.8300358402681801,0.803288922233271,0.7912609040924944,0.9295939839343932,0.8571044914197764,0.9092318064676908,0.8784374370143683,0.8935451415245145,0.932559454923441,0.8995716464194138,0.912010236194476,0.9027539465960835,0.917852503275278,0.6855615307273571,0.7012114401865902,0.6306327826762144,0.8210031261566985,0.8742816133208138,0.92039234673904,0.14400247930945428,0.3050278641811817,0.9319035894863572,0.905460610449258,0.7766443445109524,0.8907853625016903,0.8842846546083254,0.9012923560617244,0.8928829496052351,0.8881229324368362,0.9029396150705524,0.5982663217450082,0.8331557139729172,0.8297254446713496,0.7705620381376288,0.7769413128713379,0.6968437457043585,0.7202927461146481,0.7743084070044102,0.7692917872355798,0.4062470306701909,0.44618511462068616,0.9186771330709546,0.8887758136367365,0.9160808380283276,0.9126303166529698,0.9127720239760818,0.905747440026782,0.9152579184425336,0.677920237924487,0.8339035207186146,0.8609144834243011,0.8805422708963537,1.0,0.7995686368384863,0.9416376580948628,0.9416487730819779,0.934031675602093,0.9374622693402054,0.9345974402127349,0.9373332506152428,0.9218226498840928,0.9242697251528578,0.9035224729286602,0.9042773511035822,0.90709029120269,0.91755376629039,0.9102907571501696,0.9147228406580624,0.9092129654601532,0.9072049018426456
