section,agnddf_db,alt_dust_db,alt_roll_mod2_dust_sdf_0_20_db,baseline_2snaps_db,baseline_samefilt_db,baseline_db,bulges_bs_db,bulges_bulge_wfd_db,bulges_cadence_bs_db,bulges_cadence_bulge_wfd_db,bulges_cadence_i_heavy_db,bulges_i_heavy_db,daily_ddf_db,dcr_nham1_ug_db,dcr_nham1_ugr_db,dcr_nham1_ugri_db,dcr_nham2_ug_db,dcr_nham2_ugr_db,dcr_nham2_ugri_db,descddf_db,filterdist_indx1_db,filterdist_indx2_db,filterdist_indx3_db,filterdist_indx4_db,filterdist_indx5_db,filterdist_indx6_db,filterdist_indx7_db,filterdist_indx8_db,footprint_add_mag_clouds_db,footprint_big_sky_dust_db,footprint_big_sky_nouiy_db,footprint_big_sky_db,footprint_big_wfd_db,footprint_bluer_footprint_db,footprint_gp_smooth_db,footprint_newA_db,footprint_newB_db,footprint_no_gp_north_db,footprint_standard_goals_db,footprint_stuck_rolling_db,goodseeing_gi_db,goodseeing_gri_db,goodseeing_griz_db,goodseeing_gz_db,goodseeing_i_db,greedy_footprint_db,roll_mod2_dust_sdf_0_20_db,rolling_mod2_sdf_0_10_db,rolling_mod2_sdf_0_20_db,rolling_mod3_sdf_0_10_db,rolling_mod3_sdf_0_20_db,rolling_mod6_sdf_0_10_db,rolling_mod6_sdf_0_20_db,short_exp_2ns_1expt_db,short_exp_2ns_5expt_db,short_exp_5ns_1expt_db,short_exp_5ns_5expt_db,spiders_db,third_obs_pt120_db,third_obs_pt15_db,third_obs_pt30_db,third_obs_pt45_db,third_obs_pt60_db,third_obs_pt90_db,twilight_neo_mod1_db,twilight_neo_mod2_db,twilight_neo_mod3_db,twilight_neo_mod4_db,u60_db,var_expt_db,wfd_depth_scale0_65_noddf_db,wfd_depth_scale0_65_db,wfd_depth_scale0_70_noddf_db,wfd_depth_scale0_70_db,wfd_depth_scale0_75_noddf_db,wfd_depth_scale0_75_db,wfd_depth_scale0_80_noddf_db,wfd_depth_scale0_80_db,wfd_depth_scale0_85_noddf_db,wfd_depth_scale0_85_db,wfd_depth_scale0_90_noddf_db,wfd_depth_scale0_90_db,wfd_depth_scale0_95_noddf_db,wfd_depth_scale0_95_db,wfd_depth_scale0_99_noddf_db,wfd_depth_scale0_99_db,baseline_nexp1_v1_7_10yrs_db,baseline_nexp2_v1_7_10yrs_db,cadence_drive_gl100_gcbv1_7_10yrs_db,cadence_drive_gl100v1_7_10yrs_db,cadence_drive_gl200_gcbv1_7_10yrs_db,cadence_drive_gl200v1_7_10yrs_db,cadence_drive_gl30_gcbv1_7_10yrs_db,cadence_drive_gl30v1_7_10yrs_db,ddf_dither0_00_v1_7_10yrs_db,ddf_dither0_05_v1_7_10yrs_db,ddf_dither0_10_v1_7_10yrs_db,ddf_dither0_30_v1_7_10yrs_db,ddf_dither0_70_v1_7_10yrs_db,ddf_dither1_00_v1_7_10yrs_db,ddf_dither1_50_v1_7_10yrs_db,ddf_dither2_00_v1_7_10yrs_db,euclid_dither1_v1_7_10yrs_db,euclid_dither2_v1_7_10yrs_db,euclid_dither3_v1_7_10yrs_db,euclid_dither4_v1_7_10yrs_db,euclid_dither5_v1_7_10yrs_db,footprint_0_v1_710yrs_db,footprint_1_v1_710yrs_db,footprint_2_v1_710yrs_db,footprint_3_v1_710yrs_db,footprint_4_v1_710yrs_db,footprint_5_v1_710yrs_db,footprint_6_v1_710yrs_db,footprint_7_v1_710yrs_db,footprint_8_v1_710yrs_db,pair_times_11_v1_7_10yrs_db,pair_times_22_v1_7_10yrs_db,pair_times_33_v1_7_10yrs_db,pair_times_44_v1_7_10yrs_db,pair_times_55_v1_7_10yrs_db,rolling_nm_scale0_2_nslice2_v1_7_10yrs_db,rolling_nm_scale0_2_nslice3_v1_7_10yrs_db,rolling_nm_scale0_4_nslice2_v1_7_10yrs_db,rolling_nm_scale0_4_nslice3_v1_7_10yrs_db,rolling_nm_scale0_6_nslice2_v1_7_10yrs_db,rolling_nm_scale0_6_nslice3_v1_7_10yrs_db,rolling_nm_scale0_8_nslice2_v1_7_10yrs_db,rolling_nm_scale0_8_nslice3_v1_7_10yrs_db,rolling_nm_scale0_9_nslice2_v1_7_10yrs_db,rolling_nm_scale0_9_nslice3_v1_7_10yrs_db,rolling_nm_scale1_0_nslice2_v1_7_10yrs_db,rolling_nm_scale1_0_nslice3_v1_7_10yrs_db,rolling_scale0_2_nslice2_v1_7_10yrs_db,rolling_scale0_2_nslice3_v1_7_10yrs_db,rolling_scale0_4_nslice2_v1_7_10yrs_db,rolling_scale0_4_nslice3_v1_7_10yrs_db,rolling_scale0_6_nslice2_v1_7_10yrs_db,rolling_scale0_6_nslice3_v1_7_10yrs_db,rolling_scale0_8_nslice2_v1_7_10yrs_db,rolling_scale0_8_nslice3_v1_7_10yrs_db,rolling_scale0_9_nslice2_v1_7_10yrs_db,rolling_scale0_9_nslice3_v1_7_10yrs_db,rolling_scale1_0_nslice2_v1_7_10yrs_db,rolling_scale1_0_nslice3_v1_7_10yrs_db,twi_neo_pattern1_v1_7_10yrs_db,twi_neo_pattern2_v1_7_10yrs_db,twi_neo_pattern3_v1_7_10yrs_db,twi_neo_pattern4_v1_7_10yrs_db,twi_neo_pattern5_v1_7_10yrs_db,twi_neo_pattern6_v1_7_10yrs_db,twi_neo_pattern7_v1_7_10yrs_db,twi_pairs_mixed_repeat_v1_7_10yrs_db,twi_pairs_mixed_v1_7_10yrs_db,twi_pairs_repeat_v1_7_10yrs_db,twi_pairs_v1_7_10yrs_db,u_long_ms_30_v1_7_10yrs_db,u_long_ms_40_v1_7_10yrs_db,u_long_ms_50_v1_7_10yrs_db,u_long_ms_60_v1_7_10yrs_db
brightness,0.1329882034647369,0.13304398107467774,0.1389559523268029,0.1353745291284073,0.206478571060342,0.1424248679145234,0.12270415387913268,0.12691359487358314,0.13051111947597166,0.13024059164428706,0.1229385908703989,0.1285863838430334,0.14930317032148044,0.1930736510581044,0.2265693351218783,0.17935578127077245,0.22111477720286965,0.20724581887087096,0.19959030324746252,0.1584471457682029,0.261457729811877,0.1567001010227966,0.21023928308605536,0.2084260298530464,0.16032574868754434,0.1484563675722571,0.17618909240166586,0.16735582523300124,0.15875363665498626,0.16036384081093585,0.17099381151525858,0.16358704928061424,0.13926157553353802,0.22656530978028644,0.13648551293338218,0.10029163431907556,0.1244283308446963,0.1669792844856957,0.14012042956615545,0.156229580895284,0.18544899008348148,0.14797961681897573,0.1601917146397849,0.15581871762175276,0.16279536301490805,0.14225058625771486,0.16194637945903884,0.14893320952290834,0.14979425309229968,0.2040979446363918,0.20060235571891927,0.24143039959296225,0.2308574388189529,0.8041520763833584,0.5449658900205074,1.0,0.6467988292370257,0.1254284602962521,0.20290085538439676,0.1424248679145234,0.15601685125042733,0.14799923759987066,0.15917124630971624,0.17914461933932374,0.9059682149907636,0.6319671180348018,0.5652376115593779,0.4946122402665638,0.11160383507726587,0.21725107460850926,0.1124930995697098,0.1226310295750633,0.11989447180986168,0.1312970358517811,0.11665144366877872,0.11248757854131453,0.1499168574449013,0.1448862126092447,0.15866326249562065,0.15781085980834667,0.15321281247192153,0.14906618946202027,0.13820115606835034,0.15716432130140068,0.15366910090655636,0.1509220274577178,0.18344491518822192,0.17787018554421988,0.15739663023244507,0.16482327626539206,0.14650392706807402,0.14851546416641762,0.17497786946610305,0.16007428182255884,0.16385380628216265,0.16347524616247536,0.16415688645105214,0.16597954672340035,0.17787018554421988,0.152173777314611,0.16370688466945024,0.16134294889912631,0.17787018554421988,0.14673305858311958,0.15588874956620427,0.16599566400205826,0.1655544881663659,0.15435826928796914,0.14312278328636224,0.14263694543010788,0.1456282315521451,0.13154342976136674,0.1456282315521451,0.14393714642301586,0.13674325243547467,0.17039485420028927,0.11867376116311068,0.17787018554421988,0.19218798551451136,0.1909635070675352,0.21835957832863329,0.17724023902585498,0.17928319274254184,0.18132971762375646,0.16931153753693215,0.1852951857401632,0.17030712389355193,0.19133355674518485,0.1875648978979852,0.1613630865235706,0.18110756196247388,0.16511931067436034,0.16493717310420655,0.15624655286696412,0.17283969107459166,0.16091775569997324,0.15243853373491173,0.16050272175830746,0.16946179902566386,0.15307562260135293,0.16795739281714106,0.16701878134791626,0.15853779278868912,0.1431336765842424,0.170505534215085,0.10779907112956354,0.14800559894213847,0.16349880033550934,0.1553902304613095,0.15546712483247055,0.14507239669627872,0.15135536804928265,0.16962697497388762,0.16325794638770885,0.1695822211927558,0.1780587364272207,0.19258828867845146,0.18526399050857328,0.1535249172094551,0.16525674420745995
color,0.5281883821855378,0.7121768513948866,0.81468306787512,0.4893631179459191,0.1653839912715628,0.5711820827852634,0.4196380354069257,0.4151551135571064,0.4283985502937475,0.4157156972878508,0.4187625920453385,0.4143421945433054,0.4771144657087101,0.5320750010020632,0.5109862754733207,0.5179808059085357,0.4878374232187797,0.464434373367533,0.4574550671754381,0.5234421273542694,0.6400276927173119,0.6508970376715262,0.5947649532496655,0.5794589377051387,0.5420050937188309,0.5211376118743877,0.690554061796972,0.5816164476397326,0.5448183027837352,0.5609827726009015,0.6479761947658849,0.6355069181594944,0.529939600171395,0.5189127494910981,0.5036063752894308,0.3622427181947326,0.4248834464931036,0.5690560867619988,0.5622611515019883,0.7282539409544085,0.5498668350056141,0.554847297069022,0.5588879758048122,0.5726496722972323,0.5348508344157108,0.5595371197140537,0.5347742278892593,0.630095916247333,0.6174806860057888,0.7168940708799968,0.684287645418566,0.9967596524558648,0.9978920349144162,0.7305034324566365,0.7223470354196754,0.9229234010679046,0.8842319236499341,0.5636684732826133,0.5410861704323421,0.5711820827852634,0.5649306581119159,0.5708103421571494,0.5734231233808015,0.557140577877516,0.5492942407411022,0.5735221686967565,0.564358387868214,0.5779680757705694,0.4683552839875461,0.6745238312465682,0.4491647563615444,0.4189524458120377,0.4778969425459494,0.4234874139189556,0.5104049446769865,0.4737695208970665,0.5432553099988925,0.4962996127163883,0.5778014165240714,0.5250008816609879,0.6108235895512202,0.5565932069703158,0.6451658422105857,0.5868309356632002,0.6903193428834656,0.6381708617173588,0.6597323112990419,0.5976503721395919,0.6950720198305754,0.7126274051583923,0.6576864432104483,0.6197853127040716,0.7317505991351697,0.6992795040883827,0.5764097386376102,0.5855831167391302,0.5816612345526727,0.5875275568102358,0.5976503721395919,0.5687834321847106,0.581481766836083,0.5640477244124195,0.5976503721395919,0.5868775554180742,0.5930652358449953,0.584073175466822,0.583319323260951,0.7183875943473558,0.7347301528642544,0.7399599230857149,0.7124950660714753,0.7044024310618939,0.7124950660714753,0.7192097386662697,0.7349990865357042,0.773964385217583,0.6169187534641541,0.5976503721395919,0.4436340057529513,0.3530147226292398,0.27009473493610303,0.5725481199999568,0.58969024244377,0.5977835886408724,0.601486858214592,0.61267036598109,0.6381132795564107,0.6206679140597703,0.6367823767526842,0.6270363759210709,0.6324530375047536,0.6385768031433068,0.6431208038323123,0.8481960758050405,0.8443594118648823,0.8695480987910459,0.9202608163724972,0.906651943959948,0.938697252764118,0.911275787223162,0.9422802396888932,0.9401440608999692,0.9522015126897188,0.944704302105976,1.0,0.4589776077509799,0.5211398243884361,0.5397826511049555,0.5469038274294344,0.526631136016114,0.5279845386464668,0.5412378406463509,0.7767097162914391,0.6345582243793882,0.6672322569204737,0.5595607564869639,0.497064061103439,0.5010065864114412,0.5031628764394829,0.5042926229532835
footprint,0.4521554603686092,0.2713875898927182,0.3888867057020473,0.2575942154281448,0.3803591778991629,0.4792313435768458,0.1952293001139623,0.18902031673674694,0.20167406767005927,0.19106377962038745,0.1870554485794003,0.1752269422721735,0.3282901717294769,0.4549848705151884,0.43624002829410136,0.445789287538806,0.4639446693126889,0.42346838527134817,0.4343144574999017,0.414233504931819,0.5967304593861751,0.8314536094628049,0.5327936495461153,0.5535426572876959,0.5102762604629228,0.5326757574566745,0.733053012142885,0.7047589106770933,0.4148229653790231,0.4314457499901755,0.7598931111722402,0.6727315597123431,0.20128109403859,0.4348253232208118,0.3044366722992887,0.11349078476834205,0.1758164027193775,0.5092545290211026,0.4685817581640271,0.5553503359924548,0.480881832829017,0.4912956340629544,0.5026525720124179,0.4817463748182496,0.458089362203796,0.4697606790584352,0.37470035760600456,0.6056116634573818,0.5898927181986089,0.7074704287342318,0.6667583605140094,0.7457460604393443,0.7337603646795298,0.8853302943372497,0.8583723032184538,1.0,0.9742602271387588,0.4550634652414822,0.4699964632373167,0.4792313435768458,0.4608794749872283,0.4655951585648602,0.4562030887727432,0.4766770149722954,0.8701222147993867,0.78103509254529,0.7319526859747709,0.6824380084096356,0.29807049946948555,0.35630919165324004,0.18823436947380828,0.14323888867057016,0.23825991275985375,0.1782135418713404,0.2945730341494085,0.22026172043855852,0.3991433174833968,0.288442645498487,0.5338546783510826,0.3682948874130545,0.6605886744999409,0.4642197508547175,0.8028844264549847,0.6161433567807599,0.8928360906983137,0.7417770267615041,0.8204503477816636,0.5227728219436474,0.5717373364247258,0.5427358824222892,0.5669430581208001,0.5524423311195817,0.5674146264785633,0.5588870986756789,0.5256415294533736,0.5200220065233621,0.5281565606947773,0.5270562345266632,0.5227728219436474,0.5312217550202382,0.5305536998467403,0.5225763351279128,0.5227728219436474,0.5366447911345148,0.5193146539867175,0.544740047942783,0.5342083546194049,0.3797697174519589,0.4203245962195937,0.4221715722874994,0.40346602742955945,0.4311313710850001,0.40346602742955945,0.3856250245608519,0.4371045702833339,0.4328604550634651,0.3804770699886037,0.5227728219436474,0.5515777891303493,0.548826973710064,0.5151884308562895,0.5267025582583408,0.5268597477109286,0.5379416041183636,0.5401029590914449,0.5444256690376074,0.5529924942036389,0.5693008999096161,0.5665893818524776,0.5653318662317757,0.5700082524462609,0.5795968090541123,0.5703226313514362,0.539356309191653,0.5452116163005463,0.5521279522144062,0.572798365229693,0.5749990175659212,0.5708727944354933,0.5843124926317441,0.5797932958698471,0.5847447636263605,0.5892246630251108,0.5927614257083349,0.5931543993398043,0.3024325067787951,0.3818524776987464,0.4181632412465123,0.4408378197822925,0.3812237198883955,0.3903014107753369,0.4174165913467205,0.5931936967029512,0.5307501866624749,0.5566471489763036,0.5070145793217274,0.5745274492081579,0.5273313160686917,0.469210515974378,0.4237041694502298
star density,0.4777122491930616,0.1566873576065296,0.21408108174724144,0.27146574560488435,0.37944830144379793,0.5075765298346794,0.1621987256016283,0.1421721006539629,0.16962736164275535,0.1487141852099765,0.14425130472186054,0.13222711835447826,0.3670311944763497,0.4824917897553572,0.4789867382070024,0.4697285853794335,0.4761216248165436,0.4638903822964286,0.4573405233385697,0.4384358415812799,0.5616073654916162,0.7960657878452944,0.4958334988070298,0.5213740359254719,0.4659138779811993,0.486987572813728,0.6909868942467748,0.6557334989094951,0.4564162128859012,0.2694223913875413,0.5615254553080777,0.5370326191922096,0.17676524327459625,0.4213279378718041,0.29084100527942064,0.07678892398213633,0.13017357786350292,0.523063190106245,0.5043766222920165,0.4091636619514648,0.537112087102216,0.5434960465514225,0.5585462250259937,0.5351996225319313,0.496685917577198,0.5005176820434828,0.21351131025430256,0.6137188494569871,0.5996243031145878,0.7119092964832351,0.6879126309241304,0.7162592913504072,0.7241519717485363,0.8920403755219065,0.8609754821072161,1.0,0.9692367999929196,0.49623400351653596,0.4876581790136053,0.5075765298346794,0.5086387105129042,0.4962428650622704,0.4934426357520402,0.5107667898901945,0.8860900772633329,0.817188004989174,0.7740412288876347,0.7153161802333007,0.3235726417217044,0.36022915022696983,0.16831328843055618,0.1270962186298044,0.22155379750395135,0.17036683398848906,0.29282283255740005,0.2127352876918838,0.4130417417875962,0.3059550927263926,0.5584314353550068,0.3861723173621067,0.6644571412016149,0.5195105018381176,0.8165347018862852,0.6408929686179337,0.8720269713924418,0.7617410667371115,0.855178227360037,0.5638616537731926,0.6016778644363886,0.5814474188698744,0.5846052149284594,0.5714241881081635,0.6033852101207049,0.6077209116636644,0.5742198340738053,0.548686712729214,0.5723164787671791,0.5818778394596658,0.5638616537731926,0.5714889449514586,0.5482631533629211,0.5592087257828002,0.5638616537731926,0.563694994783905,0.5596329855152234,0.5764555885507072,0.5738052032496853,0.2327688673202644,0.2536942815814821,0.2557946249962181,0.24156469855639334,0.2640569461395137,0.24156469855639334,0.2395477172900276,0.272175715871865,0.2721778974785817,0.4008330387835852,0.5638616537731926,0.6039105263802079,0.5876535635782858,0.552271659500994,0.5700113311808371,0.5510624233291912,0.5875651074486066,0.5711574493886101,0.5911919405063518,0.6026891413332208,0.6286101968286677,0.6425991404570873,0.612951005527026,0.6215256894015159,0.6494667500109869,0.6412229148177666,0.5741909394669611,0.5803964581246192,0.5756634018307546,0.6068387036871494,0.611650096270504,0.6236460568694367,0.6244453058022035,0.6282164272317169,0.6330094667318824,0.6233511047673302,0.6422692421118532,0.643951277217289,0.33443133102072137,0.415969232240294,0.4461896479332652,0.4699975890290054,0.4068734782167159,0.4086300578384193,0.4393759057679215,0.6042625234162404,0.5600920068283219,0.5881326134485317,0.5623491455550097,0.6196984634428753,0.5680392893238495,0.5115026934088374,0.4634489444519691
depth,0.9323163352207208,0.802599315122437,0.6957472787490485,0.8643639089939503,0.8676711558355275,0.9232854065035968,0.9277751660425644,0.9303809331727888,0.9241429109662719,0.9256238766900566,0.9306148125042104,0.925667058702067,0.9129305419088742,0.8765017716216655,0.8679415419222904,0.8474367916646824,0.8411022539576618,0.8079420190708885,0.7863862635675974,0.9351297416880112,0.8893745051822762,0.9633434433537386,0.9157837445810876,0.9227132332886708,1.0,0.9491154477818036,0.9439754278519786,0.9754581161267926,0.9238010697617628,0.8068352965895211,0.759652223905825,0.7655547385398564,0.7892007373539824,0.8501657765368595,0.9428013106502268,0.8327533083530327,0.8206940402117244,0.9203813913435924,0.9164492300877104,0.7705674106082758,0.8829439931856337,0.8812761651528039,0.9032434433943192,0.89869226991176,0.8902150593918421,0.9106003015785696,0.7265099244991047,0.8128718541042268,0.8167304865233727,0.7551272721526539,0.7646769648675581,0.6777362403161457,0.7008431775635378,0.7697018738227054,0.7727237099505953,0.3614386088403425,0.4156607827002233,0.9171073662389562,0.901268737474342,0.9232854065035968,0.924428414472892,0.9256144600592356,0.9125189310780792,0.907241344766735,0.4080229908394599,0.7598341235566037,0.8161506415256526,0.8503444650485614,0.9763769837652996,0.8089610700128254,0.943530929396928,0.9135424766414836,0.9370598408420092,0.9141981438237716,0.9351682348393544,0.9137971879279376,0.9339934513415522,0.9142062397728308,0.9394662835778796,0.9164568507776067,0.9393778730174892,0.9212203565934872,0.9425996645945184,0.9218292742348232,0.9425583019278974,0.9215521550891468,0.9373423446805688,0.8624474182057342,0.8083281217824391,0.8057252839778462,0.7606746486490735,0.7578208164012472,0.8394399433323116,0.8420379109524868,0.8653248626336248,0.8620899024170375,0.8615190856027088,0.8635589335351492,0.8624474182057342,0.8600341964007224,0.8610361326802116,0.8593179525343358,0.8624474182057342,0.8645003219130641,0.8623275281766818,0.8597016073936018,0.8655195385960012,0.7741139174015486,0.7813415254532979,0.7909744777793759,0.7924720349918091,0.8228051114141651,0.7924720349918091,0.7852888301414751,0.7778188473354891,0.7392314371776868,0.91614766362171,0.8624474182057342,0.8137273536602325,0.7816384436443335,0.7397977076805534,0.8603124538401401,0.8652943186017059,0.8584886345604562,0.8552811686741159,0.8582216838399109,0.8471899163607258,0.8420378244067656,0.8457782490209526,0.843710326266245,0.833230191259407,0.8326698876259625,0.8336697636175473,0.8555204660565349,0.8531304024402134,0.8462542585422713,0.8462385783103703,0.8395956450427715,0.8363395846533247,0.8328224569808133,0.8292685585003284,0.8249532052967448,0.8144216412650721,0.8214333503243447,0.8101646917496567,0.8489779591282894,0.8572008105256427,0.8591086133526311,0.8613914061523011,0.8559624500883343,0.8569438423416278,0.8632229512309799,0.860962093406423,0.8649425391382607,0.8575835531841853,0.8635737185458211,0.8391392775383312,0.8558586426431583,0.8567454862874707,0.8638045604014575
