section,agnddf_db,alt_dust_db,alt_roll_mod2_dust_sdf_0_20_db,baseline_2snaps_db,baseline_samefilt_db,baseline_db,bulges_bs_db,bulges_bulge_wfd_db,bulges_cadence_bs_db,bulges_cadence_bulge_wfd_db,bulges_cadence_i_heavy_db,bulges_i_heavy_db,daily_ddf_db,dcr_nham1_ug_db,dcr_nham1_ugr_db,dcr_nham1_ugri_db,dcr_nham2_ug_db,dcr_nham2_ugr_db,dcr_nham2_ugri_db,descddf_db,filterdist_indx1_db,filterdist_indx2_db,filterdist_indx3_db,filterdist_indx4_db,filterdist_indx5_db,filterdist_indx6_db,filterdist_indx7_db,filterdist_indx8_db,footprint_add_mag_clouds_db,footprint_big_sky_dust_db,footprint_big_sky_nouiy_db,footprint_big_sky_db,footprint_big_wfd_db,footprint_bluer_footprint_db,footprint_gp_smooth_db,footprint_newA_db,footprint_newB_db,footprint_no_gp_north_db,footprint_standard_goals_db,footprint_stuck_rolling_db,goodseeing_gi_db,goodseeing_gri_db,goodseeing_griz_db,goodseeing_gz_db,goodseeing_i_db,greedy_footprint_db,roll_mod2_dust_sdf_0_20_db,rolling_mod2_sdf_0_10_db,rolling_mod2_sdf_0_20_db,rolling_mod3_sdf_0_10_db,rolling_mod3_sdf_0_20_db,rolling_mod6_sdf_0_10_db,rolling_mod6_sdf_0_20_db,short_exp_2ns_1expt_db,short_exp_2ns_5expt_db,short_exp_5ns_1expt_db,short_exp_5ns_5expt_db,spiders_db,third_obs_pt120_db,third_obs_pt15_db,third_obs_pt30_db,third_obs_pt45_db,third_obs_pt60_db,third_obs_pt90_db,twilight_neo_mod1_db,twilight_neo_mod2_db,twilight_neo_mod3_db,twilight_neo_mod4_db,u60_db,var_expt_db,wfd_depth_scale0_65_noddf_db,wfd_depth_scale0_65_db,wfd_depth_scale0_70_noddf_db,wfd_depth_scale0_70_db,wfd_depth_scale0_75_noddf_db,wfd_depth_scale0_75_db,wfd_depth_scale0_80_noddf_db,wfd_depth_scale0_80_db,wfd_depth_scale0_85_noddf_db,wfd_depth_scale0_85_db,wfd_depth_scale0_90_noddf_db,wfd_depth_scale0_90_db,wfd_depth_scale0_95_noddf_db,wfd_depth_scale0_95_db,wfd_depth_scale0_99_noddf_db,wfd_depth_scale0_99_db,baseline_nexp1_v1_7_10yrs_db,baseline_nexp2_v1_7_10yrs_db,cadence_drive_gl100_gcbv1_7_10yrs_db,cadence_drive_gl100v1_7_10yrs_db,cadence_drive_gl200_gcbv1_7_10yrs_db,cadence_drive_gl200v1_7_10yrs_db,cadence_drive_gl30_gcbv1_7_10yrs_db,cadence_drive_gl30v1_7_10yrs_db,ddf_dither0_00_v1_7_10yrs_db,ddf_dither0_05_v1_7_10yrs_db,ddf_dither0_10_v1_7_10yrs_db,ddf_dither0_30_v1_7_10yrs_db,ddf_dither0_70_v1_7_10yrs_db,ddf_dither1_00_v1_7_10yrs_db,ddf_dither1_50_v1_7_10yrs_db,ddf_dither2_00_v1_7_10yrs_db,euclid_dither1_v1_7_10yrs_db,euclid_dither2_v1_7_10yrs_db,euclid_dither3_v1_7_10yrs_db,euclid_dither4_v1_7_10yrs_db,euclid_dither5_v1_7_10yrs_db,footprint_0_v1_710yrs_db,footprint_1_v1_710yrs_db,footprint_2_v1_710yrs_db,footprint_3_v1_710yrs_db,footprint_4_v1_710yrs_db,footprint_5_v1_710yrs_db,footprint_6_v1_710yrs_db,footprint_7_v1_710yrs_db,footprint_8_v1_710yrs_db,pair_times_11_v1_7_10yrs_db,pair_times_22_v1_7_10yrs_db,pair_times_33_v1_7_10yrs_db,pair_times_44_v1_7_10yrs_db,pair_times_55_v1_7_10yrs_db,rolling_nm_scale0_2_nslice2_v1_7_10yrs_db,rolling_nm_scale0_2_nslice3_v1_7_10yrs_db,rolling_nm_scale0_4_nslice2_v1_7_10yrs_db,rolling_nm_scale0_4_nslice3_v1_7_10yrs_db,rolling_nm_scale0_6_nslice2_v1_7_10yrs_db,rolling_nm_scale0_6_nslice3_v1_7_10yrs_db,rolling_nm_scale0_8_nslice2_v1_7_10yrs_db,rolling_nm_scale0_8_nslice3_v1_7_10yrs_db,rolling_nm_scale0_9_nslice2_v1_7_10yrs_db,rolling_nm_scale0_9_nslice3_v1_7_10yrs_db,rolling_nm_scale1_0_nslice2_v1_7_10yrs_db,rolling_nm_scale1_0_nslice3_v1_7_10yrs_db,rolling_scale0_2_nslice2_v1_7_10yrs_db,rolling_scale0_2_nslice3_v1_7_10yrs_db,rolling_scale0_4_nslice2_v1_7_10yrs_db,rolling_scale0_4_nslice3_v1_7_10yrs_db,rolling_scale0_6_nslice2_v1_7_10yrs_db,rolling_scale0_6_nslice3_v1_7_10yrs_db,rolling_scale0_8_nslice2_v1_7_10yrs_db,rolling_scale0_8_nslice3_v1_7_10yrs_db,rolling_scale0_9_nslice2_v1_7_10yrs_db,rolling_scale0_9_nslice3_v1_7_10yrs_db,rolling_scale1_0_nslice2_v1_7_10yrs_db,rolling_scale1_0_nslice3_v1_7_10yrs_db,twi_neo_pattern1_v1_7_10yrs_db,twi_neo_pattern2_v1_7_10yrs_db,twi_neo_pattern3_v1_7_10yrs_db,twi_neo_pattern4_v1_7_10yrs_db,twi_neo_pattern5_v1_7_10yrs_db,twi_neo_pattern6_v1_7_10yrs_db,twi_neo_pattern7_v1_7_10yrs_db,twi_pairs_mixed_repeat_v1_7_10yrs_db,twi_pairs_mixed_v1_7_10yrs_db,twi_pairs_repeat_v1_7_10yrs_db,twi_pairs_v1_7_10yrs_db,u_long_ms_30_v1_7_10yrs_db,u_long_ms_40_v1_7_10yrs_db,u_long_ms_50_v1_7_10yrs_db,u_long_ms_60_v1_7_10yrs_db
brightness,0.13298820346473691,0.1330439810746778,0.1389559523268029,0.1353745291284073,0.206478571060342,0.14242486791452344,0.1227041538791327,0.12691359487358314,0.13051111947597166,0.13024059164428708,0.12293859087039892,0.1285863838430334,0.14930317032148047,0.1930736510581044,0.2265693351218784,0.17935578127077245,0.2211147772028697,0.20724581887087096,0.19959030324746255,0.1584471457682029,0.261457729811877,0.15670010102279666,0.21023928308605536,0.2084260298530464,0.1603257486875444,0.14845636757225714,0.1761890924016659,0.16735582523300124,0.1587536366549863,0.16036384081093588,0.17099381151525858,0.16358704928061427,0.13926157553353805,0.22656530978028644,0.1364855129333822,0.10029163431907556,0.1244283308446963,0.1669792844856957,0.14012042956615547,0.156229580895284,0.1854489900834815,0.14797961681897576,0.1601917146397849,0.15581871762175276,0.16279536301490807,0.1422505862577149,0.16194637945903884,0.14893320952290834,0.14979425309229968,0.20409794463639186,0.20060235571891927,0.2414303995929623,0.2308574388189529,0.8041520763833584,0.5449658900205074,1.0,0.6467988292370258,0.12542846029625213,0.20290085538439676,0.14242486791452344,0.15601685125042736,0.1479992375998707,0.15917124630971627,0.17914461933932374,0.9059682149907636,0.6319671180348018,0.5652376115593779,0.4946122402665638,0.1116038350772659,0.21725107460850926,0.1124930995697098,0.12263102957506332,0.11989447180986168,0.13129703585178112,0.11665144366877872,0.11248757854131453,0.14991685744490132,0.14488621260924467,0.15866326249562065,0.1578108598083467,0.15321281247192156,0.1490661894620203,0.13820115606835034,0.1571643213014007,0.15366910090655642,0.1509220274577178,0.15866150714629315,0.15383992347719574,0.13613234548804176,0.14255565164193754,0.12671124652117724,0.12845102495753458,0.15133835930123252,0.13844824634833114,0.14171715705344246,0.14138974040592495,0.14197929109151505,0.14355570996106898,0.15383992347719574,0.1316150999994071,0.14159008455060754,0.1395455165028543,0.15383992347719574,0.12690942236854014,0.13482817949981005,0.14356964979538014,0.14318807681508985,0.13350446710716452,0.1237868952643747,0.12336669410250033,0.12595385746945031,0.1137719124006061,0.12595385746945031,0.1244912379412664,0.11826923903144206,0.1473745093978302,0.10264093602997444,0.15383992347719574,0.16622338867150085,0.1651643372627112,0.18885919929643488,0.15329508273346196,0.15506203340302446,0.156832072772787,0.14643754881569265,0.16026180614666713,0.14729863145553307,0.16548439322891034,0.16222488019196735,0.13956293353423618,0.15663993034134366,0.14281169180225428,0.14265416101782824,0.13513764357463728,0.14948904881041433,0.13917776690490688,0.1318440878273251,0.13881880404876007,0.14656750997729662,0.13239510598791016,0.1452663490475453,0.14445454398781274,0.13711933698293718,0.12379631687771125,0.147470236542627,0.09323541661995953,0.12801004252505555,0.14141011241018206,0.13439701032598658,0.13446351626760375,0.12547311590261145,0.13090725782582455,0.1467103706549154,0.14120179783072942,0.14667166310961444,0.1540030011359032,0.16656961087799266,0.16023482539086506,0.1327837008944577,0.1429305580650321
color,0.527501139686645,0.7134567380769078,0.8153140572898367,0.4882041735138495,0.1681591485418375,0.5702256421594053,0.4187882300481428,0.4141712786604514,0.427811652978105,0.4145804521309042,0.4180561841623253,0.4134151617109771,0.4758426325033554,0.5315329286449746,0.5096715201927652,0.5173175871819077,0.4880355754141622,0.4620188860164699,0.4565782167950218,0.5228263324210696,0.6396687078809095,0.6494826477252201,0.5966672477223256,0.5760248643047026,0.5392432192415954,0.517853112081536,0.6900470334750964,0.5793407252630183,0.5441624819704504,0.5604485275454669,0.6457952520026509,0.6342908754563359,0.5287348702481781,0.5191924022787714,0.5019621735556904,0.36060584435913584,0.4231047849752102,0.5678908273131229,0.5607234619144823,0.7274102617110263,0.5512064093073227,0.5563429761265537,0.5603193113056891,0.5753044917160365,0.5336411416600535,0.5576244887025945,0.5332930530517326,0.6293282999886145,0.6169748751129777,0.7167574546382579,0.6833198134073482,1.0,0.99990384655426,0.7288104660510795,0.7201420657785643,0.9220679155991572,0.8830940975807995,0.5623941215847705,0.5381293466280453,0.5702256421594053,0.5638258562331385,0.5693490069962323,0.5715571113862657,0.5545645125728809,0.5503633046820524,0.5729631070150657,0.5630822839868533,0.5771178248823584,0.4688067521651496,0.6733298727832938,0.4476459203208164,0.41790218697457865,0.4763684897211133,0.4215408650875972,0.5091752472440885,0.4729451634662815,0.5418884598246455,0.4947471626618461,0.576689096594301,0.5237772916409899,0.6098604193704609,0.5551334874149414,0.6438615271956454,0.5852663327650054,0.6898714614468263,0.6374404551401676,0.5701918773847415,0.5159952529198566,0.6238804648138686,0.6374121236855932,0.5905574407453305,0.5558586103625178,0.6449913429155608,0.6176889901589518,0.4977967926170762,0.5059672744289269,0.5021382972877895,0.5077201506862301,0.5159952529198566,0.4911343197160984,0.5025524073232909,0.4868555377670366,0.5159952529198566,0.5068482523175917,0.5124755086474388,0.5048067873197891,0.5034546200980279,0.6213471949358546,0.6363978850059371,0.6411355902263081,0.6161555976844829,0.6102102672245696,0.6161555976844829,0.6221801210417082,0.6362918615323361,0.6702993577499997,0.5374119449379153,0.5159952529198566,0.3833011142525609,0.3063465386940292,0.2340629026389614,0.4952101027686007,0.5103010924319429,0.5176095957271908,0.5199994392286971,0.5301313971323193,0.5529787865015051,0.5373265012125918,0.5512237803411828,0.5426043310167882,0.5474446085886457,0.5529419593645977,0.5557760235043446,0.7353280574338752,0.7318083994317335,0.7535481396760572,0.7986187363684366,0.7858951333483122,0.8144724583693622,0.7907714870059884,0.8168663667096968,0.8156932546351602,0.8242238632785336,0.818570139846981,0.8661917733874676,0.39681491589000095,0.4498915504132632,0.4665187776722677,0.4724784389290681,0.4543678374185564,0.4558025196844442,0.4674979442483386,0.6716396857387857,0.5483101676676552,0.5753847307494007,0.4835622250469618,0.4296692573569624,0.43334127126819605,0.4356108403866147,0.4364541640154588
footprint,0.7172333848531683,0.4420788253477587,0.5510819165378669,0.4371329211746521,0.5192812982998453,0.7520092735703244,0.32530911901081905,0.3092735703245749,0.3275888717156104,0.3069551777434311,0.3012364760432766,0.29084234930448216,0.5384080370942812,0.7117851622874805,0.7012751159196289,0.7073029366306025,0.6962132921174651,0.6665765069551777,0.6879829984544048,0.6778979907264296,0.6946676970633692,0.9612442040185468,0.6814142194744975,0.7124034003091189,0.6511978361669241,0.7266228748068004,0.9135625965996906,0.8865533230293661,0.6814142194744974,0.6890262751159197,0.8989953632148375,0.8646831530139103,0.3003477588871715,0.5621329211746522,0.5007341576506954,0.16792890262751156,0.2834621329211746,0.7763523956723338,0.7418469860896444,0.5523183925811436,0.7518933539412671,0.7622102009273568,0.7677357032457495,0.7531684698608961,0.7314528593508498,0.7157264296754248,0.5387557959814526,0.8372102009273568,0.827472952086553,0.8922720247295206,0.8639489953632145,0.8877897990726428,0.8841962905718701,0.942194744976816,0.9328052550231836,1.0,0.9812982998454404,0.7282071097372486,0.7124420401854713,0.7520092735703244,0.7282457496136011,0.7366692426584234,0.7239953632148376,0.7283230293663059,0.9264296754250384,0.8886785162287479,0.8758500772797524,0.8614374034003089,0.5010819165378669,0.5540571870170015,0.30710973724884066,0.2282457496136012,0.3913833075734157,0.2892581143740339,0.4878670788253476,0.3617851622874806,0.6552936630602781,0.468469860896445,0.7976429675425037,0.6138717156105099,0.8728361669242657,0.7414219474497679,0.940146831530139,0.8447449768160741,0.9758114374034002,0.9116692426584232,0.8067233384853166,0.5140262751159195,0.5621715610510045,0.5336553323029364,0.5574574961360124,0.5431993817619782,0.5579211746522411,0.5495363214837712,0.5168469860896445,0.5113214837712518,0.5193199381761978,0.5182380216383307,0.5140262751159195,0.5223338485316846,0.5216769706336939,0.5138330757341575,0.5140262751159195,0.5276661514683152,0.5106259659969088,0.5356259659969088,0.5252704791344666,0.3734157650695517,0.4132921174652241,0.4151081916537866,0.3967156105100463,0.4239180834621328,0.3967156105100463,0.3791731066460586,0.4297913446676969,0.4256182380216382,0.3741112828438948,0.5140262751159195,0.5423493044822256,0.5396445131375579,0.5065687789799072,0.5178902627511591,0.5180448222565688,0.5289412673879443,0.531066460587326,0.5353168469860894,0.543740340030912,0.5597758887171561,0.5571097372488407,0.555873261205564,0.5604714064914992,0.5698995363214835,0.5607805255023183,0.5303323029366304,0.5360896445131376,0.5428902627511589,0.5632148377125191,0.5653786707882533,0.5613214837712519,0.574536321483771,0.5700927357032457,0.5749613601236475,0.5793663060278205,0.5828438948995363,0.5832302936630602,0.29737248840803704,0.3754636785162287,0.4111669242658423,0.4334621329211745,0.3748454404945904,0.38377125193199374,0.4104327666151467,0.5832689335394126,0.5218701700154559,0.5473338485316847,0.4985316846986089,0.5649149922720246,0.5185085007727973,0.4613601236476042,0.4166151468315301
star density,0.7281155461175991,0.2542549875897622,0.3066064445854569,0.4671831100959245,0.5041456257702647,0.7662892024209147,0.2682416253090132,0.24161823692130474,0.2630775742395681,0.24210001230030576,0.2306129530649886,0.2220737552394461,0.5871993329171944,0.7276369134620849,0.715931866001595,0.7088697316887346,0.6941779191518456,0.6891831669547056,0.6981465343958012,0.6957199574397346,0.6580905475784008,0.9180644375121664,0.6408091931368305,0.6776862427076088,0.6042534571577919,0.6725592796314115,0.8666537218776816,0.8356985268309304,0.7094781282508733,0.4038731415629983,0.6361415414394461,0.6107790214268806,0.2692560766191954,0.5429710619916327,0.4923112578549302,0.123411168459899,0.2378326245868467,0.7457005961697426,0.7599828333370623,0.4069165010022627,0.7799827394464767,0.780422672257924,0.7956194028480309,0.7858601876457006,0.7537161264702708,0.7284471301627464,0.31033159984414993,0.8256869870147049,0.8198936095608317,0.8853855487003945,0.8708408431662805,0.8563487062240874,0.8697206982917628,0.9365275738713654,0.9205829516625572,1.0,0.9776516244928856,0.7393496059210941,0.7120196644345621,0.7662892024209147,0.7455453858431302,0.7548113857122697,0.7356268893717572,0.7435821333667709,0.9313097918705509,0.9006751044901298,0.8927267304170448,0.8706524824778816,0.5238766491619153,0.5673235277525389,0.28538596526963217,0.20451968401254508,0.3790832064892307,0.2871191202574198,0.4905640099144756,0.3606279520034147,0.6769506911675806,0.4975156007878771,0.7951056724989987,0.6415032519128835,0.8460118006033315,0.7663102716137637,0.9258283879774409,0.8378965134836069,0.9402911970571072,0.9002632325361231,0.8367628733523,0.5517194924863271,0.5887213712543534,0.5689265668266363,0.5720163631040732,0.5591191756839344,0.5903919510643942,0.5946342878838013,0.561854620385687,0.5368713276656324,0.5599922518121798,0.5693477187665958,0.5517194924863271,0.5591825380574506,0.5364568892000173,0.5471667603537971,0.5517194924863271,0.5515564223212027,0.5475818841039024,0.5640422302667032,0.5614489181955808,0.22775643721325006,0.2482312449236339,0.2502863596757558,0.2363628595743359,0.2583707605166964,0.2363628595743359,0.2343893118553393,0.26631470117372136,0.2663168358018566,0.3922015254089013,0.5517194924863271,0.5909059551966994,0.5749990688063484,0.5403790764197489,0.5577367431285654,0.5391958798633973,0.5749125174853863,0.5588581808991434,0.578461250548828,0.5897108713782754,0.6150737444996499,0.6287614510983256,0.5997517572357967,0.6081417944085802,0.6354811739812649,0.6274148610151167,0.5618263479934841,0.5678982374037802,0.563267102445611,0.5937710773182074,0.59847886167715,0.6102165020171887,0.6109985399738497,0.6146884543123629,0.6193782808022521,0.6099279013950448,0.6284386567632494,0.6300844710308189,0.32722970783272554,0.4070117770304264,0.4365814281980131,0.4598766905918799,0.3981118904002787,0.3998306439472043,0.4299144127266821,0.5912503723507601,0.5480310208809974,0.5754678028469045,0.5502395545247133,0.6063539158184809,0.5558071670965399,0.5004880266719245,0.4534690641141108
depth,0.9323163352207208,0.802599315122437,0.6957472787490485,0.8643639089939503,0.8676711558355275,0.9232854065035968,0.9277751660425644,0.9303809331727888,0.9241429109662719,0.9256238766900566,0.9306148125042104,0.925667058702067,0.9129305419088742,0.8765017716216655,0.8679415419222904,0.8474367916646824,0.8411022539576618,0.8079420190708885,0.7863862635675974,0.9351297416880112,0.8893745051822762,0.9633434433537386,0.9157837445810876,0.9227132332886708,1.0,0.9491154477818036,0.9439754278519786,0.9754581161267926,0.9238010697617628,0.8068352965895211,0.759652223905825,0.7655547385398564,0.7892007373539824,0.8501657765368595,0.9428013106502268,0.8327533083530327,0.8206940402117244,0.9203813913435924,0.9164492300877104,0.7705674106082758,0.8829439931856337,0.8812761651528039,0.9032434433943192,0.89869226991176,0.8902150593918421,0.9106003015785696,0.7265099244991047,0.8128718541042268,0.8167304865233727,0.7551272721526539,0.7646769648675581,0.6777362403161457,0.7008431775635378,0.7697018738227054,0.7727237099505953,0.3614386088403425,0.4156607827002233,0.9171073662389562,0.901268737474342,0.9232854065035968,0.924428414472892,0.9256144600592356,0.9125189310780792,0.907241344766735,0.4080229908394599,0.7598341235566037,0.8161506415256526,0.8503444650485614,0.9763769837652996,0.8089610700128254,0.943530929396928,0.9135424766414836,0.9370598408420092,0.9141981438237716,0.9351682348393544,0.9137971879279376,0.9339934513415522,0.9142062397728308,0.9394662835778796,0.9164568507776067,0.9393778730174892,0.9212203565934872,0.9425996645945184,0.9218292742348232,0.9425583019278974,0.9215521550891468,0.9373423446805688,0.8624474182057342,0.8083281217824391,0.8057252839778462,0.7606746486490735,0.7578208164012472,0.8394399433323116,0.8420379109524868,0.8653248626336248,0.8620899024170375,0.8615190856027088,0.8635589335351492,0.8624474182057342,0.8600341964007224,0.8610361326802116,0.8593179525343358,0.8624474182057342,0.8645003219130641,0.8623275281766818,0.8597016073936018,0.8655195385960012,0.7741139174015486,0.7813415254532979,0.7909744777793759,0.7924720349918091,0.8228051114141651,0.7924720349918091,0.7852888301414751,0.7778188473354891,0.7392314371776868,0.91614766362171,0.8624474182057342,0.8137273536602325,0.7816384436443335,0.7397977076805534,0.8603124538401401,0.8652943186017059,0.8584886345604562,0.8552811686741159,0.8582216838399109,0.8471899163607258,0.8420378244067656,0.8457782490209526,0.843710326266245,0.833230191259407,0.8326698876259625,0.8336697636175473,0.8555204660565349,0.8531304024402134,0.8462542585422713,0.8462385783103703,0.8395956450427715,0.8363395846533247,0.8328224569808133,0.8292685585003284,0.8249532052967448,0.8144216412650721,0.8214333503243447,0.8101646917496567,0.8489779591282894,0.8572008105256427,0.8591086133526311,0.8613914061523011,0.8559624500883343,0.8569438423416278,0.8632229512309799,0.860962093406423,0.8649425391382607,0.8575835531841853,0.8635737185458211,0.8391392775383312,0.8558586426431583,0.8567454862874707,0.8638045604014575
family,agnddf,alt,alt,baseline,baseline,baseline,bulges,bulges,bulges,bulges,bulges,bulges,daily,dcr,dcr,dcr,dcr,dcr,dcr,descddf,filterdist,filterdist,filterdist,filterdist,filterdist,filterdist,filterdist,filterdist,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,goodseeing,goodseeing,goodseeing,goodseeing,goodseeing,greedy,roll,rolling,rolling,rolling,rolling,rolling,rolling,short,short,short,short,spiders,third,third,third,third,third,third,twilight,twilight,twilight,twilight,u60,var,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,baseline,baseline,cadence,cadence,cadence,cadence,cadence,cadence,ddf,ddf,ddf,ddf,ddf,ddf,ddf,ddf,euclid,euclid,euclid,euclid,euclid,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,pair,pair,pair,pair,pair,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,twi,twi,twi,twi,twi,twi,twi,twi,twi,twi,twi,u,u,u,u
