db,brightness change,color change,footprint,star count,depth,family
agnddf_v1.5_10yrs.db,0.14518282883336173,0.46326601109411275,0.6874776258323189,0.29435764254615115,0.9450382481973034,agnddf
alt_dust_v1.5_10yrs.db,0.1522723483685445,0.6434771659530256,0.4494164817068804,0.1401300869179339,0.8687807238892331,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.15788499175483525,0.7312860896861876,0.5549151571561537,0.15960956698467027,0.8157160299140894,alt
baseline_2snaps_v1.5_10yrs.db,0.1392891990977483,0.4300458718594219,0.4230328631774898,0.22232123702894313,0.9023881603866121,baseline
baseline_samefilt_v1.5_10yrs.db,0.20614728780535377,0.13194300951100782,0.5134245006085773,0.27597503665447654,0.9111313546436195,baseline
baseline_v1.5_10yrs.db,0.1471709599539808,0.4984874772494188,0.7176917018686905,0.29233101562093633,0.943627266709462,baseline
bulges_bs_v1.5_10yrs.db,0.1490827427688606,0.4493850206066795,0.39246080045822285,0.16353668471998134,0.882149462288575,bulges
bulges_bulge_wfd_v1.5_10yrs.db,0.15556024977162555,0.4474440539288245,0.378606715830171,0.21755740597578602,0.8835400078010629,bulges
bulges_cadence_bs_v1.5_10yrs.db,0.15175558881695106,0.45118384406189393,0.39371375384835683,0.12282603805458614,0.8782386405833748,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs.db,0.16073812342002536,0.44293864199534133,0.37703157442543134,0.26586884185112847,0.8806521275066879,bulges
bulges_cadence_i_heavy_v1.5_10yrs.db,0.14592452355149652,0.44780027639954495,0.3660055845922532,0.1962889635107413,0.8846431246771215,bulges
bulges_i_heavy_v1.5_10yrs.db,0.15395504955602332,0.4432505094826465,0.36024199899763726,0.20307562068956528,0.8806111681976385,bulges
daily_ddf_v1.5_10yrs.db,0.1488872883527199,0.4210180399989932,0.5172907567838476,0.2609267098450102,0.9359174876651388,daily
dcr_nham1_ug_v1.5_10yrs.db,0.19575107577841874,0.46544318869166995,0.683897759003365,0.2977719798486727,0.9033664763891446,dcr
dcr_nham1_ugr_v1.5_10yrs.db,0.22861381936678007,0.44670982380832264,0.672084198467817,0.31902622019326504,0.9116481799949537,dcr
dcr_nham1_ugri_v1.5_10yrs.db,0.18901346258545793,0.452963582231114,0.6767022266771675,0.28017329574345773,0.9032795650372011,dcr
dcr_nham2_ug_v1.5_10yrs.db,0.22305246244414434,0.4313183668505214,0.665389847497673,0.29418034555080763,0.8795031316873965,dcr
dcr_nham2_ugr_v1.5_10yrs.db,0.20906618887773698,0.41175940307212194,0.6378606715830168,0.28426803936238176,0.8786058184158951,dcr
dcr_nham2_ugri_v1.5_10yrs.db,0.19884208824254349,0.4070331484183738,0.6604496312737165,0.3131804874529771,0.8782751219696879,dcr
descddf_v1.5_10yrs.db,0.16158264224742247,0.45797851600666356,0.649531037445407,0.26908368453538717,0.9486713069239854,descddf
filterdist_indx1_v1.5_10yrs.db,0.26658488463174873,0.550493746060489,0.7107467602205197,0.7491787544291775,0.9519927278147933,filterdist
filterdist_indx2_v1.5_10yrs.db,0.15355533637729998,0.5604056249769785,0.9705376959977089,1.0,0.9857573494043763,filterdist
filterdist_indx3_v1.5_10yrs.db,0.20485585998222255,0.5176441884029016,0.6947089568268059,0.7302672707042709,0.9626116944816772,filterdist
filterdist_indx4_v1.5_10yrs.db,0.20662675252611568,0.4933776171508368,0.7268203622825229,0.7280493870530278,0.9687853989604877,filterdist
filterdist_indx5_v1.5_10yrs.db,0.15880563052349886,0.4634188341736857,0.6548650390205483,0.6182728345897095,1.0,filterdist
filterdist_indx6_v1.5_10yrs.db,0.1438864563339313,0.44473090938042004,0.7314025918235841,0.711798592286179,0.9763742402579321,filterdist
filterdist_indx7_v1.5_10yrs.db,0.17318358501865638,0.5966640583020114,0.9246438032505192,0.9851581910323085,0.9779477764926763,filterdist
filterdist_indx8_v1.5_10yrs.db,0.16394298562398246,0.5020027025791175,0.8942507338726998,0.9178867653197624,0.9894647264265714,filterdist
footprint_add_mag_cloudsv1.5_10yrs.db,0.16409560676018353,0.4804671119933834,0.6638147060929332,0.35407573896521227,0.9357560512620156,footprint
footprint_big_sky_dustv1.5_10yrs.db,0.1624647398844855,0.4989510566374828,0.6936707954464093,0.13267642077713337,0.8319803088511141,footprint
footprint_big_sky_nouiyv1.5_10yrs.db,0.1629964690780733,0.5281553502014038,0.8637502684900121,0.1881820380675174,0.8487054356298759,footprint
footprint_big_skyv1.5_10yrs.db,0.15502084538926034,0.5321187933458892,0.8338941791365361,0.18160622334790308,0.8514328127150316,footprint
footprint_big_wfdv1.5_10yrs.db,0.13816611111929647,0.44699620715353994,0.29619818142765086,0.15598184621020875,0.8663935349705113,footprint
footprint_bluer_footprintv1.5_10yrs.db,0.2215020063408292,0.4650593119981488,0.5428868046108684,0.2498424969690471,0.9111600574258407,footprint
