db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
rolling_mod2_sdf_0.20_v1.5_10yrs.db,62,114,60,43,0,0,64,67,72,88,30,50,62,70,70,44,52,57,52,63,56
rolling_mod3_sdf_0.10_v1.5_10yrs.db,59,110,52,52,0,2,66,65,75,76,33,52,63,73,76,56,59,46,60,64,62
rolling_mod3_sdf_0.20_v1.5_10yrs.db,58,105,47,44,0,0,62,68,75,98,21,55,69,71,69,56,54,48,52,69,60
rolling_mod6_sdf_0.10_v1.5_10yrs.db,38,89,44,28,0,5,58,67,74,73,28,52,69,75,82,51,61,60,56,68,62
rolling_mod6_sdf_0.20_v1.5_10yrs.db,43,88,50,39,0,2,61,68,76,71,21,49,69,75,84,54,63,54,53,68,61
short_exp_2ns_1expt_v1.5_10yrs.db,77,214,128,68,0,0,74,110,107,64,5,68,85,110,34,69,86,67,70,85,70
short_exp_2ns_5expt_v1.5_10yrs.db,74,211,125,71,0,0,72,104,84,33,15,68,87,75,40,69,74,50,68,82,70
short_exp_5ns_1expt_v1.5_10yrs.db,100,224,169,87,0,1,85,141,124,43,17,80,100,96,37,79,118,75,81,93,78
short_exp_5ns_5expt_v1.5_10yrs.db,94,224,194,66,0,0,82,136,88,45,8,76,101,90,27,78,128,52,77,90,77
spiders_v1.5_10yrs.db,54,78,55,40,0,0,58,63,74,74,21,57,59,53,54,52,49,55,55,68,56
third_obs_pt120v1.5_10yrs.db,52,99,43,21,0,0,59,56,53,72,1,57,43,64,20,55,33,29,59,43,59
third_obs_pt15v1.5_10yrs.db,53,94,61,48,0,0,58,57,63,74,13,57,54,66,49,57,57,54,56,58,56
third_obs_pt30v1.5_10yrs.db,49,99,59,32,0,7,54,60,82,80,37,55,61,69,59,54,51,51,55,67,56
third_obs_pt45v1.5_10yrs.db,59,82,70,40,0,0,63,68,67,60,22,54,66,53,51,55,47,40,60,59,62
third_obs_pt60v1.5_10yrs.db,54,84,60,39,0,0,61,68,79,82,8,57,67,57,33,54,42,41,54,61,63
third_obs_pt90v1.5_10yrs.db,53,102,54,32,0,0,59,63,76,69,23,63,54,55,71,59,41,38,59,51,58
twilight_neo_mod1_v1.5_10yrs.db,65,155,28,45,0,2,73,57,91,59,27,93,52,69,54,88,26,31,112,51,77
twilight_neo_mod2_v1.5_10yrs.db,64,171,43,26,0,0,69,60,82,50,21,78,58,71,48,74,40,48,78,63,70
twilight_neo_mod3_v1.5_10yrs.db,65,173,48,32,0,0,67,58,79,53,19,70,57,78,54,72,50,49,71,58,67
twilight_neo_mod4_v1.5_10yrs.db,57,156,52,41,0,0,66,63,72,51,31,71,58,60,66,68,46,48,66,64,66
u60_v1.5_10yrs.db,0,15,2,2,0,0,43,69,65,75,34,42,48,60,55,41,50,52,48,65,47
var_expt_v1.5_10yrs.db,47,68,68,61,0,1,48,58,80,75,24,33,55,34,61,28,3,38,20,51,35
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,174,201,129,55,0,9,167,49,111,47,4,14,60,84,65,13,30,38,15,55,4
wfd_depth_scale0.65_v1.5_10yrs.db,171,198,114,34,0,4,138,44,84,61,27,13,43,74,52,13,30,34,13,47,1
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,181,203,114,51,0,7,113,54,111,50,24,21,74,94,74,21,49,49,25,59,8
wfd_depth_scale0.70_v1.5_10yrs.db,170,207,91,31,0,7,57,49,85,55,27,14,55,60,54,13,45,44,15,46,3
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,166,205,67,43,0,5,44,66,103,71,18,33,67,76,46,25,45,49,27,67,34
wfd_depth_scale0.75_v1.5_10yrs.db,158,206,71,41,0,10,26,59,78,61,27,6,56,68,64,11,44,28,10,47,11
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,114,199,65,50,0,4,57,74,94,75,39,42,63,68,75,44,48,52,44,68,45
wfd_depth_scale0.80_v1.5_10yrs.db,54,190,47,40,0,0,33,64,94,58,10,19,56,67,39,21,51,42,24,59,26
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,66,147,72,52,0,0,65,74,87,98,39,55,68,72,71,56,47,49,58,69,58
wfd_depth_scale0.85_v1.5_10yrs.db,53,124,45,50,0,0,50,65,85,63,18,38,63,67,55,32,49,47,38,66,48
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,69,101,66,37,0,1,66,66,77,54,8,66,68,51,68,64,52,58,63,68,61
wfd_depth_scale0.90_v1.5_10yrs.db,56,88,57,43,0,0,58,64,76,77,13,55,65,64,50,56,55,52,59,69,58
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,67,74,64,43,0,0,71,70,79,37,8,67,71,75,44,67,58,64,68,70,68
wfd_depth_scale0.95_v1.5_10yrs.db,54,61,63,45,0,0,62,68,77,62,15,62,66,58,33,64,55,57,66,59,59
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,61,71,72,64,0,0,69,78,82,43,15,69,74,58,47,68,62,67,69,74,68
wfd_depth_scale0.99_v1.5_10yrs.db,57,58,66,54,0,0,66,68,76,50,18,67,71,64,38,67,60,59,67,68,68
