db,brightness,color,footprint,star density,depth,family
agnddf_v1.5_10yrs.db,0.1329882034647369,0.5281883821855378,0.4521554603686092,0.47771224919306154,0.9323163352207207,agnddf
alt_dust_v1.5_10yrs.db,0.13304398107467777,0.7121768513948866,0.2713875898927182,0.1566873576065296,0.802599315122437,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.1389559523268029,0.81468306787512,0.38888670570204725,0.21408108174724144,0.6957472787490485,alt
baseline_2snaps_v1.5_10yrs.db,0.1353745291284073,0.48936311794591913,0.25759421542814476,0.27146574560488435,0.8643639089939503,baseline
baseline_samefilt_v1.5_10yrs.db,0.20647857106034198,0.1653839912715628,0.3803591778991629,0.379448301443798,0.8676711558355275,baseline
baseline_v1.5_10yrs.db,0.1424248679145234,0.5711820827852634,0.4792313435768458,0.5075765298346794,0.9232854065035967,baseline
bulges_bs_v1.5_10yrs.db,0.12270415387913267,0.4196380354069257,0.1952293001139623,0.1621987256016283,0.9277751660425643,bulges
bulges_bulge_wfd_v1.5_10yrs.db,0.12691359487358317,0.4151551135571064,0.18902031673674694,0.1421721006539629,0.9303809331727889,bulges
bulges_cadence_bs_v1.5_10yrs.db,0.13051111947597163,0.4283985502937475,0.20167406767005927,0.16962736164275535,0.924142910966272,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs.db,0.13024059164428706,0.4157156972878508,0.19106377962038743,0.1487141852099765,0.9256238766900566,bulges
bulges_cadence_i_heavy_v1.5_10yrs.db,0.1229385908703989,0.4187625920453385,0.1870554485794003,0.14425130472186057,0.9306148125042105,bulges
bulges_i_heavy_v1.5_10yrs.db,0.1285863838430334,0.4143421945433054,0.1752269422721735,0.13222711835447826,0.925667058702067,bulges
daily_ddf_v1.5_10yrs.db,0.14930317032148044,0.4771144657087101,0.32829017172947694,0.3670311944763497,0.9129305419088742,daily
dcr_nham1_ug_v1.5_10yrs.db,0.1930736510581044,0.5320750010020632,0.4549848705151884,0.48249178975535717,0.8765017716216655,dcr
dcr_nham1_ugr_v1.5_10yrs.db,0.22656933512187832,0.5109862754733207,0.43624002829410136,0.47898673820700244,0.8679415419222904,dcr
dcr_nham1_ugri_v1.5_10yrs.db,0.17935578127077245,0.5179808059085357,0.44578928753880603,0.4697285853794335,0.8474367916646824,dcr
dcr_nham2_ug_v1.5_10yrs.db,0.22111477720286965,0.48783742321877965,0.463944669312689,0.47612162481654363,0.8411022539576618,dcr
dcr_nham2_ugr_v1.5_10yrs.db,0.20724581887087096,0.46443437336753307,0.42346838527134817,0.4638903822964286,0.8079420190708885,dcr
dcr_nham2_ugri_v1.5_10yrs.db,0.19959030324746255,0.45745506717543805,0.43431445749990166,0.4573405233385697,0.7863862635675974,dcr
descddf_v1.5_10yrs.db,0.1584471457682029,0.5234421273542694,0.414233504931819,0.43843584158127985,0.9351297416880113,descddf
filterdist_indx1_v1.5_10yrs.db,0.261457729811877,0.6400276927173119,0.5967304593861751,0.5616073654916162,0.8893745051822762,filterdist
filterdist_indx2_v1.5_10yrs.db,0.1567001010227966,0.6508970376715262,0.8314536094628049,0.7960657878452944,0.9633434433537386,filterdist
filterdist_indx3_v1.5_10yrs.db,0.21023928308605536,0.5947649532496655,0.5327936495461153,0.49583349880702976,0.9157837445810877,filterdist
filterdist_indx4_v1.5_10yrs.db,0.20842602985304637,0.5794589377051387,0.5535426572876959,0.5213740359254719,0.9227132332886707,filterdist
filterdist_indx5_v1.5_10yrs.db,0.16032574868754437,0.5420050937188309,0.5102762604629228,0.46591387798119926,1.0,filterdist
filterdist_indx6_v1.5_10yrs.db,0.1484563675722571,0.5211376118743877,0.5326757574566745,0.48698757281372795,0.9491154477818037,filterdist
filterdist_indx7_v1.5_10yrs.db,0.17618909240166583,0.690554061796972,0.733053012142885,0.6909868942467748,0.9439754278519786,filterdist
filterdist_indx8_v1.5_10yrs.db,0.16735582523300124,0.5816164476397326,0.7047589106770933,0.655733498909495,0.9754581161267926,filterdist
footprint_add_mag_cloudsv1.5_10yrs.db,0.15875363665498626,0.5448183027837352,0.4148229653790231,0.45641621288590123,0.9238010697617627,footprint
footprint_big_sky_dustv1.5_10yrs.db,0.16036384081093585,0.5609827726009015,0.43144574999017554,0.2694223913875413,0.8068352965895211,footprint
footprint_big_sky_nouiyv1.5_10yrs.db,0.17099381151525858,0.6479761947658849,0.7598931111722402,0.5615254553080777,0.759652223905825,footprint
footprint_big_skyv1.5_10yrs.db,0.16358704928061424,0.6355069181594944,0.6727315597123431,0.5370326191922096,0.7655547385398564,footprint
footprint_big_wfdv1.5_10yrs.db,0.13926157553353802,0.529939600171395,0.20128109403858999,0.17676524327459625,0.7892007373539824,footprint
footprint_bluer_footprintv1.5_10yrs.db,0.22656530978028644,0.5189127494910981,0.4348253232208118,0.4213279378718041,0.8501657765368595,footprint
footprint_gp_smoothv1.5_10yrs.db,0.13648551293338218,0.5036063752894308,0.30443667229928867,0.29084100527942064,0.9428013106502269,footprint
footprint_newAv1.5_10yrs.db,0.10029163431907555,0.3622427181947326,0.11349078476834203,0.07678892398213633,0.8327533083530327,footprint
footprint_newBv1.5_10yrs.db,0.1244283308446963,0.42488344649310356,0.1758164027193775,0.13017357786350292,0.8206940402117244,footprint
footprint_no_gp_northv1.5_10yrs.db,0.1669792844856957,0.5690560867619988,0.5092545290211026,0.523063190106245,0.9203813913435925,footprint
