db,FoM_tgaps_same,FoM_tgaps_diff,FoM_EG,FoM_Gal,FoM_depth,family
agnddf_v1.5_10yrs,0.03871381246880159,0.03646299220695259,0.7756653992395439,0.7221122845185762,0.8909756442035198,agnddf
alt_dust_v1.5_10yrs,0.7779476257517386,0.7379823041916447,0.9410646387832701,0.9263419021423291,0.8476822005989643,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.9518976153387055,1.0,0.9828897338403043,0.91029377349815,0.8318693186885036,alt
baseline_2snaps_v1.5_10yrs,0.03309754870332407,0.10290491330340566,0.8098859315589355,0.8208712847862146,0.8681569646131901,baseline
baseline_samefilt_v1.5_10yrs,0.028838853598868543,0.000609545334478946,0.479087452471483,0.4444080017020032,0.9261576506220023,baseline
baseline_v1.5_10yrs,0.027820882653373524,0.07191812145115002,0.8441064638783271,0.8445953021787276,0.8987571642043107,baseline
bulges_bs_v1.5_10yrs,0.6596028737760344,0.6773886316039577,0.935361216730038,0.8661459237108956,0.8334430884991144,bulges
bulges_bulge_wfd_v1.5_10yrs,0.6204327256961191,0.5005256635852675,0.9125475285171104,0.9038246830734564,0.8367979096885252,bulges
bulges_cadence_bs_v1.5_10yrs,0.6195588467011653,0.609731681299695,0.9496197718631179,0.9125884136645755,0.8378508663243128,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs,0.9022052574588483,0.8151379596732788,0.9125475285171104,0.9038246830734564,0.8485773379311319,bulges
bulges_cadence_i_heavy_v1.5_10yrs,0.6263447991983594,0.8434525228572014,0.9553231939163499,0.9233221448664086,0.846465490224063,bulges
bulges_i_heavy_v1.5_10yrs,0.46864518982580383,0.3827592404205953,0.9011406844106465,0.8997308421254335,0.8295120119792425,bulges
daily_ddf_v1.5_10yrs,0.06953504114691807,0.1520487564097006,0.8326996197718632,0.8530122913781387,0.8905888767892804,daily
dcr_nham1_ug_v1.5_10yrs,0.03588481925340005,0.10292353087694964,0.8098859315589354,0.7413242921458322,0.8874135879837118,dcr
dcr_nham1_ugr_v1.5_10yrs,0.04085809049562413,0.06764154836662772,0.8326996197718632,0.8158055140559213,0.8942734443769949,dcr
dcr_nham1_ugri_v1.5_10yrs,0.03009990566897867,0.05912415436178754,0.7870722433460078,0.7747342030890463,0.8845334503697115,dcr
dcr_nham2_ug_v1.5_10yrs,0.029444858248223633,0.09837106183708628,0.8212927756653994,0.7766802094577007,0.8951252826136045,dcr
dcr_nham2_ugr_v1.5_10yrs,0.02658556010462828,0.07191131206046285,0.7870722433460078,0.7609944277708863,0.8864563130789611,dcr
dcr_nham2_ugri_v1.5_10yrs,0.024883750122332928,0.060571416452317985,0.8326996197718632,0.8257759020877292,0.8966986556887698,dcr
descddf_v1.5_10yrs,0.03171726114573345,0.25282956803965384,0.935361216730038,0.918609679305356,0.8621460432894231,descddf
filterdist_indx1_v1.5_10yrs,0.0,0.0,0.0,0.0,0.0,filterdist
filterdist_indx2_v1.5_10yrs,0.0,0.0,0.0,0.0,0.0,filterdist
