section,agnddf_db,alt_dust_db,alt_roll_mod2_dust_sdf_0_20_db,baseline_2snaps_db,baseline_samefilt_db,baseline_db,bulges_bs_db,bulges_bulge_wfd_db,bulges_cadence_bs_db,bulges_cadence_bulge_wfd_db,bulges_cadence_i_heavy_db,bulges_i_heavy_db,daily_ddf_db,dcr_nham1_ug_db,dcr_nham1_ugr_db,dcr_nham1_ugri_db,dcr_nham2_ug_db,dcr_nham2_ugr_db,dcr_nham2_ugri_db,descddf_db,filterdist_indx1_db,filterdist_indx2_db,filterdist_indx3_db,filterdist_indx4_db,filterdist_indx5_db,filterdist_indx6_db,filterdist_indx7_db,filterdist_indx8_db,footprint_add_mag_clouds_db,footprint_big_sky_dust_db,footprint_big_sky_nouiy_db,footprint_big_sky_db,footprint_big_wfd_db,footprint_bluer_footprint_db,footprint_gp_smooth_db,footprint_newA_db,footprint_newB_db,footprint_no_gp_north_db,footprint_standard_goals_db,footprint_stuck_rolling_db,goodseeing_gi_db,goodseeing_gri_db,goodseeing_griz_db,goodseeing_gz_db,goodseeing_i_db,greedy_footprint_db,roll_mod2_dust_sdf_0_20_db,rolling_mod2_sdf_0_10_db,rolling_mod2_sdf_0_20_db,rolling_mod3_sdf_0_10_db,rolling_mod3_sdf_0_20_db,rolling_mod6_sdf_0_10_db,rolling_mod6_sdf_0_20_db,short_exp_2ns_1expt_db,short_exp_2ns_5expt_db,short_exp_5ns_1expt_db,short_exp_5ns_5expt_db,spiders_db,third_obs_pt120_db,third_obs_pt15_db,third_obs_pt30_db,third_obs_pt45_db,third_obs_pt60_db,third_obs_pt90_db,twilight_neo_mod1_db,twilight_neo_mod2_db,twilight_neo_mod3_db,twilight_neo_mod4_db,u60_db,var_expt_db,wfd_depth_scale0_65_noddf_db,wfd_depth_scale0_65_db,wfd_depth_scale0_70_noddf_db,wfd_depth_scale0_70_db,wfd_depth_scale0_75_noddf_db,wfd_depth_scale0_75_db,wfd_depth_scale0_80_noddf_db,wfd_depth_scale0_80_db,wfd_depth_scale0_85_noddf_db,wfd_depth_scale0_85_db,wfd_depth_scale0_90_noddf_db,wfd_depth_scale0_90_db,wfd_depth_scale0_95_noddf_db,wfd_depth_scale0_95_db,wfd_depth_scale0_99_noddf_db,wfd_depth_scale0_99_db,baseline_nexp1_v1_7_10yrs_db,baseline_nexp2_v1_7_10yrs_db,cadence_drive_gl100_gcbv1_7_10yrs_db,cadence_drive_gl100v1_7_10yrs_db,cadence_drive_gl200_gcbv1_7_10yrs_db,cadence_drive_gl200v1_7_10yrs_db,cadence_drive_gl30_gcbv1_7_10yrs_db,cadence_drive_gl30v1_7_10yrs_db,ddf_dither0_00_v1_7_10yrs_db,ddf_dither0_05_v1_7_10yrs_db,ddf_dither0_10_v1_7_10yrs_db,ddf_dither0_30_v1_7_10yrs_db,ddf_dither0_70_v1_7_10yrs_db,ddf_dither1_00_v1_7_10yrs_db,ddf_dither1_50_v1_7_10yrs_db,ddf_dither2_00_v1_7_10yrs_db,euclid_dither1_v1_7_10yrs_db,euclid_dither2_v1_7_10yrs_db,euclid_dither3_v1_7_10yrs_db,euclid_dither4_v1_7_10yrs_db,euclid_dither5_v1_7_10yrs_db,footprint_0_v1_710yrs_db,footprint_1_v1_710yrs_db,footprint_2_v1_710yrs_db,footprint_3_v1_710yrs_db,footprint_4_v1_710yrs_db,footprint_5_v1_710yrs_db,footprint_6_v1_710yrs_db,footprint_7_v1_710yrs_db,footprint_8_v1_710yrs_db,pair_times_11_v1_7_10yrs_db,pair_times_22_v1_7_10yrs_db,pair_times_33_v1_7_10yrs_db,pair_times_44_v1_7_10yrs_db,pair_times_55_v1_7_10yrs_db,rolling_nm_scale0_2_nslice2_v1_7_10yrs_db,rolling_nm_scale0_2_nslice3_v1_7_10yrs_db,rolling_nm_scale0_4_nslice2_v1_7_10yrs_db,rolling_nm_scale0_4_nslice3_v1_7_10yrs_db,rolling_nm_scale0_6_nslice2_v1_7_10yrs_db,rolling_nm_scale0_6_nslice3_v1_7_10yrs_db,rolling_nm_scale0_8_nslice2_v1_7_10yrs_db,rolling_nm_scale0_8_nslice3_v1_7_10yrs_db,rolling_nm_scale0_9_nslice2_v1_7_10yrs_db,rolling_nm_scale0_9_nslice3_v1_7_10yrs_db,rolling_nm_scale1_0_nslice2_v1_7_10yrs_db,rolling_nm_scale1_0_nslice3_v1_7_10yrs_db,rolling_scale0_2_nslice2_v1_7_10yrs_db,rolling_scale0_2_nslice3_v1_7_10yrs_db,rolling_scale0_4_nslice2_v1_7_10yrs_db,rolling_scale0_4_nslice3_v1_7_10yrs_db,rolling_scale0_6_nslice2_v1_7_10yrs_db,rolling_scale0_6_nslice3_v1_7_10yrs_db,rolling_scale0_8_nslice2_v1_7_10yrs_db,rolling_scale0_8_nslice3_v1_7_10yrs_db,rolling_scale0_9_nslice2_v1_7_10yrs_db,rolling_scale0_9_nslice3_v1_7_10yrs_db,rolling_scale1_0_nslice2_v1_7_10yrs_db,rolling_scale1_0_nslice3_v1_7_10yrs_db,twi_neo_pattern1_v1_7_10yrs_db,twi_neo_pattern2_v1_7_10yrs_db,twi_neo_pattern3_v1_7_10yrs_db,twi_neo_pattern4_v1_7_10yrs_db,twi_neo_pattern5_v1_7_10yrs_db,twi_neo_pattern6_v1_7_10yrs_db,twi_neo_pattern7_v1_7_10yrs_db,twi_pairs_mixed_repeat_v1_7_10yrs_db,twi_pairs_mixed_v1_7_10yrs_db,twi_pairs_repeat_v1_7_10yrs_db,twi_pairs_v1_7_10yrs_db,u_long_ms_30_v1_7_10yrs_db,u_long_ms_40_v1_7_10yrs_db,u_long_ms_50_v1_7_10yrs_db,u_long_ms_60_v1_7_10yrs_db,baseline_nexp2_v1_7_1_10yrs_db,bulge_roll_scale0_90_nslice2_fpw0_9_nrw1_0v1_7_1_10yrs_db,bulge_roll_scale0_90_nslice3_fpw0_9_nrw1_0v1_7_1_10yrs_db,footprint_6_v1_7_1_10yrs_db,full_disk_scale0_90_nslice2_fpw0_9_nrw1_0v1_7_1_10yrs_db,full_disk_scale0_90_nslice3_fpw0_9_nrw1_0v1_7_1_10yrs_db,full_disk_v1_7_1_10yrs_db,rolling_nm_scale0_90_nslice2_fpw0_9_nrw1_0v1_7_1_10yrs_db,rolling_nm_scale0_90_nslice3_fpw0_9_nrw1_0v1_7_1_10yrs_db,six_stripe_scale0_90_nslice6_fpw0_9_nrw0_0v1_7_1_10yrs_db
flux change,0.14518282883336175,0.1522723483685445,0.15788499175483525,0.13928919909774828,0.20614728780535374,0.1471709599539808,0.14908274276886058,0.15556024977162555,0.15175558881695106,0.16073812342002536,0.14592452355149652,0.15395504955602332,0.1488872883527199,0.19575107577841874,0.2286138193667801,0.18901346258545795,0.22305246244414434,0.20906618887773692,0.19884208824254349,0.16158264224742247,0.26658488463174873,0.15355533637729996,0.20485585998222253,0.2066267525261156,0.15880563052349886,0.1438864563339313,0.17318358501865638,0.1639429856239825,0.1640956067601835,0.16246473988448548,0.16299646907807333,0.15502084538926034,0.13816611111929647,0.2215020063408292,0.15678642426908346,0.13156142781197533,0.14337772796120568,0.16831161079341025,0.14170546782292245,0.1701838465855544,0.18432907084397065,0.16976995208906215,0.16936151711284064,0.15421684455071138,0.16367269277622373,0.1405523829817669,0.16992605146207782,0.15985748329576252,0.1723842789733638,0.20197376400832692,0.2006507760738429,0.2336561412642204,0.2338307349202864,0.8323604416193481,0.5695212641504247,1.0,0.6572446334609214,0.12526551424698154,0.1984061304922343,0.1471709599539808,0.15898675262902506,0.15005217902292795,0.15910873452168844,0.17642896604715605,0.9286688631752372,0.6300893234507572,0.5579540402973957,0.4906671591401955,0.11889482074236475,0.2229966215171623,0.16428249789470475,0.16459835353748434,0.15591560007754446,0.16117219592081114,0.1495216125785153,0.15136425908746715,0.17174515534351945,0.15996849429348006,0.1664190915314483,0.1663590960232894,0.16454341962783187,0.15375363655668828,0.1432778698655656,0.15307900716912434,0.1440431549711791,0.14275222358659714,0.18824128918255045,0.2167233067601298,0.1692063770500992,0.1654261880373438,0.16686228798341898,0.14967280185119133,0.189632110486138,0.16457594544763476,0.1649866245514107,0.1792924183026541,0.1805704268457594,0.16746692835447305,0.2167233067601298,0.16707021347218318,0.16760569765953284,0.16274330504463186,0.2167233067601298,0.15620005247164534,0.2119174934707271,0.1981900143643663,0.1678990037371897,0.17717879708179696,0.1753294259716225,0.16427589595365194,0.16620523012494448,0.1748014996281142,0.16620523012494448,0.16792575494470274,0.17435827164978965,0.18223044260161714,0.14756669894318614,0.2167233067601298,0.1943076712693,0.1917656831329518,0.2171253597359815,0.18099577905909064,0.1793317200169347,0.18229743805573548,0.18120644364221586,0.18510835479655188,0.16973432539356062,0.1922261143094114,0.18729182660772503,0.1685606555569963,0.1890814463072905,0.19005565066844932,0.17266036036506874,0.17694371587908295,0.18127160196284348,0.1801837813499511,0.18422689752438093,0.17851136898031572,0.1764309776565311,0.16376363351535184,0.1765648563227846,0.17362551327685788,0.17138474312329258,0.16085863784364546,0.1768048430951955,0.8078124230689767,0.5648533760636797,0.4742693392512298,0.44088310695720506,0.5817291533161375,0.5345488182098576,0.49391604141134204,0.1691085543676289,0.1633765766758702,0.1936892749156656,0.17925396122694107,0.1939657903849975,0.1973700272196217,0.16769220998213402,0.16573008391473878,0.1700682675241717,0.1594738748216618,0.19583826328832868,0.18237863539613966,0.17100974950747316,0.19401876527405032,0.1786384837776812,0.1761933607687502,0.18654156149778486,0.3132836911552505
color,0.4135548670925814,0.5702929450306069,0.6464849551351872,0.38228000928084094,0.11417215070787512,0.4430648046167317,0.3987833490195085,0.3973002833725661,0.40027539948171625,0.3934580470759255,0.3969512520745444,0.39336309152891896,0.3743180534698663,0.4128698799624597,0.3953495401445817,0.40101079161829495,0.3799059629160469,0.362079883485144,0.3592713859481301,0.4080609866373272,0.4905011166647543,0.4997564098292001,0.4615405108066582,0.4385561687274568,0.4115896510105024,0.3961165102352133,0.5328608461191643,0.4470305039776638,0.4264912441759257,0.4424254575075728,0.4692646175602211,0.4728963658023998,0.3968765823812758,0.4171289085664021,0.42301164894056026,0.3672334752373026,0.3846101975470651,0.4382389075873324,0.4346817466784565,0.5466670560446911,0.4278420804477118,0.4313975733188213,0.4357220977188545,0.4451263913143486,0.4120206092166908,0.4333323585726817,0.4333926304107881,0.4830239998351535,0.4739651432863077,0.5359589443643589,0.5194932431149984,0.7054214358721594,0.6818551244138901,0.5698879885981178,0.5611923514253546,0.7148855614218549,0.6910796276897941,0.4352171941310637,0.4247538385952722,0.4430648046167317,0.4381999073135448,0.4419772529200995,0.4443362519636132,0.4367187695769265,0.4126278219339653,0.434040152633911,0.43267090748945103,0.44109615800211466,0.3575078815530823,0.5347252532558229,0.4650668600663323,0.4293147536313619,0.4639889882315506,0.4077198937976619,0.4628983917359324,0.4241199537353247,0.4621387512579344,0.4219476197437887,0.4681063453333053,0.4231591875300753,0.4739144884996695,0.4328787138495955,0.4853981079815877,0.44197387100672303,0.5065968301802596,0.4655264288421658,0.5094636602433581,0.4609296508365112,0.5498476782547476,0.5451085609829289,0.4929024024482473,0.464868145990562,0.5643398710370935,0.5474699289447139,0.4494469840151245,0.4548889703354834,0.4513195491027641,0.4569606327778954,0.4609296508365112,0.44105412684482,0.4510187729213632,0.4393027326927124,0.4609296508365112,0.455516663750224,0.4561406079793332,0.4546430399100781,0.4531098255119514,0.6042867960381361,0.6177918667017751,0.6277335076195538,0.6083792600543152,0.6219111084004703,0.6083792600543152,0.615328370383439,0.6065663222112309,0.6103604272304772,0.4899840190617664,0.4609296508365112,0.3486091133174235,0.280312142405105,0.21646269485634395,0.4463290501089989,0.4562275242594353,0.4614798256656699,0.4624185723349288,0.4706031451346611,0.4867671294619208,0.4745602210334017,0.4848112534763882,0.4797628189359482,0.4819251441983815,0.4884620710534117,0.4854465899098683,0.6464001696946091,0.6421129756010627,0.6556180247132105,0.6793675883690504,0.6752769467852799,0.6937587912064207,0.687918229432684,0.7008811436963585,0.7000379535915684,0.6980839353507172,0.6967931036321292,0.7237535469898556,0.4972266556602543,0.477023206066021,0.4691414847247849,0.4549122300867315,0.4942056534340638,0.4834049131295559,0.4753814459260114,0.586844546972223,0.4910037554631653,0.5177455894975358,0.4398007345623528,0.3880208001338747,0.38933748683405495,0.3950013021655062,0.39568238864215705,0.4549499596574251,0.292392344268404,0.3699710812171839,0.6091699042191273,0.2897750988040793,0.3553380774510091,0.43803259235270653,0.2911703690473745,0.3857406169063132,1.0
footprint,0.4460154717400153,0.2850797645926639,0.4008957323166895,0.2568753007365733,0.386904541584928,0.4695932190842802,0.2475848539808269,0.2400710663656216,0.25021282895954394,0.2420327941666358,0.2350742125328497,0.2278195210423067,0.324721471665988,0.4493467076285301,0.4299885257430506,0.4379094644112965,0.4544916163896806,0.41581226635081614,0.4290261687085909,0.4078543139504756,0.6208313284228448,0.8574231039715733,0.5506162786393752,0.5742310397157344,0.5209682792315947,0.5452122737535626,0.7575600547803235,0.7237295036458526,0.4146648406558833,0.4470888699707592,0.7424954658178183,0.6595847059258986,0.20457489728689346,0.4277306880852796,0.33049561387274673,0.1560128807787689,0.19898582374060775,0.4951697079616536,0.4599326350075878,0.557130695488026,0.4727023725802273,0.4829551763704335,0.4928378428396936,0.4731465373653624,0.44879150164711096,0.4624125550579264,0.3876448162268201,0.5864455713069548,0.573046600288707,0.6831624532701632,0.6504793278306251,0.7235444349853796,0.709183106932672,0.8674908391013065,0.8391383203168374,1.0,0.9786800903135064,0.4482733093977866,0.4614501980234666,0.4695932190842802,0.4512714216974497,0.4573786874930599,0.4502350371988008,0.4692971092275233,0.8757449013584038,0.7578561646370803,0.7148462079431468,0.6598808157826553,0.2930007032609098,0.352999962986268,0.33638079727578923,0.2833031054521227,0.3688788540548543,0.3009956693933449,0.3751341747788429,0.2801939519561757,0.4293963060295369,0.3132102009845652,0.5378465410667357,0.3760595180812081,0.6447051856238664,0.4521967649998149,0.771551245512085,0.5954399082059442,0.8531295110485991,0.7088869970759152,0.7952030203205389,0.507976459266388,0.5702705703816114,0.5468038642336307,0.5743790946441131,0.5567235444349853,0.5561683384535664,0.5494318392123478,0.5146389310434171,0.5022393307917238,0.5114927638153755,0.5132324092238221,0.507976459266388,0.516822741236999,0.5164896176481474,0.5083095828552392,0.507976459266388,0.5194877299478107,0.5027205093089536,0.5272606136876781,0.5194137024836214,0.4145908131916941,0.4628197061109671,0.4651145575008329,0.4486434467187326,0.5073472258207795,0.4486434467187326,0.441166672835622,0.4683347521930635,0.4483103231298812,0.36910093644742203,0.507976459266388,0.5356257171410593,0.5339600991968019,0.5006477403116556,0.5110856127623348,0.5130473405633489,0.5199318947329459,0.5247806936373394,0.5274456823481511,0.5354776622126809,0.5509864159603212,0.5472110152866713,0.5440648480586298,0.5481733723211311,0.5590924232890402,0.5499500314616723,0.5231891031572715,0.5284080393826108,0.5359588407299107,0.5540955694562683,0.5558352148647147,0.5552429951512011,0.5646074693711367,0.5608320686974868,0.5637931672650552,0.569752378132287,0.573527778805937,0.5746011770366806,0.5397342414035607,0.5483214272495096,0.5191546063589592,0.5360328681940999,0.5585372173076213,0.5576488877373504,0.5604989451086354,0.5758966576599919,0.5162675352555797,0.5420290927934264,0.4912462523596254,0.5581300662545804,0.5126401895103083,0.4592663878298848,0.4151830329052078,0.5156383018099715,0.4843616981900285,0.6211274382796017,0.4626716511825887,0.4663360106599548,0.6223118777066292,0.4151830329052078,0.5404745160454529,0.6755746381907687,0.8123033645482473
star count,0.2329489755865627,0.11990092358678282,0.13947367012780426,0.1773560161295986,0.257124418087117,0.2340458101433717,0.13274083227798175,0.14904424035972974,0.09304895549215572,0.18692010803713954,0.157234767516318,0.1497000096138127,0.21366663488122534,0.2471282414512569,0.26848248692555976,0.2292840933776853,0.2542260414727415,0.2289777579357121,0.2624231374743869,0.20760201897426508,0.7267166741977156,1.0,0.6145391066722755,0.6373591487803641,0.5303487872210974,0.5981237041974946,0.9143965767375288,0.8343780707798859,0.271531893772263,0.10110465376945957,0.187895444269232,0.18003192433573678,0.14145095677816408,0.23241083572975296,0.3611260199069487,0.14264853770311708,0.10447010430790954,0.2253335669052413,0.24777586606163424,0.21905974682436372,0.24177543023526166,0.2443535020357773,0.2602839612514947,0.2295886730880815,0.2273038581549661,0.2466281867819432,0.16012677683268495,0.2444684159976072,0.25467382950566825,0.2688088244804113,0.3447013427579428,0.2939967364556027,0.3012730825923312,0.4530453845513771,0.4435868151782468,0.5167838225361381,0.5077187699884885,0.2648383394928008,0.2523660790356728,0.2340458101433717,0.2653296511582892,0.22158398043877373,0.2770146010450916,0.2585151023293641,0.4238630801552486,0.3356297439030362,0.3726956065538072,0.2860351503048181,0.16947521820126374,0.19229164853451386,0.3099073958444349,0.2735990872173213,0.2519862064466009,0.2589630150591359,0.28797047434237943,0.2366971262843204,0.27858897002101185,0.20149438376420506,0.3178231207124708,0.2574946975169848,0.31016412651200537,0.2490117261469533,0.3233553958124889,0.2730993268325617,0.30779608927402635,0.2749141316465597,0.35260209421357025,0.2608992568654761,0.3271889795516194,0.32173576890181343,0.3114513607737735,0.2728987843786005,0.2424188777784365,0.27743114614495795,0.271299638601424,0.24696510232396976,0.2355721582719245,0.2531684424549155,0.2608992568654761,0.2396002312183212,0.2601434955206092,0.2551066742381655,0.2608992568654761,0.21646397601551248,0.2304318328813342,0.2628443842918851,0.2494937042074113,0.4357122358353869,0.4821830508022542,0.4888663306158986,0.4788336468080237,0.6291820994129891,0.4788336468080237,0.4952120518212688,0.5544886968476521,0.17748755153428722,0.1724898407245093,0.2608992568654761,0.2571652974076208,0.2593523010592188,0.25858142313149185,0.2532087429973226,0.24824884248777365,0.23316666394907595,0.24447735722323197,0.24095826206763934,0.2519511222965071,0.2515390417131629,0.24913856168137086,0.2453369090171487,0.2422353849855365,0.25714996893249226,0.2513953273985457,0.2833451836840095,0.2652921876076573,0.31440751063720984,0.2886881214961876,0.26820571608948146,0.2531287411963085,0.2554109485798434,0.29052730537469024,0.24104237055141456,0.26156075496972125,0.24551841423470785,0.25918823991422324,0.4918260333233685,0.2814890608013496,0.21908056676380885,0.2595248617259039,0.32976020263193706,0.3482358284599823,0.3025544141672984,0.2994820904420578,0.26970925947428925,0.2645687112920025,0.238586949643935,0.2791835280878339,0.2676423071097979,0.25634513854781577,0.2296999737971841,0.20231226464357244,0.34377554147002004,0.4363361872577701,0.3123665011280273,0.4440004809817789,0.6027828660289447,0.38799730566732704,0.1913988699269172,0.23319167924459416,0.5489443481372633
depth,0.9450382481973034,0.8687807238892331,0.8157160299140894,0.902388160386612,0.9111313546436196,0.9436272667094621,0.882149462288575,0.8835400078010629,0.8782386405833748,0.8806521275066879,0.8846431246771215,0.8806111681976385,0.9359174876651388,0.9033664763891446,0.9116481799949536,0.9032795650372012,0.8795031316873965,0.8786058184158951,0.8782751219696879,0.9486713069239854,0.9519927278147932,0.9857573494043764,0.9626116944816772,0.9687853989604877,1.0,0.976374240257932,0.9779477764926764,0.9894647264265714,0.9357560512620156,0.8319803088511141,0.8487054356298759,0.8514328127150316,0.8663935349705113,0.9111600574258408,0.9421859046564884,0.8747525508557368,0.8430643082198268,0.9452117213936764,0.9377027604486966,0.8622222684331543,0.9012092896667514,0.9043978877004148,0.925083095567446,0.9165050816167104,0.9038418289287496,0.9434504883252884,0.8331664614982067,0.8835821072340206,0.8847175767268612,0.8505829956238241,0.8563999004494929,0.8146262442309913,0.8274284260162867,0.8231218076980255,0.8231686071803804,0.4832207861826144,0.548838769592248,0.9365641135877386,0.925503827845341,0.9436272667094621,0.9432776803463732,0.9418213574921628,0.9326956629467784,0.9289666305657214,0.4460744132281971,0.8765526095917594,0.8983707120586419,0.9152741723426681,0.9901823624321726,0.8626745031371941,0.91217167611174,0.89788823239905,0.9124467445233502,0.9049438846196672,0.9221160429968398,0.9119266304387288,0.9307644048344228,0.9183815054122098,0.9413235547355796,0.930502662053996,0.9487237261055778,0.9403589439625176,0.9638745651223546,0.9495729258409312,0.9717772357883464,0.9589809931113628,0.9474338312751068,0.89673136345313,0.8561208501561107,0.853784981674049,0.8379691498991368,0.8352938590980012,0.8800111190592366,0.8813571346124283,0.8999269986791969,0.8972424783298839,0.8976212263979696,0.8995871185538812,0.89673136345313,0.895837073207283,0.8962916967887383,0.8936000015430109,0.89673136345313,0.8982802297572292,0.8970723378431079,0.8951230519108648,0.9001988576269829,0.8532630518055692,0.8629423332289236,0.8654203987640587,0.8713111726604386,0.8901029804829307,0.8713111726604386,0.865970132824311,0.8562365232827946,0.8305324813566372,0.933274581330124,0.89673136345313,0.8679063568050741,0.848235131826562,0.8155938395629478,0.8964231405574995,0.9013418732791576,0.8976810965903058,0.8973020480530095,0.8996864930541455,0.8914569635654828,0.8899558205290145,0.8950591830627781,0.8946901088761159,0.8856951607431095,0.8875303474245899,0.8884702266668001,0.8925733680042276,0.8931827699066399,0.8898445194529715,0.8889658491131639,0.8861649586385679,0.8835115391823917,0.8843630891753362,0.8834094389422685,0.8788105760784487,0.8727132141276321,0.8789653878280602,0.8718636657977309,0.3813329480147973,0.8320509106518619,0.8592157965807685,0.8713723784844268,0.8330675031149697,0.8450759170787276,0.8616868620947562,0.8985230715141823,0.9003442416943969,0.8977379261103996,0.8988535266765253,0.8838740521962276,0.9016810853680136,0.904331826721668,0.9145425875058796,0.9330450166726456,0.8927147829137221,0.8793041103375417,0.9040177398889726,0.9271118417150352,0.91412711570868,0.941158694070528,0.8856799886326797,0.8709513898959546,0.8695961941380025
family,agnddf,alt,alt,baseline,baseline,baseline,bulges,bulges,bulges,bulges,bulges,bulges,daily,dcr,dcr,dcr,dcr,dcr,dcr,descddf,filterdist,filterdist,filterdist,filterdist,filterdist,filterdist,filterdist,filterdist,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,goodseeing,goodseeing,goodseeing,goodseeing,goodseeing,greedy,roll,rolling,rolling,rolling,rolling,rolling,rolling,short,short,short,short,spiders,third,third,third,third,third,third,twilight,twilight,twilight,twilight,u60,var,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,wfd,baseline,baseline,cadence,cadence,cadence,cadence,cadence,cadence,ddf,ddf,ddf,ddf,ddf,ddf,ddf,ddf,euclid,euclid,euclid,euclid,euclid,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,footprint,pair,pair,pair,pair,pair,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,rolling,twi,twi,twi,twi,twi,twi,twi,twi,twi,twi,twi,u,u,u,u,baseline,bulge,bulge,footprint,full,full,full,rolling,rolling,six
