section,agnddf,alt_dust,alt_roll_mod2_dust_sdf_0_20,baseline_2snaps,baseline_samefilt,baseline,bulges_bs,bulges_bulge_wfd,bulges_cadence_bs,bulges_cadence_bulge_wfd,bulges_cadence_i_heavy,bulges_i_heavy,daily_ddf,dcr_nham1_ug,dcr_nham1_ugr,dcr_nham1_ugri,dcr_nham2_ug,dcr_nham2_ugr,dcr_nham2_ugri,descddf,filterdist_indx1,filterdist_indx2,filterdist_indx3,filterdist_indx4,filterdist_indx5,filterdist_indx6,filterdist_indx7,filterdist_indx8,footprint_add_mag_clouds,footprint_big_sky_dust,footprint_big_sky_nouiy,footprint_big_sky,footprint_big_wfd,footprint_bluer_footprint,footprint_gp_smooth,footprint_newA,footprint_newB,footprint_no_gp_north,footprint_standard_goals,footprint_stuck_rolling,goodseeing_gi,goodseeing_gri,goodseeing_griz,goodseeing_gz,goodseeing_i,greedy_footprint,roll_mod2_dust_sdf_0_20,rolling_mod2_sdf_0_10,rolling_mod2_sdf_0_20,rolling_mod3_sdf_0_10,rolling_mod3_sdf_0_20,rolling_mod6_sdf_0_10,rolling_mod6_sdf_0_20,short_exp_2ns_1expt,short_exp_2ns_5expt,short_exp_5ns_1expt,short_exp_5ns_5expt,spiders,third_obs_pt120,third_obs_pt15,third_obs_pt30,third_obs_pt45,third_obs_pt60,third_obs_pt90,twilight_neo_mod1,twilight_neo_mod2,twilight_neo_mod3,twilight_neo_mod4,u60,var_expt,wfd_depth_scale0_65_noddf,wfd_depth_scale0_65,wfd_depth_scale0_70_noddf,wfd_depth_scale0_70,wfd_depth_scale0_75_noddf,wfd_depth_scale0_75,wfd_depth_scale0_80_noddf,wfd_depth_scale0_80,wfd_depth_scale0_85_noddf,wfd_depth_scale0_85,wfd_depth_scale0_90_noddf,wfd_depth_scale0_90,wfd_depth_scale0_95_noddf,wfd_depth_scale0_95,wfd_depth_scale0_99_noddf,wfd_depth_scale0_99
flux change,0.00202508925711079,0.44560549092532575,0.4958460409988197,0.0017307689658350345,0.002647201729871497,0.0016369270151807426,0.0009851516370863623,0.0014401237478665985,0.000894867339775103,0.0017155236205296733,0.001092476643957308,0.0016642952651081866,0.0014210463849857694,0.001996422094224553,0.002059596426204712,0.002723199529179019,0.0021347662547225397,0.002289908674353409,0.0039068922661830525,0.0011455145210139146,0.003233334244248646,0.0016909760023326435,0.0031035959107115502,0.002362849690482609,0.004267064730600518,0.002177028699209384,0.002176153488617097,0.002596790963881574,0.0009594965004070037,0.5041177192244225,0.9446496562387764,1.0,0.000679508410230023,0.0024444245651372805,0.0008904830248588007,0.4114780469732112,0.4820047098117928,0.002188222953701088,0.0017485281506865753,2.8570931584842212e-05,0.002094331981194956,0.0016552676074090126,0.0016894946402391195,0.0023631905024556555,0.0038891378237138007,0.0020143968464293683,0.5863675182296425,0.0041894205765030095,0.006982547115186851,0.00517272964691821,0.00491400327832401,0.007425076733575025,0.010118368320849795,0.0037096594519276326,0.0035460992304460256,0.002623277459683761,0.003011963296821357,0.001610940875014882,0.006320825626787637,0.0016369270151807426,0.0017039856133054475,0.0016884601139365515,0.0021574187607156536,0.0071938823231325845,0.0016450028346416655,0.0019584302876787412,0.0047311143448693785,0.0022804405581882056,0.0014289751409847864,0.0023153614595475104,0.001320218457033156,0.001049910219606546,0.002308194101722275,0.0009049598370475289,0.0013773208096910467,0.0017097362055135512,0.002675264705045425,0.0016501012034893807,0.0025581482908860038,0.0032314486469731045,0.0012244713517843482,0.0018528839760854926,0.002701739442462648,0.0017684433452972703,0.0019700247549382997,0.0028082420743802514
color,7.447171497453274e-05,0.5574456005234605,0.8685461801685116,4.08048920235e-05,0.0,7.321230486139193e-05,7.23672581777808e-05,4.980933350078558e-05,4.933842435930456e-05,0.03203447515207506,0.03208255701248985,8.085738914313765e-05,7.676264251742378e-05,5.731873522764044e-05,0.032070734806057793,0.00010974621908149953,7.68816313349059e-05,3.772072218701658e-05,7.844331111808324e-05,3.653767403172342e-05,8.357745049896106e-05,0.00012521302185460184,0.00013602379821611108,5.5246532474750916e-05,7.876439925567504e-05,8.015499041593867e-05,0.0001342357701692031,0.047067016579682014,4.46968254572711e-05,0.4246981634876241,1.0,0.8335203410438219,7.127473623301243e-05,0.0001177223391582464,7.110547114881837e-05,0.3217225346712345,0.4083929814608916,5.7008351126464235e-05,0.00010780324772625934,4.5802822854336704e-05,0.03205603866733237,9.967198692731288e-05,0.12714168949495133,7.830456004195091e-05,0.00013675153136460738,5.84627169799037e-05,0.5369189549783399,9.169015756836172e-05,0.00018742307899717857,0.00010270641298610251,9.654859465209263e-05,0.03205417302998313,0.040807759239954056,0.00011475741160173562,5.7308811311697777e-05,9.916519874640931e-05,0.00012878435386382375,8.461438667706117e-05,2.3345389090131785e-05,7.321230486139193e-05,4.787796661484442e-05,0.14180182667230046,9.275863673931401e-05,2.8435601270261022e-05,0.03209745824350188,0.00017075535134443133,4.233364632767138e-05,0.00013275604897039243,0.00010522173722699633,0.0002512060200645451,9.18788142426854e-05,0.0001003025055927318,6.258501882926353e-05,0.00010986094465962632,0.03202490102958669,7.23470783414493e-05,0.04052669751347169,8.455656610480761e-05,0.0001278156292494252,0.00014353846020833655,9.144054117463274e-05,7.713449762458313e-05,0.032101109677746834,9.080172599335144e-05,5.695580708303753e-05,0.00015054137058661946
footprint,0.031746031746031744,0.6944444444444446,0.7023809523809524,0.015873015873015872,0.027777777777777773,0.03174603174603175,0.0,0.007936507936507936,0.007936507936507936,0.011904761904761904,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.03571428571428571,0.01984126984126984,0.047619047619047616,0.031746031746031744,0.03571428571428571,0.04365079365079365,0.01984126984126984,0.011904761904761904,0.047619047619047616,0.055555555555555546,0.031746031746031744,0.055555555555555546,0.047619047619047616,0.02777777777777778,0.04365079365079365,0.02777777777777778,0.7023809523809524,0.8373015873015872,0.8730158730158729,0.003968253968253968,0.01984126984126984,0.003968253968253968,0.7539682539682541,0.8214285714285714,0.047619047619047616,0.03968253968253968,0.003968253968253968,0.03968253968253969,0.031746031746031744,0.01984126984126984,0.031746031746031744,0.03968253968253968,0.01984126984126984,0.6587301587301588,0.031746031746031744,0.03968253968253968,0.03571428571428571,0.04365079365079365,0.03968253968253968,0.055555555555555546,0.06746031746031747,0.06349206349206349,0.09126984126984128,0.07539682539682539,0.01984126984126984,0.031746031746031744,0.03174603174603175,0.031746031746031744,0.031746031746031744,0.023809523809523808,0.03571428571428571,0.05555555555555556,0.05952380952380953,0.05555555555555556,0.03571428571428571,0.03571428571428572,0.023809523809523808,0.011904761904761904,0.003968253968253968,0.02777777777777778,0.015873015873015872,0.015873015873015872,0.01984126984126984,0.051587301587301584,0.03571428571428571,0.031746031746031744,0.03968253968253968,0.04365079365079365,0.031746031746031744,0.04365079365079365,0.03571428571428571,0.04365079365079365,0.047619047619047616
star count,0.00035226460134588425,0.29913976586466856,0.3088807918929852,0.00019202662769237332,0.00032458285895740685,0.00036112577637625366,0.0,8.715213881581722e-05,9.601331384618669e-05,0.00012552307927597172,0.00014141740629540294,0.00028100678954949825,0.0001325562312650335,0.00038177436677566933,0.00021450324113309662,0.0005231917730710722,0.00036112577637625366,0.00039766869379510064,0.0004637213766437324,0.00021267521809178896,0.00014141740629540294,0.0005372580770491958,0.0006192050869172589,0.00035226460134588425,0.0006421325659257519,0.000530224925060134,0.000317549706968345,0.00047075452863279415,0.00030868853193797565,0.2925374694330031,0.890775419778343,0.9548736074080559,5.243724443827805e-05,0.00024446387213065144,4.357606940790862e-05,0.8700406877403725,0.9479654434243472,0.000553152404068627,0.0004271784592248856,5.243724443827805e-05,0.0004164892611532085,0.00034523144935682246,0.0002215363931221584,0.0003540926243871919,0.00043421161121394734,0.0002374307201415896,0.2854373647842978,0.00034523144935682246,0.00045010593823337854,0.00037994634373436165,0.0004848208326109178,0.00045010593823337854,0.0005608329077872882,0.0007676556452017235,0.0007292847047415692,0.0010168737807123595,0.0008230191299786786,0.00022856954511122016,0.0003681589283653154,0.00036112577637625366,0.00034523144935682246,0.0003629537994175613,0.00025807931054100516,0.00040652986882546994,0.0006103439118868893,0.0006786754833445987,0.0006121719349281971,0.00040652986882546994,0.0003976686937951005,0.0002669404855713747,0.00014845055828446472,5.243724443827805e-05,0.0003157216839270373,0.0001849934757033116,0.00020088780272274279,0.00022856954511122016,0.000549045492418242,0.00041356302081453167,0.00036295379941756134,0.00043421161121394734,0.000500715159630349,0.00032933712233739127,0.0004936820076412872,0.00039766869379510064,0.0004936820076412872,0.0005213637500297647
depth,0.8081133012976282,0.6754324599105379,0.5628100300153324,0.7166146333107202,0.7576272551605533,0.8629234105053442,0.8741873081859248,0.8360022372743754,0.8089110681718563,0.8562244501288273,0.7934450163079149,0.8310631105907793,0.8319553977702517,0.6980281010747316,0.7476560870548166,0.7357263866263154,0.6562275521465962,0.6349802774732406,0.6687350173627179,0.7795674516627069,0.7190978505956741,0.7962803749154813,0.773626263276889,0.7710031001570546,0.904203722784156,0.8206128956723809,0.8139853787244344,0.8464512883758112,0.7344001803521385,0.7181939415286835,0.6769968813063182,0.6494066131132324,0.8503175850762881,0.7526004067677124,0.8002284453853743,0.621304513947458,0.6420365368983297,0.7402139240177157,0.7204548651780192,1.0,0.7849258704533718,0.8074437872842056,0.7590988419011108,0.7680092970495387,0.7814002980215871,0.7108087286299999,0.5126115152423922,0.5737548815136582,0.668931184292578,0.5571151422691557,0.4914844506066554,0.5909575049287045,0.5612440208331452,0.5854176499447854,0.5673109667637208,0.045823612295024685,0.1819498020694512,0.7951172622352644,0.6893779490579033,0.8629234105053442,0.8208086597141379,0.7832642688921904,0.7766547467266495,0.7901206381215923,0.6960820784616683,0.7168268788462935,0.7511912659621918,0.8538215868721252,0.7931149803577651,0.7544779498911334,0.7687979874977662,0.7725010236904613,0.6563880691960964,0.7175658018595428,0.6989640837723354,0.7863960313117768,0.7025304277874164,0.7204097565016284,0.8162442848314102,0.7581661124199969,0.7804788439524482,0.7399664131569261,0.8543492050135162,0.8062603611572813,0.8066506018354034,0.8271798354416421
