uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
1057,1302,618,676,0,35,1312,1038,991,639,254,1351,888,1020,690,1348,587,908,1352,940,1338
1022,1285,688,720,0,19,1283,1015,968,746,246,1338,999,1041,680,1343,711,927,1337,955,1322
991,1247,776,770,0,36,1222,1026,952,767,288,1324,1044,1010,732,1328,822,970,1320,997,1286
7,55,18,67,0,13,636,1177,853,851,301,589,890,1007,723,626,968,1009,694,993,616
567,813,1080,1076,0,27,611,790,1017,951,285,357,930,659,866,390,127,873,256,760,339
479,834,861,620,0,29,673,848,1125,778,221,296,1068,1170,619,295,801,841,291,808,18
413,734,715,458,0,45,549,629,861,765,204,302,664,1113,576,299,704,720,295,636,14
602,1003,881,714,0,36,656,973,1156,784,257,316,1178,1218,700,324,936,883,321,877,80
457,875,696,499,0,53,415,718,916,673,204,296,787,1118,577,292,817,777,288,724,25
780,1063,903,685,0,31,704,1155,1214,875,304,426,1203,1204,720,438,1029,867,370,959,248
541,921,714,541,0,58,322,876,891,795,256,158,800,1139,616,190,920,880,101,806,74
872,1174,949,794,0,7,873,1247,1200,870,304,633,1223,1213,735,614,1041,1009,608,1019,584
510,988,755,668,0,46,428,978,973,682,197,155,866,1136,646,146,951,963,197,924,236
979,1118,1044,883,0,20,1097,1211,1156,854,345,1078,1226,1213,767,1100,984,1014,1063,1107,956
686,925,832,686,0,25,750,925,960,718,252,553,982,1092,681,550,899,967,573,954,515
1112,1138,1107,893,0,19,1247,1187,1102,853,310,1294,1235,1117,841,1276,1058,1124,1259,1124,1188
793,979,922,831,0,27,968,1027,898,726,243,992,1036,1012,698,1015,974,1044,1014,1045,858
1159,1136,1149,968,0,30,1300,1235,1137,750,336,1336,1308,1090,758,1332,1123,1182,1336,1208,1307
899,979,1024,855,0,26,1169,1142,1064,719,247,1278,1182,1013,665,1262,1085,1087,1262,1069,1134
1214,1196,1248,1074,0,30,1331,1321,1208,795,331,1339,1334,1120,802,1339,1229,1151,1339,1211,1334
1029,1041,1117,973,0,27,1237,1203,1122,724,296,1332,1269,1060,719,1329,1200,1146,1327,1126,1267
