db,uu_field,uu_star,ug_field,ug_star,ur_field,ur_star,ui_field,ui_star,uz_field,uz_star,uy_field,uy_star,gg_field,gg_star,gr_field,gr_star,gi_field,gi_star,gz_field,gz_star,gy_field,gy_star,rr_field,rr_star,ri_field,ri_star,rz_field,rz_star,ry_field,ry_star,ii_field,ii_star,iz_field,iz_star,iy_field,iy_star,zz_field,zz_star,zy_field,zy_star,yy_field,yy_star
rolling_mod2_sdf_0.10_v1.4_10yrs.db,870,57182688,953,49819572,947,43116444,824,41974524,845,44942400,129,2034036,805,60054228,1013,66784572,933,61941996,932,62651880,963,68577156,606,45086580,1031,70323480,1088,70815492,1103,68340276,692,50589648,1055,68337468,984,60957972,685,49162284,1047,66465000,764,50573628
rolling_mod2_sdf_0.20_v1.4_10yrs.db,919,58877316,1033,55033884,997,51317820,783,34757316,801,41335812,79,2648304,813,58923792,954,63967284,903,60566832,882,61229556,948,67991256,588,47238732,1007,66353076,1017,65208060,1098,67103568,643,46659924,990,65901924,997,61102332,658,47701944,957,61235352,751,50204196
rolling_mod3_sdf_0.10_v1.4_10yrs.db,856,57212856,989,55750788,963,45470016,847,41706504,850,48269304,248,17742096,780,53882676,1136,71450748,1143,70543296,1051,67285404,1076,70582032,674,51051312,1248,77888844,1222,75409236,1241,76052268,717,46986696,1220,75928608,1251,76497264,701,48702528,1227,76129344,848,55385280
rolling_mod3_sdf_0.20_v1.4_10yrs.db,900,57921948,1036,53249436,987,47828664,784,42703200,834,50103288,184,8482644,764,55456704,1080,69482124,1079,69192072,1012,65588688,1021,71011332,636,46278756,1206,76219272,1178,72184788,1207,75369852,698,47637756,1137,71653212,1173,70210044,709,50364360,1180,72560232,836,54383400
rolling_mod6_sdf_0.10_v1.4_10yrs.db,711,48500424,1008,58268844,1044,51936660,922,43142256,953,54411264,433,17885124,631,43879320,1225,70995636,1212,71815644,1113,65871756,1113,73989864,683,45657828,1324,80344152,1288,74740500,1273,76011264,721,44358696,1311,75530988,1298,74778480,702,44103780,1293,76185396,850,58270212
rolling_mod6_sdf_0.20_v1.4_10yrs.db,791,49821696,1009,53338392,1041,53938512,900,46938528,844,46952856,342,12198996,646,47208816,1189,68153724,1165,64605312,1079,65121732,1052,72442296,658,43403832,1310,75945528,1283,76752180,1244,73873944,685,46883880,1291,75364092,1239,71625996,690,44609508,1248,70724016,870,55864260
sat_dodge_v1.4_10yrs.db,628,51787800,7,739080,453,21810024,785,49275648,941,122015520,110,1564344,438,34776792,614,45810072,820,61010388,693,63545832,731,94302216,743,50243364,823,62175528,848,57390120,599,56568024,528,40862664,54,4450608,51,829368,956,61595604,48,9081468,645,47841516
short_exp_2ns_1expt_v1.4_10yrs.db,1239,83839176,726,35249580,1150,67694112,1098,67346208,742,59431968,78,13306140,1265,84029940,1307,86747472,1083,82012248,1016,78862392,782,65809764,1330,86205528,1318,87141780,1076,81651204,940,69138612,1333,86897988,1247,85934988,945,67840344,1325,86056344,1116,77947020,1304,86063184
short_exp_2ns_5expt_v1.4_10yrs.db,1199,71732736,732,39589128,1167,58829724,1056,52854696,715,39382596,103,2473524,1238,72521388,1291,76238856,1031,67703004,965,66993156,760,53746416,1325,75929724,1289,75347856,1024,65203560,921,52606296,1329,76209588,1251,74813076,922,57249252,1321,75269304,1076,65783124,1295,74703600
short_exp_5ns_1expt_v1.4_10yrs.db,1333,81676620,981,64267704,1318,83910744,1196,71529876,651,35338212,104,2501208,1340,82791936,1345,85087296,1205,78583500,1152,79554960,864,64987344,1338,81310104,1344,84734820,1250,79962624,1135,77131332,1338,81226548,1341,83920824,1116,72349848,1338,81226548,1298,81958140,1339,81612684
short_exp_5ns_5expt_v1.4_10yrs.db,1325,85219056,972,56491560,1281,81903348,1129,73389096,737,51523452,79,6176880,1339,85643532,1343,87234768,1139,79380252,1080,75671604,810,65752236,1337,85220028,1343,88161840,1218,83073744,1110,74033604,1338,85632876,1339,88116300,1103,76387716,1336,84821112,1299,84328524,1337,85191984
spiders_v1.4_10yrs.db,798,56779056,707,40445640,703,36421668,691,30300336,756,42883812,80,2943828,718,48948300,784,55822716,745,52984548,801,52890444,634,41238468,797,54625752,751,54796860,769,53272944,673,44060472,818,56165868,784,56594088,666,44669988,780,53989776,715,52700796,772,52728156
twi_filters_1_v1.4_10yrs.db,430,37010304,2,16632,1276,81973260,215,10858248,658,44524260,1255,75688380,1235,80702928,1215,80021628,766,61723296,594,39784428,1335,87013944,154,20043144,699,57660264,300,24177924,1326,84122928,1222,78117192,1335,85897116,936,62243172,149,18725580,85,5439924,1279,79858296
twi_filters_2_v1.4_10yrs.db,606,44795088,414,23698440,255,10877724,346,15457968,732,35042580,921,43703280,519,41570532,631,48486456,523,44585316,649,41114700,841,47402316,767,55997244,1334,79245756,1195,72639576,1222,76931748,658,49368636,379,31676724,654,46529280,1063,66290976,121,8243856,831,53492760
twi_filters_3_v1.4_10yrs.db,577,42189768,8,308808,876,55584504,628,39569364,783,49787064,351,14937264,969,60366492,1091,65578176,898,63054936,879,52186932,708,38995236,467,38395476,1272,75166488,848,48644424,898,51405624,994,59883660,123,6858108,316,19406808,758,48446892,469,33847344,828,53421336
twi_filters_4_v1.4_10yrs.db,683,51830568,261,16007400,342,18515952,567,30586716,821,46671336,78,4281732,682,49456332,876,57221136,855,62066988,961,65026404,711,49492908,773,53613324,778,58062060,916,61954488,688,44448948,818,55994040,812,55836504,637,47462796,812,57881304,652,51624216,796,53550936
twi_filters_5_v1.4_10yrs.db,748,49687632,213,7753536,421,21653676,588,28371852,870,49081464,81,4601520,790,53329788,710,52033860,845,60052248,937,62558784,786,55438632,756,52238160,861,59576472,900,58286772,788,54299412,794,52242228,804,57287520,668,46126764,773,52002144,671,46932552,784,51894648
twilight_neo_mod1_v1.4_10yrs.db,965,61017192,1083,67750704,815,36230328,1012,63501156,864,49108428,78,2951352,1286,75727836,891,50478444,1076,66564648,1110,71148708,966,63643572,1338,78319872,908,56420640,1260,78403176,1216,76971024,1337,77997348,782,49236156,865,55853136,1337,77997348,801,50066856,1335,76835196
twilight_neo_mod2_v1.4_10yrs.db,962,60446736,1057,58476456,780,33955128,815,39332700,841,56130372,93,2145672,1179,72900432,925,61156368,950,62450496,932,62333856,813,59032116,1330,76209336,788,56290932,1000,67601700,1054,69792156,1327,76010220,627,47648376,750,49757904,1321,76601520,733,43394184,1313,75662532
twilight_neo_mod3_v1.4_10yrs.db,947,67145220,945,62315136,803,42131592,797,51888888,835,58574988,49,4202640,1093,76580748,890,68229540,967,74089260,899,66917160,794,63440568,1298,82354824,824,68248620,981,73824768,960,74038068,1302,82186020,737,58526208,820,60167952,1276,79891200,688,52504020,1237,81137304
twilight_neo_mod4_v1.4_10yrs.db,862,59693364,941,55046592,788,42222024,752,39686436,724,47289564,108,2578608,1002,67947948,825,60901992,810,60620472,886,64629828,746,50317200,1259,75791736,748,57373632,966,67229280,930,57781188,1259,76283136,734,54179712,749,51946848,1228,74568348,728,54881640,1167,72462816
var_expt_v1.4_10yrs.db,679,44109756,837,46150164,1012,55140264,958,51634476,905,59375988,239,16999524,385,35530812,371,23050440,687,54051624,880,68109768,857,63307836,169,18273528,520,37977588,829,65673360,846,64120464,235,23953752,176,14578560,622,48202380,160,17628660,231,9912096,275,22505076
weather_0.3_v1.4_10yrs.db,683,51830568,261,16007400,342,18515952,567,30586716,821,46671336,78,4281732,682,49456332,876,57221136,855,62066988,961,65026404,711,49492908,773,53613324,778,58062060,916,61954488,688,44448948,818,55994040,812,55836504,637,47462796,812,57881304,652,51624216,796,53550936
weather_0.7_v1.4_10yrs.db,1221,73292436,507,28242504,643,32229432,779,39696372,993,64540044,71,4874832,1330,76525740,1284,74432556,1123,70805880,1111,71562456,973,65186892,1336,76932540,1201,73028664,1112,70204104,966,61282116,1336,76932540,1164,72309636,991,61458660,1335,76425732,1116,69275952,1333,76414032
weather_1.2_ndt_v1.4_10yrs.db,1344,81493524,893,49346784,1060,56136348,1119,64448388,1168,74166912,97,10293228,1343,81277272,1339,78841152,1307,79397928,1250,80261352,1096,77337504,1342,80827596,1337,78705972,1269,78726132,1147,75522852,1341,80131464,1340,80855856,1254,78002712,1343,81289728,1335,78743664,1342,80581140
weather_1.2_v1.4_10yrs.db,1341,89580672,800,57292056,953,64978308,1077,74522304,1124,81051264,98,6678180,1341,88777332,1338,88528788,1273,87318936,1224,86787072,1066,82261296,1340,88656408,1316,88317828,1244,87420636,1114,81292464,1340,88656408,1320,87932700,1189,82289484,1338,88305156,1306,86776848,1341,89359488
wfd_depth_scale0.65_noddf_v1.4_10yrs.db,418,23339628,456,35698968,403,25113852,555,23395536,653,35774568,26,488484,115,10903500,308,17366508,442,24512760,551,36112248,585,33684156,30,4517280,549,30760020,574,35551728,478,28200096,39,3845844,447,27066636,462,25325568,36,4236984,610,30197124,98,5810868
wfd_depth_scale0.65_v1.4_10yrs.db,261,15060996,443,25432020,362,18343548,450,19322064,545,27727020,54,1331388,7,618876,85,5085324,174,12472236,307,19355472,555,39727440,0,0,90,8376516,228,13910832,422,30377556,0,0,138,5544936,227,11033640,0,0,263,15199956,4,608688
wfd_depth_scale0.70_noddf_v1.4_10yrs.db,560,31827960,450,31215636,435,26766900,564,29523456,678,36426204,30,793368,268,18525564,508,29556828,576,33108588,635,38307060,660,43161948,127,9518364,669,36389952,657,37801584,584,36563472,151,11532456,577,35009640,519,33129612,172,14316300,700,41541624,281,16959816
wfd_depth_scale0.70_v1.4_10yrs.db,339,22411080,516,24242364,454,16782660,471,16526304,536,27084276,18,2907900,25,2159208,162,11008656,291,20170008,418,28691172,520,37990044,0,0,206,17490924,321,19498824,394,28646028,0,0,189,9765576,307,18003924,0,0,354,17297784,17,1869804
wfd_depth_scale0.75_noddf_v1.4_10yrs.db,731,46233180,580,39631896,620,35147448,677,35505180,730,37406268,58,1071612,623,46197972,716,46512036,760,52529040,779,50635944,716,45825372,457,35011440,853,53306964,786,47537640,704,42722208,520,36245772,766,49235004,625,43158708,502,34696404,822,48086676,612,40162824
wfd_depth_scale0.75_v1.4_10yrs.db,459,28764576,568,24322068,491,19189152,549,21524904,611,33180300,49,2341008,103,12798720,277,21119364,380,29298384,523,34125732,656,46463400,7,691308,307,21485412,432,28129356,511,30682188,12,2499336,333,20478132,346,22785948,11,1174608,414,23048460,61,5590836
wfd_depth_scale0.80_noddf_v1.4_10yrs.db,902,58706712,692,42252048,685,35519076,745,35432280,720,39005820,21,6919092,947,61218180,902,56879784,861,56819052,795,53781804,774,54346716,926,61304796,998,65020788,833,55161180,713,48052152,988,62986428,892,59735052,713,50329260,976,63682848,909,60514956,927,58421808
wfd_depth_scale0.80_v1.4_10yrs.db,599,35289576,645,30435480,605,25388856,659,37138176,715,48113748,40,3135420,273,23340240,454,32381856,490,37140912,595,44043588,624,43192836,72,6550776,429,32471496,497,39030624,546,31407300,113,9859140,442,34228728,445,31855680,101,10064808,555,37355400,198,17951148
wfd_depth_scale0.85_noddf_v1.4_10yrs.db,1065,62400096,789,50428404,759,46183860,832,47431908,786,40215348,60,2729988,1181,69669036,1077,65509380,984,62918388,941,58159296,758,46346184,1243,72010656,1078,65651436,981,59723928,816,44409168,1260,72204984,1039,66267756,855,57379824,1244,70700616,1026,63702900,1192,70365492
wfd_depth_scale0.85_v1.4_10yrs.db,715,52019676,698,38451852,748,34925364,732,38952432,746,48154284,45,7427520,525,47456532,664,57943764,675,58610016,689,58484988,667,48806244,344,34214256,593,50302908,634,51360192,573,32770656,404,35597304,642,50965596,594,48900312,385,36350784,651,57004128,442,38372688
wfd_depth_scale0.90_noddf_v1.4_10yrs.db,1139,71363592,761,47668248,896,50440500,1004,56572704,904,54822960,36,1818216,1267,75386736,1189,71639856,1103,69810084,1048,69426144,855,58058640,1323,77312232,1199,72986112,1086,69099120,912,57762648,1324,77207832,1156,70229880,943,62773920,1319,77782104,1068,68758344,1298,77543928
wfd_depth_scale0.90_v1.4_10yrs.db,823,57129696,807,45938556,807,45109080,805,43832016,728,36802944,74,1206360,750,56490192,768,57254868,744,56583864,746,52420644,694,47465964,744,51217524,727,55679220,777,53538120,714,46279728,785,53534232,754,53770500,679,48037068,776,48822948,750,54919620,773,55922364
wfd_depth_scale0.95_noddf_v1.4_10yrs.db,1170,79576488,810,56979756,910,62130780,999,74771676,930,63173304,26,1183392,1316,87128928,1275,84703680,1180,82468728,1072,73154376,786,59012532,1333,87384384,1268,85160016,1180,79282296,921,61705584,1334,87486516,1267,85368528,1053,77283504,1333,87081192,1121,79607844,1328,87307992
wfd_depth_scale0.95_v1.4_10yrs.db,868,54658836,803,41328144,833,41541588,882,48144492,908,49925412,90,730008,965,61576488,919,60419196,893,60415920,892,60601716,734,56425356,1179,66913812,951,61736580,873,60073560,790,55106928,1179,68124420,948,61146828,801,49538376,1158,67762944,847,54094248,1059,62985384
wfd_depth_scale0.99_noddf_v1.4_10yrs.db,1216,73269072,843,53618544,1007,59595804,1057,61776720,994,63406368,40,2863692,1326,76913568,1297,75556260,1244,74126916,1162,66979044,921,55231236,1335,76952628,1301,75897900,1239,70581564,1065,60034104,1336,77598432,1303,76478544,1091,66153060,1337,77920956,1153,69433056,1335,77778360
wfd_depth_scale0.99_v1.4_10yrs.db,919,58922028,756,38330172,907,46907640,895,50490648,882,54900072,123,5177808,1126,71470440,1067,67990896,1005,68199624,998,64039788,772,49164984,1300,76558284,1116,73152180,1046,68231844,825,48728592,1312,77256288,1095,70757748,840,56832660,1283,75918096,942,63112680,1246,73252332
