MAG,MODE,d,PM,PM_out
20.511607320292217,['H'],114695.52246713452,-4.588808509281586e-05,0.0016575720615488888 
20.73966166082601,['D'],117145.62726195791,8.985666845195186e-05,-0.00023924035860814428 
19.99034249443334,['H'],76283.56814865409,6.899464750364727e-05,0.0008924404981938589 
20.994390116634968,['D'],121126.87792722142,4.345161028503673e-05,-0.00010271299201677721 
23.913523129366084,['D'],102637.15985688423,-0.00010255852562708698,0.00020825054576909427 
24.191636856484664,['D'],64849.79705245392,0.0002434776113707676,-0.0005684309150951402 
20.718503102912127,['D'],46105.27540542443,0.00011415522081704376,-0.00022034893544019095 
22.929385733865523,['D'],99227.8078010856,-5.3041158636573864e-05,0.0014076619171075138 
18.280862668337825,['H'],73861.18715067381,7.125742352340229e-05,-0.0020524984477356574 
23.283329091774092,['H'],138128.90479189533,3.810323337223518e-05,-0.0007343370734764432 
21.09748953293246,['H'],54896.9108496169,-9.587348018824946e-05,-0.0014514872622016037 
22.197127277923386,['H'],46561.33840229925,0.00011303708345456286,0.0006616919216837874 
21.666761102162752,['H'],139589.32926028545,3.77045861788109e-05,-0.0007613250585287883 
18.344266023038443,['H'],32868.84584900571,-0.0001601260329892616,-0.002166400166942259 
23.252190133327854,['D'],115131.53014879666,0.00013714291527094373,-0.00010848738835458896 
22.09015305266539,['H'],52419.52853266504,0.00010040452560455831,-0.001671850594472981 
20.334440820344433,['D'],89382.12264597444,0.0001766513617801361,-0.0014089811202819028 
20.42362997112387,['D'],110141.5018894126,4.7785419705110866e-05,-0.0008492718828081269 
19.432582084193854,['D'],59003.65525199898,-0.0002676016192009663,0.0027878709160043544 
18.37923521574612,['D'],42960.76865321612,0.00012251079437664654,-0.001916372612040832 
20.882694918032072,['H'],82257.68513767408,6.39837832286179e-05,-0.0010634634111263835 
20.144215673461495,['D'],89050.60711898193,-5.9102998452381724e-05,0.0017290736737155595 
20.524315189647993,['H'],106085.68571908718,-4.961232855367105e-05,0.001736818094149922 
19.517920117224048,['H'],66738.7047093323,7.886215229467701e-05,-0.0019727583916481204 
21.010170421102423,['D'],94864.30607229812,5.548090860144676e-05,-0.0021196464954018487 
15.345006802594103,['D'],8981.809931792392,-0.0011719593121442367,0.01808964842929584 
22.343813850688583,['H'],69676.73153101638,7.553680804321259e-05,0.0029603425095824846 
21.047806691302842,['D'],104969.06728876597,0.00010028016882836716,-0.0014762565909424267 
