,db,g,i,r,u,y,z
0,agnddf_v1.5_10yrs.db,24.520841365632105,23.412916874073535,24.024872969158565,23.56596863967163,21.99247459213662,22.769312934363057
1,alt_dust_v1.5_10yrs.db,24.477674651714896,23.357232260396692,23.97168741939392,23.522699307659742,21.93927294068788,22.713091533045546
2,alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,24.459074974543476,23.29164421314998,23.90549861489381,23.51506306729049,21.89549265856168,22.66468363943191
3,baseline_2snaps_v1.5_10yrs.db,24.448970191055388,23.386586093445946,23.984788115777732,23.377363819811997,21.983991676869636,22.760202848602027
4,baseline_v1.5_10yrs.db,24.51581124440304,23.39955595564242,24.016739231602635,23.574091528921787,21.995174456789492,22.768451582345303
5,bulges_bs_v1.5_10yrs.db,24.519509842350363,23.410157236430166,24.017869967210196,23.573930173385268,21.998544152483568,22.774075336992947
6,bulges_bulge_wfd_v1.5_10yrs.db,24.51761734411767,23.41442650395255,24.017863757027726,23.574173763147012,21.996369923573866,22.778368711412703
7,bulges_cadence_bs_v1.5_10yrs.db,24.51487451617119,23.412798489321325,24.0179841378172,23.572009095199324,21.99449673334936,22.777059149232326
8,bulges_cadence_bulge_wfd_v1.5_10yrs.db,24.511278187613225,23.418793313562077,24.01674438739835,23.57479153694228,21.995320328633863,22.775519081981514
9,bulges_cadence_i_heavy_v1.5_10yrs.db,24.521410052007035,23.407850320618927,24.019394883508344,23.57317294877573,21.99830298841493,22.775464552755498
10,bulges_i_heavy_v1.5_10yrs.db,24.510672972498252,23.413716515420823,24.017840343992912,23.56935344233487,21.992991624890507,22.7747340858414
11,daily_ddf_v1.5_10yrs.db,24.519420479841738,23.39339115429138,24.016747853957522,23.57465233035477,21.982383278143242,22.76613997777531
12,dcr_nham1_ug_v1.5_10yrs.db,24.296288170271158,23.410952595955646,24.011851590512407,23.436233849179718,21.990246672668835,22.767672357013954
13,dcr_nham1_ugr_v1.5_10yrs.db,24.407174824256185,23.39396946470116,23.929805163646655,23.43760591165808,21.995688747654064,22.775196036983026
14,dcr_nham1_ugri_v1.5_10yrs.db,24.415831096843267,23.34273884544884,23.958954523540704,23.44134000146053,21.992550428317298,22.768462456623915
15,dcr_nham2_ug_v1.5_10yrs.db,24.20779083808388,23.414168489086293,23.99606005800706,23.348254898593716,21.991160555711108,22.766493991303044
16,dcr_nham2_ugr_v1.5_10yrs.db,24.343172355041354,23.38757530723463,23.885158982781356,23.354005972969205,21.988257214833776,22.774713031007373
