uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy,db
65471904,4054032,5896116,25464960,0,80532,52497828,5979708,17855064,24851232,4493196,47652804,41037912,43867944,39394908,44457048,49706748,48252132,42764508,47941344,42755328,dcr_nham2_ugr_v1.5_10yrs.db
63281556,797220,14747688,16431084,0,1938024,57576096,14630184,30155688,37051128,13597560,47112084,20051604,37450764,26882928,48438432,24829560,47065896,42735096,55963404,44005176,dcr_nham2_ugri_v1.5_10yrs.db
48464388,51010488,43461252,37351692,0,312336,45753372,45035244,44064144,31978764,16840836,37199232,54428976,38205648,26861904,36345312,29695932,37017720,35350416,46629324,39875076,descddf_v1.5_10yrs.db
90741960,91733040,57588444,9869400,0,3411576,84609180,17959464,32076468,46719252,9555048,0,187776,67122324,23068728,0,44935308,32257764,7865856,26130564,8672652,filterdist_indx1_v1.5_10yrs.db
72243288,55467864,65903076,53342496,0,240192,72547236,65449188,65088504,43094916,8792640,74385612,69375492,56159028,21570336,73752264,60589764,53144172,72875124,59628888,70807104,filterdist_indx2_v1.5_10yrs.db
58409712,82490076,0,1019484,0,79236,89511408,84556728,67771620,51567588,14389668,33144876,439416,38397996,10151640,15648912,57582288,44368560,30058956,29869128,23432904,filterdist_indx3_v1.5_10yrs.db
91237212,81672228,88629228,13835088,0,123804,46502352,11088,1400256,25151940,1693692,25749540,343800,66814452,24675876,19241748,73434708,41821272,37226304,21540852,29906820,filterdist_indx4_v1.5_10yrs.db
17154252,26842752,38554848,31466556,0,3818160,5201136,23595660,32718780,21991896,13628376,111744,33043644,4725036,33791040,0,30463560,45844380,78973020,80339184,78984792,filterdist_indx5_v1.5_10yrs.db
45459720,74277180,7863120,23863320,0,1047744,42712920,15614640,29568672,14540148,1079964,33959124,77608836,62910864,8093880,79427556,76713048,29768472,39026628,11710152,30059280,filterdist_indx6_v1.5_10yrs.db
81195228,81629892,77094972,51316056,0,115740,79436016,72590688,49767012,37901268,14914116,50150592,20381760,53262756,22204836,45817056,65788740,51383484,55495944,42147756,49045356,filterdist_indx7_v1.5_10yrs.db
52014276,45709524,48630672,37591668,0,883836,37911924,41312124,48516804,32113872,5897124,28244556,63468576,29951568,13869648,72000432,63907848,59639472,77338008,68904108,77654304,filterdist_indx8_v1.5_10yrs.db
49338396,46773252,44711892,42196356,0,385596,48364560,46199304,49360032,41278356,18717048,41462676,51722496,46897344,34350552,36980568,37467324,40672548,42669864,50748912,41231628,footprint_add_mag_cloudsv1.5_10yrs.db
17674344,20417436,25405200,25385472,0,2213244,18318600,27124236,28581372,26249040,12862620,24053256,28547748,29646144,12177000,23795064,23681628,25470000,23746464,25716060,23324364,footprint_big_sky_dustv1.5_10yrs.db
28436364,23612976,27312084,24075360,0,1064736,28722132,27164484,23352192,18955800,7925004,30196476,27143532,22058604,12443472,30321792,28725120,27476748,30252060,28715292,29199744,footprint_big_sky_nouiyv1.5_10yrs.db
25331328,23395788,24836076,24083640,0,80640,27851220,25904232,25626636,19148868,7362000,29102112,27360468,23826924,11930076,29065932,23731272,24010236,28584144,27506628,27273348,footprint_big_skyv1.5_10yrs.db
4547880,35469756,24322608,19174212,0,1142172,144648,14816196,24228540,63588420,17342100,0,26245944,49149180,35380620,0,11359620,34380792,0,20293884,664956,footprint_big_wfdv1.5_10yrs.db
59886396,81056160,0,550836,0,9468,86934924,82783872,64228356,47863548,12449016,48180492,5033880,33200316,9980532,29610468,40838544,24785208,0,3485412,0,footprint_bluer_footprintv1.5_10yrs.db
27869220,30929436,38936124,32908176,0,2563632,20891448,29917008,34660188,33835248,4303116,4283856,30806640,39307716,20100636,6520428,26866404,28910916,7244388,26597520,12789324,footprint_gp_smoothv1.5_10yrs.db
626364,3476052,3969324,3703824,0,243468,7236,1836072,4391964,9691488,3425436,0,4064616,11640456,6813360,0,2728332,5192820,0,1392192,0,footprint_newAv1.5_10yrs.db
2712672,5916420,6984648,5825772,0,194940,910584,5238396,7386444,9999864,4394916,330480,7842132,13956012,8954208,185940,4776300,7940088,54828,5218956,725184,footprint_newBv1.5_10yrs.db
52667532,49252284,44473968,39240684,0,49464,52727976,46156824,47615868,32723316,9915768,47387736,49515228,41267196,29588940,51441840,43961184,44041824,47960064,41679828,48283956,footprint_no_gp_northv1.5_10yrs.db
50650164,49101408,45324432,45856440,0,143280,50261868,50479704,46714500,37886220,18858420,48654720,50016096,43246584,31565556,48190752,45094392,48852612,48227508,49748544,49962960,footprint_standard_goalsv1.5_10yrs.db
28299312,28204020,27409536,29603700,0,931464,29324052,27380268,28211904,27612936,13970304,28346580,27351756,29210616,25507584,29464200,27373032,28360224,28688616,28250748,28613664,footprint_stuck_rollingv1.5_10yrs.db
53534196,51513768,34798500,39474180,0,142020,54225684,40433616,31342068,47878272,28289196,48670128,51288912,40838112,35543736,52022340,42352956,27094392,44223192,32954976,44797032,goodseeing_gi_v1.5_10yrs.db
52360524,45179532,45655524,32136264,0,755460,51346728,44032572,34089552,55270008,24832116,48786660,48487500,44152164,38797632,46304244,38209032,33251148,39710196,36974196,47612880,goodseeing_gri_v1.5_10yrs.db
55570608,49377744,41028912,37585116,0,106056,53072136,44928504,35583192,43401708,27179208,48485988,52776540,44498952,41966460,46872324,31252860,35764848,46434960,51914016,43136244,goodseeing_griz_v1.5_10yrs.db
56898756,38244276,50835492,48077064,0,3899520,49193496,47455740,38731068,59169420,38114208,47719260,47064384,45129492,44350668,46622304,34864128,34246404,45852732,44850564,48803544,goodseeing_gz_v1.5_10yrs.db
46776204,58527864,35159940,41897304,0,71460,51183180,36913392,35293068,41079600,8615484,46612404,51933492,41168916,25752600,51402636,49512672,33128316,46953108,32160348,49232304,goodseeing_i_v1.5_10yrs.db
57014172,54940464,39898764,34530372,0,9072,55540764,39638808,37016676,29689956,16210332,53158572,29831760,44074476,27656352,55044936,29425140,49257108,41950620,68409648,49206888,greedy_footprint_v1.5_10yrs.db
12072096,24288912,13402368,16816248,0,288576,10220040,13382820,21535272,25135416,14470704,2642724,22423068,21380004,20772684,2450736,11978928,20594556,3474144,21510360,8722692,roll_mod2_dust_sdf_0.20_v1.5_10yrs.db
56003508,63612180,43166304,43258860,0,395424,58906944,48695796,42505092,41582592,19438308,39668976,55492884,55677960,28101096,40874724,50983992,45286668,42772464,42839748,46888884,rolling_mod2_sdf_0.10_v1.5_10yrs.db
57356064,57759408,41982084,40957560,0,582012,61530012,52103232,45815616,50212728,15640992,40892940,50681628,54796824,28284300,39133512,46461924,40771260,43617600,45536292,46008540,rolling_mod2_sdf_0.20_v1.5_10yrs.db
52380216,63097524,34818876,43348500,0,2123568,62385084,50303052,50920272,38552652,24543396,41786712,62189640,62038872,51061068,43025544,56072556,47087892,46198368,49825188,51652548,rolling_mod3_sdf_0.10_v1.5_10yrs.db
53024616,63736092,40584708,40653324,0,715392,60837552,51229548,53695836,42921324,19039752,40423680,62623980,58608828,44816328,46327212,53310384,44826156,45671220,49314924,55433160,rolling_mod3_sdf_0.20_v1.5_10yrs.db
