,CI,TPM,LS,star count
baseline,0.7464128558633915,0.7324714531246111,0.9996678075866109,0.3125084188690432
bluer_indx0,0.7663992498180413,0.8078944301563068,0.999579653054248,0.3125084188690432
bluer_indx1,0.7720632566868715,1.0,0.9996232471616698,0.3125084188690432
ddf_frac_ddf_per0.6,0.8057023056521827,0.9399247381666955,0.9994544590828682,0.3310434009536897
ddf_frac_ddf_per1.6,0.7597086834327813,0.7320985678669871,0.9995524926323813,0.3022710741129882
long_gaps_nightsoff0_delayed1827,0.7496814939924159,0.7136276524013353,0.9996889221925924,0.30105875697082407
long_gaps_nightsoff0_delayed-1,0.5664779197788069,0.6943915117546449,0.9995691879103701,0.30105875697082407
long_gaps_nightsoff1_delayed1827,0.7446693914523944,0.6617312363449147,0.9996583688193906,0.3022710741129882
long_gaps_nightsoff1_delayed-1,0.6145632472490014,0.6948445472287808,0.9994230941255927,0.30105875697082407
long_gaps_nightsoff2_delayed1827,0.7455411236578929,0.7029576029073569,0.9996548302754076,0.3125084188690432
long_gaps_nightsoff2_delayed-1,0.6486675946167187,0.674888394395508,0.9994247462913753,0.3125084188690432
long_gaps_nightsoff3_delayed1827,0.7455411236578929,0.7277215763955267,0.9996856158519699,0.30105875697082407
long_gaps_nightsoff3_delayed-1,0.7300268009352759,0.8413961514935391,0.9996872775835183,0.3125084188690432
long_gaps_nightsoff4_delayed1827,0.7455411236578929,0.684962545997331,0.9996590405699425,0.3022710741129882
long_gaps_nightsoff4_delayed-1,0.6918591810628596,0.7634933154132149,0.9993962282404367,0.32350009429133364
long_gaps_nightsoff5_delayed1827,0.7455411236578929,0.7000735767319123,0.9996637599535526,0.30105875697082407
long_gaps_nightsoff5_delayed-1,0.6914408741680649,0.7628906703744803,0.9993817767329423,0.32274576362509816
long_gaps_nightsoff6_delayed1827,0.7446111561623104,0.7121622962952298,0.9996590405699425,0.3022710741129882
long_gaps_nightsoff6_delayed-1,0.7446134513319618,0.7400509130383904,0.9995060711474432,0.32274576362509816
long_gaps_nightsoff7_delayed1827,0.7455411236578929,0.7076010889885848,0.9996583688193906,0.3125084188690432
long_gaps_nightsoff7_delayed-1,0.6969655821222384,0.7241704575153302,0.9994948399615698,0.32274576362509816
long_gaps_np_nightsoff0_delayed1827,0.7446693914523944,0.6914579962094395,0.9996856158519699,0.2949163501171913
long_gaps_np_nightsoff0_delayed-1,0.5620413441495069,0.8200403359819153,0.9996314773625931,0.2998464398286599
long_gaps_np_nightsoff1_delayed1827,0.7455411236578929,0.6321880431392306,0.9996597123204944,0.30105875697082407
long_gaps_np_nightsoff1_delayed-1,0.6905472040682815,0.7894687894169277,0.9993498448183021,0.3022710741129882
long_gaps_np_nightsoff2_delayed1827,0.7446111561623104,0.7546006339714656,0.9996872690222812,0.30105875697082407
long_gaps_np_nightsoff2_delayed-1,0.6715667073845922,0.701390572577319,0.9993582099105262,0.3125084188690432
long_gaps_np_nightsoff3_delayed1827,0.7446693914523944,0.7244917783017337,0.9996590405699425,0.3125084188690432
long_gaps_np_nightsoff3_delayed-1,0.7429032865320258,0.743025518875652,0.9993413202401763,0.3125084188690432
long_gaps_np_nightsoff4_delayed1827,0.7581317792886059,0.6871906930663496,0.9996590405699425,0.3022710741129882
long_gaps_np_nightsoff4_delayed-1,0.7321200773458867,0.7346544191203157,0.9993166198892022,0.3125084188690432
long_gaps_np_nightsoff5_delayed1827,0.7496814939924159,0.7561324345084515,0.9996678075866109,0.3125084188690432
long_gaps_np_nightsoff5_delayed-1,0.7029070259876622,0.8342710475138543,0.9994862810171146,0.32274576362509816
long_gaps_np_nightsoff6_delayed1827,0.7446402738073524,0.7212695703056728,0.9996678075866109,0.3022710741129882
long_gaps_np_nightsoff6_delayed-1,0.7695245557776974,0.8572110004494095,0.9993474949537476,0.3022710741129882
long_gaps_np_nightsoff7_delayed1827,0.7496814939924159,0.7014992762488819,0.9996637599535526,0.3125084188690432
long_gaps_np_nightsoff7_delayed-1,0.696839104529,0.7789529457609778,0.9995560191855454,0.3022710741129882
long_u1,0.7273792744208862,0.6739446995813431,0.9991931931244205,0.3022710741129882
long_u2,0.7187136046618299,0.7055344608310657,0.9993806756525189,0.3125084188690432
roman,0.7455411236578929,0.7211653584652447,0.9996872690222812,0.30105875697082407
virgo_cluster,0.7137472678092228,0.7490581580418483,0.9996250287240995,0.32312292895821587
too_rate50,0.7305574704557032,0.7088957258661658,0.9993046030426997,0.3125084188690432
too_rate10,0.7239509552815145,0.7512512917153656,0.9993939120691244,0.3022710741129882
north_stripe,0.7005105280659132,0.7877850770063937,0.9992357447765772,0.30105875697082407
twilight_neo_nightpattern7v2.0_10yrs.db,0.41997711011133165,0.4292635099532775,0.9992772652989983,0.3022710741129882
twilight_neo_nightpattern6v2.0_10yrs.db,0.3897064192603231,0.43219918755466236,0.999717182609512,0.2998464398286599
twilight_neo_nightpattern1v2.0_10yrs.db,0.09258143021095824,0.12550881770612046,0.9988412181229153,0.4500660039332962
twilight_neo_nightpattern2v2.0_10yrs.db,0.31420827365612897,0.34026981898585335,0.9994212354874055,0.3022710741129882
twilight_neo_nightpattern4v2.0_10yrs.db,0.5074015803952985,0.5112231826966293,0.999318270704425,0.3022710741129882
twilight_neo_nightpattern5v2.0_10yrs.db,0.3427611133030879,0.4016905314043089,0.9992055944401046,0.2949163501171913
twilight_neo_nightpattern3v2.0_10yrs.db,0.4324023690680384,0.4832789498755981,0.9995691331332439,0.32274576362509816
local_gal_bindx1,0.7142433348878326,0.7114864646857543,0.999559133822285,0.3022710741129882
local_gal_bindx2,0.7431054664847473,0.6991141536974883,0.9996990377068701,0.30105875697082407
local_gal_bindx0,0.7362688846755588,0.9119331837095788,0.9995783203491475,0.3125084188690432
carina,0.7081680003477935,0.6506061933342288,0.9996446273775621,0.3328753468574049
short_exp,0.3823353766141335,0.6936157598799688,0.9994728390141787,0.3125084188690432
smc_movie,0.730144627865457,0.8175606538949373,0.9995767174546069,0.3022710741129882
multi_short,0.16026377486881113,0.23746769562420186,0.9999720127920396,1.0
noroll,0.7407807980572919,0.9075119113907691,0.9996729201675474,0.32274576362509816
presto_gap1.5_mix,0.4224226786834269,0.7137143284157792,0.999459762607362,0.30105875697082407
presto_gap1.5,0.4984387170666008,0.6485619906759156,0.9993950929791376,0.3125084188690432
presto_gap2.0_mix,0.41930502558747934,0.7915251978554809,0.9996171019219624,0.3125084188690432
presto_gap2.0,0.5071490369244651,0.6784713386998568,0.999635599284635,0.2998464398286599
presto_gap2.5_mix,0.4077142631530628,0.7357582086826031,0.9993996978764869,0.30105875697082407
presto_gap2.5,0.5148655177144911,0.6305655750373571,0.9994264668570156,0.3022710741129882
presto_gap3.0_mix,0.41500292631254104,0.6993958594772864,0.9996702459532372,0.30105875697082407
presto_gap3.0,0.4448932861146398,0.7120997756974942,0.9993964819802725,0.2949163501171913
presto_gap3.5_mix,0.43689243730076766,0.6085627815591259,0.9992866879399261,0.2949163501171913
presto_gap3.5,0.4683444301235138,0.7185313113082512,0.9993632346963797,0.2998464398286599
presto_gap4.0_mix,0.3996110066692255,0.6561628209201783,0.9992667588607776,0.2998464398286599
presto_gap4.0,0.4336105168300045,0.7260285338078032,0.9992006149009441,0.30105875697082407
presto_half_gap1.5_mix,0.6193199522101228,0.7865751461109759,0.9995900473148904,0.2949163501171913
presto_half_gap1.5,0.619226268327186,0.7934792970578463,0.9994369077415576,0.32312292895821587
presto_half_gap2.0_mix,0.5756627235820287,0.7324716490372313,0.999747472818884,0.3022710741129882
presto_half_gap2.0,0.6491633455313821,0.6874757837497701,0.99922057828703,0.3022710741129882
presto_half_gap2.5_mix,0.9567357854118786,0.6839757808904148,0.9997173209923287,0.3125084188690432
presto_half_gap2.5,0.5916018309550798,0.7323410857296869,0.9994875918167356,0.3022710741129882
presto_half_gap3.0_mix,0.6076640660808877,0.68960748939477,0.9996367654942531,0.3125084188690432
presto_half_gap3.0,0.636043497617111,0.8589511854583922,0.9994265389997254,0.3125084188690432
presto_half_gap3.5_mix,0.6158439080369464,0.6581047821159474,0.9993730753996536,0.2998464398286599
presto_half_gap3.5,0.6413236000614945,0.7660872337156891,0.9991955854284945,0.30105875697082407
presto_half_gap4.0_mix,0.624732259692779,0.7897856234711377,0.9996110561096203,0.3125084188690432
presto_half_gap4.0,0.615525106645043,0.7891430452747579,0.9993950273723131,0.32274576362509816
baseline_retrofoot,0.6660109532988145,0.5051745644383969,0.9989468259283963,0.30105875697082407
retro_baseline,0.5710783859889916,0.6541895511822896,0.998903920942919,0.30122039925644567
rolling_ns2_rw0.5,0.7533203427896696,0.7359159645189076,0.9997370551033327,0.29532045583124544
rolling_ns2_rw0.9,0.7464128558633915,0.7324714531246111,0.9996678075866109,0.3022710741129882
rolling_ns3_rw0.5,0.7148158178595362,0.6963583123452661,0.999613016998018,0.3125084188690432
rolling_ns3_rw0.9,0.7458281248067774,0.6012843293162283,0.9996043611281369,0.3125084188690432
rolling_all_sky_ns2_rw0.9,0.7388122056736469,0.6565528989563126,0.9995585916385197,0.32274576362509816
rolling_bulge_ns2_rw0.5,0.7577345796027685,0.6899299475189884,0.9996118665389851,0.32312292895821587
rolling_bulge_ns2_rw0.8,0.7467198283650641,0.6881047334777193,0.9994219693971171,0.2998464398286599
rolling_bulge_ns2_rw0.9,0.7446111561623104,0.6374229540641789,0.9996181884718909,0.32312292895821587
rolling_bulge_6,0.7225376414688682,0.5792952912714475,0.9995230678905836,0.32350009429133364
roll_early,0.7003016226584502,0.3132984788911876,0.9993324272255072,0.32312292895821587
six_rolling_ns6_rw0.5,0.7404296451934949,0.6282730766435273,0.999694932774477,0.32274576362509816
six_rolling_ns6_rw0.9,0.7006562770169906,0.5556061829077705,0.9996097347942646,0.3022710741129882
vary_expt,0.8687792706775601,0.24021191810014042,1.0,0.3125084188690432
vary_gp_gpfrac0.01,0.7147386739649947,0.7839315587786221,0.9996024054398543,0.3125084188690432
vary_gp_gpfrac0.05,0.777641464098715,0.6733397671560801,0.9994013095542981,0.32921145504997457
vary_gp_gpfrac0.10,0.7539451542546153,0.7957352567878463,0.9994553022102652,0.3310434009536897
vary_gp_gpfrac0.15,0.7173151372990735,0.743111470915534,0.9994742088993592,0.3263557746706541
vary_gp_gpfrac0.20,0.7435985705592909,0.6860938552337661,0.999463012074694,0.32350009429133364
vary_gp_gpfrac0.25,0.6918273444246105,0.7193513787680726,0.9994732421499719,0.32312292895821587
vary_gp_gpfrac0.30,0.7051599177397687,0.8495586282834282,0.9994539451035936,0.3022710741129882
vary_gp_gpfrac0.35,0.6289435512346535,0.7293295181438525,0.9994564669566542,0.3125084188690432
vary_gp_gpfrac0.40,0.7193953319549387,0.7018985990583758,0.999433949612637,0.3125084188690432
vary_gp_gpfrac0.45,0.759524347089589,0.893676981609782,0.9994594305880604,0.3022710741129882
vary_gp_gpfrac0.50,0.747982857152797,0.8393129655450429,0.9992237033644573,0.3125084188690432
vary_gp_gpfrac0.55,0.7417518177296191,0.7475437764618696,0.9993285346558997,0.3125084188690432
vary_gp_gpfrac0.75,0.729330542167212,0.6920276119085098,0.9995208700462775,0.2998464398286599
vary_gp_gpfrac1.00,0.9567357854118786,0.09102393725645702,0.9971730813780678,0.30906005010910875
