,db,flux change,color,footprint,star count,depth,family,TPM,LS,CI
0,agnddf,0.13298820346473691,0.5038177817320283,0.7172333848531683,0.7281155461175991,0.9317416747212562,agnddf,0.5888913421488018,0.10923195995140507,0.3848635118872353
1,alt_dust,0.1330439810746778,0.7036356092469996,0.4420788253477587,0.2542549875897622,0.8002196070054973,alt,0.6213385602328305,0.28182556306555745,0.4107574074082682
2,alt_roll_mod2_dust_sdf_0.20,0.1389559523268029,0.7955746298147861,0.5510819165378669,0.3066064445854569,0.6920880991792204,alt,0.6832950338226064,0.7517482088128911,0.3892503106883096
3,baseline_2snaps,0.1353745291284073,0.4611246091195978,0.4371329211746521,0.4671831100959245,0.8638925505915548,baseline,0.6258888058997576,0.9254860182668416,0.4209226610900556
4,baseline_samefilt,0.206478571060342,0.19058244740368746,0.5192812982998453,0.5041456257702647,0.8668049596030108,baseline,0.5103774142933469,0.19822631496250834,0.5128364949117876
5,baseline,0.14242486791452344,0.5424113658623464,0.7520092735703244,0.7662892024209147,0.9227764953596987,baseline,0.6466603809084023,0.16816837409799473,0.4119771871114482
6,bulges_bs,0.1227041538791327,0.3969559258901386,0.32530911901081905,0.2682416253090132,0.9272739988405628,bulges,0.6414801647708047,0.19349710651050925,0.36249553197934026
7,bulges_bulge_wfd,0.12691359487358314,0.3911339396175056,0.3092735703245749,0.24161823692130474,0.9298845374616038,bulges,0.5729820171934159,0.557123917396348,0.36113139389889615
8,bulges_cadence_bs,0.13051111947597166,0.4081573276151245,0.3275888717156104,0.2630775742395681,0.9234567146703528,bulges,0.5778337455133967,0.519345230432957,0.3432389725394137
9,bulges_cadence_bulge_wfd,0.13024059164428708,0.3898778569343528,0.3069551777434311,0.24210001230030576,0.9249916113074544,bulges,0.6224689564111424,0.2881255391685199,0.4160628261289031
10,bulges_cadence_i_heavy,0.12293859087039892,0.3976110624256252,0.3012364760432766,0.2306129530649886,0.9301889882898436,bulges,0.6484479850327446,0.09097321592017396,0.43304450967788005
11,bulges_i_heavy,0.1285863838430334,0.3908807778740603,0.29084234930448216,0.2220737552394461,0.9251364181244796,bulges,0.6590533017967045,0.09950892131899296,0.3660919473848233
12,daily_ddf,0.14930317032148047,0.4479815118689428,0.5384080370942812,0.5871993329171944,0.9120675840351408,daily,0.6263328061876218,0.17499403206935407,0.3758551061789824
