,Unnamed: 0,Unnamed: 0.1,CI,TPM,LS,star count
0,0,vary_gp_gpfrac0.10_v2.0_10yrs,0.2538756534890985,5.023442887524427,0.008641479099678457,0.0008888888888888955
1,1,rolling_ns2_rw0.5_v2.0_10yrs,0.26075031444961644,5.8528398554535865,0.008610332398878654,0.0008833333333333418
2,2,rolling_ns3_rw0.9_v2.0_10yrs,0.2511042426837278,4.226335958184951,0.0074439191981500764,0.0008888888888888937
3,3,long_u2_v2.0_10yrs,0.25894211713146426,5.152491209007912,0.0086,0.0008833333333333412
4,4,long_gaps_nightsoff0_delayed1827_v2.0_10yrs,0.2556783266987359,4.9454603436157045,0.008631071858691289,0.0008833333333333412
5,5,vary_gp_gpfrac0.01_v2.0_10yrs,0.24844552122876026,5.329239291285496,0.009013521094076668,0.0008888888888888975
6,6,presto_half_gap3.5_mix_v2.0_10yrs,0.2139825240116656,4.518999948328942,0.0066,0.0008833333333333412
7,7,vary_gp_gpfrac0.15_v2.0_10yrs,0.25653242580702906,5.088571850484008,0.008622418287547623,0.0008888888888888975
8,8,long_gaps_nightsoff3_delayed1827_v2.0_10yrs,0.25561632732999284,5.0512323623733755,0.008632804657699257,0.0008833333333333418
9,9,retro_baseline_v2.0_10yrs,0.23345479878816955,9.258837637823428,0.009437751384564418,0.0010263888888888968
10,10,vary_nes_nesfrac0.55_v2.0_10yrs,0.2568775071138275,5.011642601548677,0.0092,0.0008777777777777876
11,11,long_gaps_nightsoff6_delayed1827_v2.0_10yrs,0.2556783266987359,5.041958028146591,0.00863020580692943,0.0008847222222222281
12,12,vary_nes_nesfrac0.20_v2.0_10yrs,0.2565763164642341,5.134845793272249,0.008632804657699257,0.0008888888888888953
13,13,presto_gap2.0_mix_v2.0_10yrs,0.1688474441277624,4.738358226722406,0.006047167909695626,0.0008805555555555631
14,14,presto_half_gap4.0_v2.0_10yrs,0.2254527411289683,4.951384176846269,0.0066331658291457285,0.0008833333333333412
15,15,rolling_bulge_ns2_rw0.9_v2.0_10yrs,0.26017461810863257,4.772148585028167,0.008410092110532641,0.0008888888888888937
16,16,long_gaps_np_nightsoff4_delayed-1_v2.0_10yrs,0.2480388957603324,5.101338533384887,0.007402961184473789,0.0008847222222222281
17,17,noroll_v2.0_10yrs,0.26408972245115986,8.94924660223783,0.008627608694033133,0.0008847222222222281
18,18,presto_gap4.0_v2.0_10yrs,0.1882916624149248,4.9113686086184645,0.006072874493927126,0.0008805555555555631
19,19,long_gaps_nightsoff3_delayed-1_v2.0_10yrs,0.24347768612432244,5.236500788128739,0.007408890668802562,0.0008875000000000043
20,20,rolling_all_sky_ns2_rw0.9_v2.0_10yrs,0.2589631236957541,4.760482841491595,0.0086,0.0008888888888888937
21,21,long_gaps_nightsoff7_delayed-1_v2.0_10yrs,0.2489167100657348,4.969288508336806,0.008610332398878654,0.0008875000000000043
22,22,long_gaps_np_nightsoff0_delayed-1_v2.0_10yrs,0.18543098447611275,5.128476746914207,0.006030150753768844,0.0008833333333333412
23,23,vary_nes_nesfrac0.50_v2.0_10yrs,0.2551608376680288,5.311537294445929,0.008815868563414144,0.0008805555555555631
24,24,long_gaps_nightsoff5_delayed1827_v2.0_10yrs,0.2554791904232541,5.006214595677317,0.008631938258195273,0.0008847222222222281
25,25,vary_nes_nesfrac0.25_v2.0_10yrs,0.2568721747481721,5.064507258081042,0.00864321608040201,0.0008875000000000043
26,26,baseline_retrofoot_v2.0_10yrs,0.2666664643675632,5.645317727395226,0.011413696435722868,0.0010305555555555654
27,27,long_gaps_np_nightsoff7_delayed-1_v2.0_10yrs,0.24612860351813115,4.908357804816732,0.0086,0.0008847222222222281
28,28,long_gaps_nightsoff0_delayed-1_v2.0_10yrs,0.19847309992406914,4.720547928525767,0.005839710264989618,0.0008833333333333412
29,29,vary_gp_gpfrac0.40_v2.0_10yrs,0.25599838350710546,4.975005047829669,0.007833686820206173,0.0008847222222222281
30,30,roll_early_v2.0_10yrs,0.2388663716890976,1.6720857101532949,0.006047167909695626,0.0008888888888888946
31,31,presto_half_gap2.0_mix_v2.0_10yrs,0.21045853853791624,4.943943690787641,0.006044731254877925,0.0008833333333333412
32,32,rolling_bulge_6_v2.0_10yrs,0.2569336102988294,4.9973993363029745,0.0086,0.0008875000000000043
33,33,vary_gp_gpfrac0.35_v2.0_10yrs,0.2553977049443361,5.175634130917426,0.008651911468812877,0.0008847222222222281
34,34,long_gaps_np_nightsoff3_delayed1827_v2.0_10yrs,0.2551599653309783,5.029466197499334,0.008631938258195273,0.0008847222222222281
35,35,vary_gp_gpfrac0.45_v2.0_10yrs,0.2566569267026094,5.076110445720806,0.008204922953772264,0.0008805555555555631
36,36,vary_gp_gpfrac0.30_v2.0_10yrs,0.2551679938427376,5.084924066652605,0.0086,0.0008875000000000043
37,37,long_gaps_nightsoff4_delayed-1_v2.0_10yrs,0.2368956617664633,4.943621834878107,0.00862933975516757,0.0008888888888888957
38,38,long_gaps_np_nightsoff0_delayed1827_v2.0_10yrs,0.25571030250200155,4.989678876479797,0.008631071858691289,0.0008833333333333412
39,39,long_gaps_np_nightsoff3_delayed-1_v2.0_10yrs,0.2418247508277005,4.805703485287774,0.007423758709001566,0.0008861111111111146
40,40,six_rolling_ns6_rw0.9_v2.0_10yrs,0.24972578480356936,3.942746017360552,0.0074,0.0008847222222222281
41,41,long_gaps_np_nightsoff5_delayed1827_v2.0_10yrs,0.2557824098462843,4.972825263717572,0.008632804657699257,0.0008861111111111146
