,MAG,MODE,d,PM,PM_out
0,20.511607320292214,['H'],114695.52246713453,-4.588808509281586e-05,0.00016575720615488891
1,20.739661660826012,['D'],117145.62726195792,8.985666845195186e-05,-2.392403586081444e-05
2,19.990342494433342,['H'],76283.56814865409,6.899464750364727e-05,8.92440498193859e-05
3,20.99439011663497,['D'],121126.87792722143,4.3451610285036734e-05,-1.0271299201677716e-05
4,23.913523129366087,['D'],102637.15985688425,-0.00010255852562708697,2.0825054576909423e-05
5,24.191636856484667,['D'],64849.79705245393,0.00024347761137076757,-5.684309150951403e-05
6,20.718503102912127,['D'],46105.275405424436,0.00011415522081704375,-2.2034893544019073e-05
7,22.929385733865523,['D'],99227.80780108561,-5.304115863657386e-05,0.00014076619171075143
8,18.280862668337825,['H'],73861.18715067381,7.12574235234023e-05,-0.00020524984477356573
9,23.283329091774092,['H'],138128.90479189533,3.810323337223518e-05,-7.343370734764432e-05
10,21.09748953293246,['H'],54896.91084961691,-9.587348018824947e-05,-0.00014514872622016034
11,22.19712727792339,['H'],46561.33840229925,0.00011303708345456286,6.616919216837875e-05
12,21.666761102162752,['H'],139589.32926028545,3.77045861788109e-05,-7.613250585287883e-05
13,18.344266023038443,['H'],32868.84584900572,-0.0001601260329892616,-0.0002166400166942259
14,23.25219013332785,['D'],115131.53014879664,0.00013714291527094373,-1.0848738835458897e-05
15,22.09015305266539,['H'],52419.52853266504,0.00010040452560455833,-0.00016718505944729814
16,20.334440820344433,['D'],89382.12264597444,0.0001766513617801361,-0.00014089811202819028
17,20.423629971123873,['D'],110141.5018894126,4.778541970511087e-05,-8.492718828081269e-05
18,19.432582084193854,['D'],59003.65525199898,-0.0002676016192009663,0.0002787870916004355
19,18.37923521574612,['D'],42960.76865321612,0.00012251079437664654,-0.0001916372612040832
20,20.882694918032072,['H'],82257.68513767407,6.39837832286179e-05,-0.00010634634111263835
21,20.144215673461492,['D'],89050.60711898193,-5.9102998452381724e-05,0.00017290736737155595
22,20.524315189647997,['H'],106085.68571908717,-4.961232855367105e-05,0.0001736818094149922
23,19.517920117224048,['H'],66738.7047093323,7.886215229467701e-05,-0.00019727583916481209
24,21.010170421102426,['D'],94864.30607229813,5.5480908601446764e-05,-0.00021196464954018488
25,15.345006802594106,['D'],8981.809931792393,-0.0011719593121442367,0.001808964842929584
26,22.343813850688587,['H'],69676.73153101638,7.553680804321259e-05,0.00029603425095824846
27,21.047806691302842,['D'],104969.06728876596,0.00010028016882836716,-0.00014762565909424267
28,17.641087601410078,['H'],50585.962796394255,0.00010404384148861148,0.00011828172171481245
29,20.02991989486587,['H'],91877.45969964738,-5.728453868818754e-05,0.00015800723798170362
30,22.728716115659882,['H'],59476.2013625076,8.849182991122586e-05,-0.0001199230818261979
31,20.244216640423748,['D'],72500.88836521553,-0.00014518878356977483,0.0002505793978053847
32,23.40754803917573,['H'],123670.42630082642,-4.255793444048047e-05,-0.00016047884418822272
33,17.279433038651135,['H'],59899.62558223117,-8.786629037457828e-05,-2.379693015465217e-05
34,21.93525038544057,['D'],74245.2761795683,0.00014177758277866628,-0.0001150558995776175
35,21.01502566078704,['H'],132983.84392207765,-3.957742338851935e-05,-4.020621989104625e-05
36,20.472075457313167,['H'],44760.645555152965,-0.00011758449480474334,-0.0004130894555236848
37,24.09636236883703,['H'],132048.95655093945,3.9857625779167134e-05,7.888690676543237e-05
38,19.700573635835,['H'],56443.60281897043,-9.324631369859898e-05,-4.596687515514094e-05
39,22.177988859442106,['H'],70202.7333715128,7.497084005097374e-05,7.658122555545275e-06
40,21.021928429456512,['D'],95379.36701026707,-0.0001655439135228364,9.633660223305542e-08
41,17.933284568624607,['H'],27201.206267234662,0.00019348987111195148,0.00014663247755745048
42,21.05546905390813,['H'],124582.29034961405,-4.22464371137093e-05,5.512191519947862e-05
43,20.261829799605025,['H'],67210.12605261628,-7.83090019890234e-05,-0.00017534464605038977
44,21.267943215824737,['H'],137388.74080791802,3.830850958955376e-05,-4.686607221691763e-05
45,19.48294292273248,['H'],77668.48511611873,6.776439487480833e-05,-0.00010410694310411723
46,20.91249482796765,['H'],90691.73609461523,-5.8033489283367455e-05,0.00020986188731233628
47,20.200575095499786,['D'],65340.69793956196,-8.054945938295754e-05,0.00015819957844867693
