db,flux change,color,footprint,star count,depth,family
agnddf_v1.5_10yrs.db,0.11423920872072972,0.16152425868658338,0.5337812616648002,0.5673960565852513,0.9390327001166348,agnddf
alt_dust_v1.5_10yrs.db,0.6533172648202484,0.47824883976290483,0.9283314669652856,0.8869318624129838,0.8123737922338568,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.6879189267207064,1.0,0.9421425905188503,0.8882693465557557,0.7401860258509732,alt
baseline_2snaps_v1.5_10yrs.db,0.13666527053736477,0.17244641020875864,0.5013064576334454,0.3851581628135157,0.9080727637435398,baseline
baseline_samefilt_v1.5_10yrs.db,0.16474539901339508,0.004487939564119564,0.42889137737961924,0.37924758536276165,0.9055582706411848,baseline
baseline_v1.5_10yrs.db,0.15657963695485788,0.20340047325945776,0.43113101903695406,0.20915664261238698,0.9511374998931291,baseline
bulges_bs_v1.5_10yrs.db,0.8364089445819309,0.5247063885433848,0.9499813363195222,0.9754430998361447,0.8335018446564163,bulges
bulges_bulge_wfd_v1.5_10yrs.db,0.6222768798788118,0.4465163743733294,0.9496080627099663,0.9563671105650595,0.8155480210595203,bulges
bulges_cadence_bs_v1.5_10yrs.db,0.696924374022097,0.47772867158988436,0.9238521836506158,0.9568174682611039,0.8220074392219202,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs.db,0.598173987433521,0.38378572343808454,0.9585666293393056,0.9586227911528495,0.8108343213424697,bulges
bulges_cadence_i_heavy_v1.5_10yrs.db,0.6802807938521027,0.43341304321789675,0.9451287793952966,0.9893546639675187,0.8073486122320567,bulges
bulges_i_heavy_v1.5_10yrs.db,0.5798247382734082,0.4074698528621519,0.9328107502799551,0.8988760449869635,0.7728216597502024,bulges
daily_ddf_v1.5_10yrs.db,0.11873283085317257,0.15850710250699163,0.3926838372527062,0.3191540883393102,0.9305345987355829,daily
dcr_nham1_ug_v1.5_10yrs.db,0.16518642768713174,0.11288607396094844,0.4684583799925346,0.2071926427829022,0.8733699708120731,dcr
dcr_nham1_ugr_v1.5_10yrs.db,0.21323207394578478,0.23260417430119817,0.5423665546845837,0.4896201678395583,0.8833379123654546,dcr
dcr_nham1_ugri_v1.5_10yrs.db,0.12852610319590108,0.1441321869142603,0.41881298992161253,0.1801688626292132,0.9532937987951474,dcr
dcr_nham2_ug_v1.5_10yrs.db,0.16321207380368852,0.1521908620485489,0.4927211646136618,0.5068756344391575,0.9137098477140546,dcr
dcr_nham2_ugr_v1.5_10yrs.db,0.20696673699131385,0.1681503893621341,0.3956700261291527,0.3073324795136327,0.9285484940995282,dcr
dcr_nham2_ugri_v1.5_10yrs.db,0.23152897557587415,0.19413225270057086,0.5061590145576707,0.40047250974406845,0.8853563863613306,dcr
descddf_v1.5_10yrs.db,0.16684298862292735,0.23059252105925085,0.5442329227323629,0.44046819731813375,0.9311331879565571,descddf
filterdist_indx1_v1.5_10yrs.db,0.01607633958474883,0.033366319737194124,0.16424038820455392,0.0018386370436388828,0.8559711549507845,filterdist
filterdist_indx2_v1.5_10yrs.db,0.01876884015796161,0.03646012757262707,0.16050765210899587,0.00178002884000414,0.9337225401396138,filterdist
filterdist_indx3_v1.5_10yrs.db,0.019224537077537254,0.04549317710445176,0.14371033967898467,0.001555759373083101,0.9158414002651027,filterdist
filterdist_indx4_v1.5_10yrs.db,0.011969832421525715,0.030835706376537222,0.14408361328854047,0.0015899969318991214,0.9025794217549445,filterdist
filterdist_indx5_v1.5_10yrs.db,0.019425831416679144,0.05815982336416757,0.1280328480776409,0.0014018337905469188,1.0,filterdist
filterdist_indx6_v1.5_10yrs.db,0.015719831601686086,0.034663137304297785,0.12728630085852927,0.001390897602810291,0.95374550141614,filterdist
filterdist_indx7_v1.5_10yrs.db,0.011831026072945013,0.06144534412358361,0.18066442702500932,0.001985470738535032,0.9208007435825346,filterdist
filterdist_indx8_v1.5_10yrs.db,0.017397154904739493,0.06996151702870024,0.15640164240388205,0.0016996448963107194,0.9589553257622973,filterdist
footprint_add_mag_cloudsv1.5_10yrs.db,0.946514482272429,0.5891531340262037,0.8992161254199328,0.8581828679551085,0.6963778326283062,footprint
footprint_big_sky_dustv1.5_10yrs.db,0.6041647785787674,0.35139751282386167,0.8383725270623367,0.7338279820532294,0.8559586903581899,footprint
footprint_big_sky_nouiyv1.5_10yrs.db,0.9483121251268362,0.5579298342518992,0.883165360209033,0.9106730013259424,0.8397344081301867,footprint
footprint_big_skyv1.5_10yrs.db,1.0,0.5636164446133098,0.9089212392683836,0.971496493911207,0.8171727874102507,footprint
footprint_big_wfdv1.5_10yrs.db,0.10181050352061151,0.18288814787350038,0.4699514744307577,0.2802127495153338,0.9179312641343618,footprint
footprint_bluer_footprintv1.5_10yrs.db,0.1439657555794531,0.17686664140035355,0.5214632325494587,0.4019003858457844,0.9164201254333046,footprint
footprint_gp_smoothv1.5_10yrs.db,0.11636793731895652,0.23914674026984972,0.45278088839119074,0.32092379047610353,0.9393445214960086,footprint
footprint_newAv1.5_10yrs.db,0.44332827669376623,0.4918778490111716,0.8462112728630085,0.9036783532715478,0.7980048576603935,footprint
footprint_newBv1.5_10yrs.db,0.5198686597517976,0.39173235294487296,0.9346771183277341,0.9832065286656331,0.8170290642221313,footprint
footprint_no_gp_northv1.5_10yrs.db,0.13896814139650293,0.1696356138391417,0.5755879059350504,0.44429655497703335,0.88000185095634,footprint
footprint_standard_goalsv1.5_10yrs.db,0.13311338250663587,0.10678669606908955,0.5752146323254945,0.47731335454755675,0.9016417506238108,footprint
footprint_stuck_rollingv1.5_10yrs.db,0.03732820241012618,0.12434751946952638,0.1560283687943262,0.1415636201833119,0.9745157610382531,footprint
goodseeing_gi_v1.5_10yrs.db,0.12438040287746151,0.1424600661127857,0.4930944382232175,0.34986958569296545,0.9132425330966143,goodseeing
