db,g,i,r,u,y,z
rolling_mod3_sdf_0.20_v1.5_10yrs.db,24.52829019927671,23.362922871605786,23.97644051029263,23.591543698711703,21.96491538743948,22.726036357890955
rolling_mod6_sdf_0.10_v1.5_10yrs.db,24.489745242839714,23.3068526874832,23.923553395616523,23.572208281339602,21.93787474794455,22.693370440393373
rolling_mod6_sdf_0.20_v1.5_10yrs.db,24.501931245072402,23.326291036768872,23.93268335669096,23.57120633558796,21.94573252448306,22.701277694572
short_exp_2ns_1expt_v1.5_10yrs.db,24.43537349822215,23.408872411421996,24.0083969383131,23.40013182115193,21.974832304319307,22.745260434330973
short_exp_2ns_5expt_v1.5_10yrs.db,24.42786593558255,23.40863805652591,24.009470873675568,23.401459086355615,21.978751659970314,22.746285071585184
short_exp_5ns_1expt_v1.5_10yrs.db,24.02611745929738,23.318552392317176,23.917381236425804,21.492879089703568,21.8953335093519,22.65503913939859
short_exp_5ns_5expt_v1.5_10yrs.db,23.952829190039793,23.311292306608266,23.92133180897141,22.582679662716146,21.89841442237382,22.64563006877138
spiders_v1.5_10yrs.db,24.553382287464824,23.46219602710519,24.05581441213732,23.607828261730834,22.022198116146026,22.806687466593672
third_obs_pt120v1.5_10yrs.db,24.54203675826715,23.468531860785177,24.04860593996327,23.595404870404803,22.015697366889363,22.79224328126878
third_obs_pt15v1.5_10yrs.db,24.55394692402433,23.45776537623716,24.05719698102655,23.606673341728765,22.030264777660577,22.79990202497916
third_obs_pt30v1.5_10yrs.db,24.55487819867176,23.465440735835664,24.05534841410289,23.601515281688126,22.030215613535187,22.79910842372664
third_obs_pt45v1.5_10yrs.db,24.562831398260673,23.468986288681233,24.05765497966461,23.605762363412026,22.026488496971425,22.802441950652355
third_obs_pt60v1.5_10yrs.db,24.546560614048655,23.472003735449427,24.054228989569737,23.607890107238834,22.02009347951987,22.79670015062888
third_obs_pt90v1.5_10yrs.db,24.54868920000996,23.469295158083625,24.05307497089126,23.598388098103467,22.016796975651836,22.79536099586886
twilight_neo_mod1_v1.5_10yrs.db,24.544632929034453,22.947806463698793,23.633111640978242,23.598926784722938,21.998884300271367,22.215773509297225
twilight_neo_mod2_v1.5_10yrs.db,24.544345333445452,23.28833580759713,23.91725355387511,23.599199402060993,22.016135149520863,22.654012830287698
twilight_neo_mod3_v1.5_10yrs.db,24.54175097456839,23.35666218184447,23.967701271103913,23.60284258136495,22.016427096772354,22.713778250225847
twilight_neo_mod4_v1.5_10yrs.db,24.552816076822634,23.379573056008127,23.997510141360554,23.60560014379508,22.0220682207063,22.737488950866886
u60_v1.5_10yrs.db,24.637587360648798,23.448987053536392,24.069672169750863,24.151289566484664,22.02341719983845,22.79924996750816
var_expt_v1.5_10yrs.db,24.43123246637501,23.494110793464774,23.989518154423642,23.30975018080688,21.972723665030976,22.857226424403834
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,24.558216241279894,23.48021428025722,24.065141905165248,23.60616889311701,22.036036480832543,22.81146009488977
wfd_depth_scale0.65_v1.5_10yrs.db,24.548665270181708,23.45460038179209,24.053774237798127,23.611567960214323,22.024379463275285,22.79975648670085
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,24.559906893057345,23.487726367114803,24.064369431838948,23.60322008042577,22.027060281506632,22.815514208629388
wfd_depth_scale0.70_v1.5_10yrs.db,24.553475453552807,23.45462369364846,24.055312995470402,23.611786063340162,22.02300374009799,22.80072180255394
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,24.550670118595207,23.478227880704317,24.065299147237106,23.615026371125584,22.02978671253478,22.81257087402273
wfd_depth_scale0.75_v1.5_10yrs.db,24.54462317309848,23.457519863987386,24.057989164564514,23.596755051056146,22.02399933241171,22.80049853375426
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,24.557149310322345,23.476242187950774,24.062844562729275,23.60610016604057,22.030175364977982,22.808469362007937
wfd_depth_scale0.80_v1.5_10yrs.db,24.548220515347634,23.46133301947671,24.05466995382013,23.60490259078643,22.02382486145587,22.797984301447634
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,24.55917512461278,23.481498693446937,24.063659504841223,23.602455387552403,22.033079639099974,22.809118236360867
wfd_depth_scale0.85_v1.5_10yrs.db,24.5508856512106,23.45843092392142,24.054544112965914,23.607817727683845,22.025868586590047,22.798134641616816
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,24.56578011941665,23.481449109386325,24.062401973498822,23.60958558205739,22.03101432543613,22.810769688271584
wfd_depth_scale0.90_v1.5_10yrs.db,24.55083310156271,23.463474170645785,24.055964786712472,23.599141258325247,22.027894668117497,22.802188849335344
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,24.55581725721173,23.48285166468889,24.063387611555253,23.607957959998515,22.036153030625577,22.80917561744839
wfd_depth_scale0.95_v1.5_10yrs.db,24.55854480711582,23.46556881566147,24.053870982014068,23.60696389738996,22.025383945555284,22.805803070976754
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,24.555338824438387,23.48756197292947,24.062302733427735,23.597534589423002,22.03510738008898,22.812642727279638
wfd_depth_scale0.99_v1.5_10yrs.db,24.551201695009304,23.46906455268158,24.052802367517632,23.595549309844223,22.026576290396836,22.807623066543186
